page 2	社評民主階石之國民參政會
page 3	五民主國再度會議美日談話毫無進展日報傳美蘇將訂互助協定
page 3	我保衛滇緬路曾與關係各國會商結果圓滿參政會決議促政府趕建鐵路
page 3	西貢美領署被炸原因仍未查明我駁斥敵濫造謠言
page 3	拉第摩在參政會旁聽
page 3	黨政考察團分赴各地開始工作粵慰勞團赴鄂勞軍
page 3	歐陸的沉淪二
page 3	日本經濟危機外籍旅客自日抵滬談話謂宮澤之言係針對現實
page 3	馬尼拉我僑報讚揚奎松演詞
page 3	孤島鋤奸一小漢奸中彈受傷虹口日人亦遭狙擊
page 3	日本中國通後藤被監禁謂其發反動言詞
page 3	美海軍部正式宣布長江砲艦多艘撤退
page 3	紹興敵竄擾受創粵我軍出擊獲勝廣州敵拉夫運往越南
page 3	敵偽在淪陷區加緊經濟榨取將發新偽幣替代軍用券
page 3	滬投機家神經過敏市場價格一日數變
page 3	行政院會議
page 3	日報恫嚇蘇聯要求賠償氣比丸損失
page 3	泰積極備戰召集若干級後備兵
page 4	莫斯科區大雪納粹攻勢受挫蘇聯生力軍開上前線
page 4	美荷充分合作美軍協防圭亞那提防納粹活動保護國防原料
page 4	白宮舉行會議討論勞工法將採四項立法程序眾義院定下週開始進行
page 4	擴大北非戰果英軍增援前線英德坦克繼續混戰中
page 4	英仍把握制空權德正增援企圖恢復均勢
page 4	對日禁運的效果二
page 4	德猶強作鎮定謂英軍攻勢已被阻
page 4	英巡哨隊在法登陸
page 4	反共傀儡戲德極事渲染日本亦以追隨驥尾為榮
page 4	美根據租借法援助自由法國
page 4	菲軍八萬併入美軍
page 4	臨時協定可能麽
page 5	桂南滑翔運動大公報第二號續在梧邕表演在梧表演共達四十分鐘數萬觀眾印象極為深刻
page 5	桂林婦女籌款獻機
page 5	星洲加強防務積極準備應變英澳軍隊陸續抵達新加坡
page 5	滬物價管理進行順利麵粉煤斤均趨跌
page 5	桂省府籌組政務考察團擬分兩組考察東南西南
page 5	柳小本貸款已設處辦公
page 5	吳本忠在桂演講國際形勢與中國論斷我必獲最後勝利
page 5	馮委員以詩謝壽
page 5	建國歷程一二屆參政會二次大會旁聽記
page 5	孤島一血案仙樂舞廳禍不單行兇毆之後炸彈爆裂
page 5	湘公路局籌設植物油廠以解決燃料來源困難
page 5	防止食監外流
page 5	黔整理保甲預計明年一月完成
page 6	當局限制港幣出口每人限帶一百元但經核准者則不在此限此舉係防止以港幣資敵
page 6	羅文錦昨日發表談話盼望居民鎮靜當局通告係使居民準備並非表示本港即有戰事
page 6	當局舉行手車登記在戰時改作救護車之用
page 6	港九教師會招待報告為上海教師絕食聲援並要求改善教師待遇
page 6	李石曾等發起組織國外華北僑業協會昨日在九龍召開籌備會定二十八日舉行茶話會
page 6	當局舉行登記外人食糧數量準備戰時實行計口授糧請領登記格式地點公布
page 6	馬伕罷工風潮昨日全部解決馬伕全部返回馬房工作勞資兩方公布解決經過
page 6	平糶會推銷衛生米設獎鼓勵職員發售進行改善進行改善米質平抑市價
page 6	請領入境證須先備種痘證新訂發證時間
page 6	防衛部隊演習日期臨時公布
page 6	鐵崗陳榮住宅失竊巨額金飾銀物等共二千五百元竊匪被發覺後衝出逃去
page 6	美外委會主席代表由美過港飛渝將晉謁蔣委員長夫婦並擬到中國各地考察
page 7	撫卹黃翔遺族義演今晚敲響戰鑼男女籃球壯士在青支會上演七時起開始節目精采
page 7	滬小球聯賽獅聲隊為正義棄權
page 7	陶冠球業餘資格證實一切無問題
page 7	大坑印象記從看網球義演歸來有感小徐對抗哈孟盼能實現
page 7	太古陸運會月底開幕
page 7	婦女健康運動在美國瑪博小姐熱心推行着
page 7	星精彩足球義演華巫力勝軍聯阿生大顯身手屢救險球坤祥智祥先後建樹奇功
page 7	協會乒乓賽分組舉行
page 7	申匯市況依然靜穩英匯美匯仍屬不振
page 7	股票市續有進展昨日成交二十四萬餘元
page 7	國幣價格繼續上漲
