page 2	挪戰寶貴的教訓
page 3	豫南鄂北發生激戰明港附近日軍受創邕寧集結日軍三萬企圖不明
page 3	白主任演講勉青年努力為國服務勸國人團結爭取勝利
page 3	建設重工業三年計劃經濟部正草擬中
page 3	白銀問題英大使訪日外次傳雙方曾有商定 
page 3	甘介侯演講遠東外交問題蘇日妥協絕無此可能美禁運即足制日死命
page 3	渝演說競賽政校獲兩組冠軍
page 3	粵省食糧正在努力購運中央將予補助
page 3	革命政府成立日中央隆重紀念上海全市懸旗慶祝
page 3	桂鹽濟湘半月來達十萬擔 
page 3	渝市舉行集團結婚
page 3	滬全市大中學生成立學生總會電蔣總裁誓與日偽周旋到底
page 3	空中會場西北西南無線電團體舉行第一屆聯合年會
page 3	南京汪偽組織群奸暗鬥益烈小人得意刮錢唯恐不及鈎心鬥角早遲必現原形 
page 3	教部注重社會教育令各省市增列補助學校經費
page 3	復旦大學慶祝卅五週年紀念
page 3	蘇滿邊界發生衝突偽軍越境被擊
page 3	滬物價續漲囤貨之風盛行
page 3	津浦鐵路沿線我遊擊隊活躍
page 3	東四省主席發表後全國均興奮異常旅渝東北同胞尤歡欣萬狀華北各省市國大代表推定
page 3	檀香山橋胞集資一百萬元在粵經營墾殖
page 3	日本在越南的陰謀
page 3	我大軍十路渡汾河直向日軍巢穴猛進
page 4	地中海艨艟相接英國輿論緊張義積極作非常準備各報續發恫嚇言論
page 4	羅南戒備中羅禁船舶夜航多瑙河南青年黨誓為國奮鬥
page 4	張伯倫首相將再作說明英報檢討挪戰經過
page 4	德軍分海空兩路大量運往挪威義方報紙故意放出空氣謂德機將大學空襲英國
page 4	荷印現況一瞥一五月一日新加坡航訊
page 4	挪南聯軍失敗原因
page 4	荷蘭逮捕納粹黨人
page 4	瑞典否認德提要求
page 4	英和平派搗亂工人部長演說
page 4	蘇黑海艦隊曾舉行演習
page 4	匈外交活躍正與德羅南義四國分別進行商業談判
page 4	積極收復東四省
page 4	滬物價又暴漲
page 4	保王延見駐土英使
page 4	西線發生砲戰德機襲英東南海岸
page 4	辱命記二前駐德英使韓德森之回憶錄
page 4	美國駐義使節注視局勢開展
page 5	新昌荻海被狂炸投彈十餘枚死傷四十餘人西江日軍偷渡遭痛擊
page 5	戰時食鹽絕無慮匱乏增產增運均在儘量發展訪問最高鹽務當局
page 5	湘鄂並無鹽荒
page 5	川鹽大量增產並積極開發西北鹽場
page 5	河北災區癘疫流行虎列拉傳染最速
page 5	採辦湘桂米穀接濟四邑民食西江糧食會議商具辦法桂米於短期內可獲接濟
page 5	桂林將設立衛生材料廠資本國幣十萬元
page 5	西康日記八四
page 6	國民大會婦女代表港婦女界競選分會成立會章通過今日選舉理事候選人名單八日電總會
page 6	會議經過
page 6	總會來電
page 6	基督教學聯戲劇民歌比賽戲劇冠軍培道女中學民歌冠軍中青合唱團
page 6	分會組織
page 6	設理事會
page 6	本港警探破獲拐匪機關赴大埔火車中逮捕四人起回被拐小童三十四名
page 6	外聯昨舉行座談會討論憲政問題張一麐等被邀出席指導
page 6	白晝防空演習將於月底舉行
page 6	羅旭龢爵士對業主加租事並未發表談話
page 6	英國人的生活和思想下
page 6	青年會少年部昨日紀念小青節小團員精神活潑秩序整齊
page 6	早會升旗
page 6	紀念儀式 
page 6	嶺南附中昨日開戲劇音樂會籌款救濟傷兵難民
page 6	回胞昨日慶祝穆罕默德聖誕參加中外士女七百餘人各回教領袖並演講教義
page 7	銅鑼灣足球義演東方智取海軍四比三瘦皮猴一腳定天山後日征澳約戰總會隊 
page 7	學界排球比賽今午演開鑼戲
page 7	足球總會今日召開月會
page 7	籃球裁判會將設訓練班
page 7	港澳小球賽十二在澳舉行
page 7	九龍學界籃球明日爭霸下午四時開賽
page 7	本港春季貿易進出口俱見增加各種物價亦多趨上漲 
page 7	世界中量級舉重新紀錄
page 7	培正香港分校體育概況
