page 2	論新階段的戰時政治
page 3	太行山又展開激戰長高路西日軍受創豫北濟源外圍殘日漸肅清周恩來時局觀
page 3	盤踞福州殘日遭我三面攻擊
page 3	郭泰祺與赫爾換函美朝野一致讚揚證明美不採取帝國主義政策反戰會贊成取消遠東各特權
page 3	周恩來時局觀謂美國圖造成中日和平但不能改變我抗戰決心並否認十八集團軍不參戰
page 3	美戰鬥機運抵重慶駕駛人員陸續來華
page 3	菲當局允發輸出證准許日輪載運廢鐵
page 3	五月二十七日美總統廣播全文
page 3	日機濫炸渝市區英使館防空壕被擊中
page 3	川獻機運動熱烈展開獻驅逐機百架
page 3	湘滇亦有空襲
page 3	貴州企業公司成立二週紀念
page 3	滬寧路蘇州附近列車炸毀我遊擊隊預埋地雷交通停頓十五小時
page 3	荷印充實國防集中力量建築飛機艦對日方威脅絕對無畏懼
page 3	貝祖貽抵渝將長期駐陪都料理平準會務
page 3	班禪轉世生於西藏東方
page 3	交通大學校長易人傳將改為私立福開森任董事
page 3	美對日並未放鬆主力艦留太平洋陪都我權威方面觀察美實際走向參戰這途日報指責美政府藐視日本
page 3	滬美日糾紛雙方視為小事當場立即解決
page 3	滬郵局巨劫案盜匪兩人落網二百五十萬法幣無恙
page 4	歐戰又一段落克里特島英軍撤退大部調至埃及增防
page 4	英國換取時間充實近東防務
page 4	克里特島失陷後英注視敘利亞將宣布為德國佔領區批評家主張武力佔領
page 4	英國工黨擁護抗戰英國苟戰敗工黨亦難免
page 4	美統制工業總統羅斯福已簽署一法案可指定工廠優先製國防品
page 4	英國南岸舉行登陸演習海空兩軍協助作戰
page 4	土報指斥達蘭聲明
page 4	伊國重申對英義務允許英軍自由過境
page 4	伯倫納關隘希墨會面談話數小時兩國外長在座
page 4	德國工業區遭猛烈轟炸漢堡三十六所工廠被毀英國使用新式炸彈
page 4	特德爾任中東英空軍總司令
page 4	周恩來氏之言
page 4	歐戰又一段落
page 4	教皇廣播闡述三項社會經濟原則
page 4	南愛向德提出抗議要求賠償被炸損失
page 5	粵高普檢定考試公布應考須知七月十五日起在曲江舉行報名得以能訊為之
page 5	高明潦水為災當局已會商救濟辦法水利局派隊協助修理圍基
page 5	參加補考者應注意事項
page 5	川省蔴織工業一頁盛衰史工合正利用科學方法積極設法改進中
page 5	節省汽油軍委會令禁濫用汽車
page 5	澳門米價繼續回跌
page 5	韶關杳封違禁書籍
page 5	粵維護戰時交通積極搶修公路訂定辦法多種飭屬施行
page 5	桂鬱林中學響應獻機捐得桂幣萬餘元
page 5	惠陽我軍克復牛郎徑
page 5	增博戰事我着着進展
page 5	馬來亞大軍雲集防務益見鞏固足以應付任何緊急事變陸軍總司令蒙德談觀感
page 6	基督教團體募債隊今日舉行出發典禮計共分三大隊陣容甚盛將來成績可超過百萬元
page 6	港督脛傷已漸痊愈督轅開始修葺
page 6	教會組
page 6	公平糶米會負責人談建立公共食堂情形一切工作正籌劃進行中該會希望同時發售糙米
page 6	粵港青年會隨軍服務團昨舉行出發宣誓禮
page 6	衛生局今日會議決定清糞收費辦法每層擬定八元至十元
page 6	香港大學入學試今日分兩區舉行英文中學會考定期考試
page 6	平準基金美委員福克斯今抵港不擬在港逗留即日飛渝在華考察三個月再返美
page 6	崛內日本書店被賊劫
page 6	婦女界募債擬舉行跳舞會吳涵真氏昨函港文化界請匡助募債工作之進行
page 6	戰稅法修正案根據港督建議擬訂中惟薪俸稅率尚待考慮
page 6	小販請求謁見警司陳述所受種種苦況華人代表代為陳請
page 6	西南印刷公司昨晚盛會新董事長陳策演說
page 6	全港的士司機請求改善待遇向勞工司提出改善辦法的士司機共達三百餘人
page 6	牙醫爭執
page 6	太古渣甸輪增加運費北開華北各埠加百分之二十
page 6	德輔道西一住房四賊持械賺門行劫損失銀物共值七百餘元
page 6	保良局新舊總理交代
page 6	娛樂消息
page 7	香港足球球總會下月召開年會定十一日舉行本屆最後會議討論會務及財政等結束事宜
page 7	港九居民聯會水藝節目豐富各伶星踴躍參加演唱開會儀式昨擬定
page 7	休息的藝術獻給社會的忙人
page 7	勃琪的雙打論
page 7	乒乓聯會高級團體賽八日開始報名
page 7	全港中學籃球賽培英綠打勝仗六九比二九英華隊苦戰不敵今天兩場南華對平正有劇爭
