page 2	社評日本不參加德義同盟
page 3	洞庭湖濱劇戰又起Ｘ犯新牆河北岸被擊退鄂中我軍猛攻京山縣城
page 3	閩海壯丁黑夜襲金門舉動壯烈Ｘ兵膽寒長官嘉獎以勵精忠
page 3	滬大美晚報電美政府申訴請訓令滬美總領事向工部局提出抗議
page 3	Ｘ偽反英係Ｘ軍當局授意英貨被搜查焚燬
page 3	陝小學生自動請纓殺Ｘ
page 3	滬大搜查有十二人被捕
page 3	英使來港赴滬期尚未定
page 3	偽滿境內擊落蒙機偽兵加緊築防
page 3	鼓浪嶼事件仍在僵持中被捕民眾約二百人Ｘ軍任意施以虐待
page 3	Ｘ學生無賴在滬謊報被搶
page 3	滬Ｘ貪得無厭擬再度變更海關稅則排斥市場上歐美貨物
page 3	生產會議宣言開發農林工礦交通乃經濟建設之主體
page 3	桂越旅行通信從柳州到龍州上問津
page 3	桐鄉光復民眾踴躍勞軍
page 3	滇郵務管理局昨日失火焚燬檔案文件悉付一炬起火原因頗為離奇
page 3	中央紀念週于院長報告
page 3	北平偽組織查禁批評時事者
page 3	英商輪隻實行自衛通航與遠東艦隊取得聯絡
page 3	反侵略分會開會蔣委員長致訓詞會中通過電請總會加緊援華制裁日本
page 3	國聯行政院開會顧大使發表演說
page 3	滬西居民搬家竟被限制莫不感到驚惶
page 3	粵府縮科秘書處人員略增
page 4	日內瓦會談結果英蘇愈形接近傳同意成立防禦同盟明日英閣議將有討論
page 4	德義軍事同盟昨正式簽字正款三條附款五條
page 4	未來大戰蘇新出民眾叢書預測德必被毀滅
page 4	但澤國社黨再滋事德波關係緊張波與三國委員會議定目前不變更但澤地位
page 4	靜靜的安寧河續西康踏入記二
page 4	法國海軍當局決予增強遊戈英荷海岸
page 4	羅斯福赫爾為和平呼籲希望各國放棄武力獨佔以互助商約奠和平基礎
page 4	對歐政策難決平沼在徬徨中維持和平何以黷武防止戰爭何以侵華所謂道義外交的矛盾政策
page 4	羅斯福傳九十月間將赴英報聘
page 4	自由與和平不能長久分離加無名英雄公墓揭幕英王演說讚揚加功績
page 4	捷前總統致電國聯抗議德匈兩國侵佔捷克土地
page 4	德志願兵明日起由西撤退西當局盛大歡送
page 4	日圓再慘跌每百祇值法幣九十元餘偽鈔一元六換法幣一元
page 4	長崎台灣間敷設海底電線並將繞道上海
page 4	鄂省戰局
page 4	英美親交
page 5	江門Ｘ又增援佛子坳劇烈爭奪戰隆隆砲聲石岐隱約可聞會城西門我軍二度突擊
page 5	增城皇軍四出搶劫粮食
page 5	粵各縣動員民眾當地黨政軍機關合組工作團工作進行步驟決定分為三段
page 5	合浦縣出征軍人政府代葬其母
page 5	增城戰役戰利品在梅民教館展覽
page 5	澳門貸運暢通
page 5	合浦禁囤糧食
page 5	川滇東路八百里四脚踏車週覽記
page 6	食水供給今日起全日開放各水塘存水創新紀錄渡海大水喉日內瓦接駁
page 6	英記者貝特蘭講演國際形勢集體安全制可望復活英遠東政府將有轉變
page 6	本港電報局明日改懸新旗
page 6	難童工藝救濟院已在粉嶺開辦
page 6	前西政府軍國際空軍隊隊員拉華里抵港謂西戰並未完結
page 6	改良市政第一步劃定港九工業區英皇道長沙灣或馬頭角各工廠明年須一律遷徙
page 6	救亡劇團義演賑難賑聯會昨日決定
page 6	故事講演比賽昨日報名截止港九兩方四十七校參加今日午後抽籤決定次序
page 6	諾貝爾上將仍留鼓浪嶼鎮攝
page 6	河塘鄉僑胞集款辦米回鄉散賑
page 6	婦女節制會難民自助社定期舉行甄別考試
page 6	兒童保育會游藝大會明日在九龍舉行
page 6	學童登記昨每處平均二十人
page 6	太平大戲院今日電影偷龍轉鳳
page 6	百新書店各書一律半價
page 7	干和艦退兵嘉山南華會淨勝半打新軍演出良佳戰成一面倒南征日期將延至月底啟程
page 7	打門紀錄
page 7	一九四零年奧林匹克冬季運動大會比賽日期已暫定二月間舉行瑞士籌委會擬增新項目八種
page 7	星洲足球隊出征越南記轉戰高棉大勝冠軍隊仇人相見敗于南圻甲
page 7	菲台杯選手在滬大捷山查茲力克卡遜安邦亦勝李國璠
page 7	國際足球法國勝威爾士
page 7	小型足球賽南方克晨光
page 7	滬華聯田徑隊成績不大滿意初試啼聲敗於中校聯最後接力跑判分高下
page 7	申匯不動暹匯稍縮其餘滙價均略漲英美匯市況初不定後趨緊申匯再略淡銀行頗多拋出
page 7	八九金市略形堅挺買賣較多價稍上漲
