page 2	社評日本擴充海軍的前途
page 3	當局召開軍事會議將切實執行新戰略從化附近昨發生劇烈戰事
page 3	Ｘ機狂炸常德
page 3	沙頭角平靖孤軍昨移新陣地
page 3	桂林疏散人口
page 3	張廷榮負傷吳主席致電慰勉
page 3	蔡廷鍇視察西江在江門談軍事情形反攻廣州極有把握
page 3	閩北台民自動參加抗戰
page 3	蒙青年內向奇丕彰參加抗戰
page 3	粵省黨部改組吳鐵城任主任委員
page 3	英報論中日戰事謂日方好運有逆轉可能征服中國或竟徒成畫餅
page 3	我機襲漢口在機場附近投彈轟炸聲遍於全市
page 3	日明年度向東北移民經費增加百分之五十設立移民局負責管理
page 3	華北民眾向政府獻金
page 3	牯嶺孤軍將協助外僑出險
page 3	十二學術團體昨擧行首次大會大會宣言下月一日發表希望各國文化上的援助
page 3	綏自衛軍截擊偽軍
page 3	我向德州推進
page 3	南匯縣長遷往縣城辦公
page 3	外人在華權利將全部抹殺Ｘ國民新聞之預言
page 3	行政院會議議決實行集團節約請國府褒揚范築先
page 3	富陽Ｘ蠢動
page 3	馬步青倡導獻金國府明令嘉獎
page 3	渝桂滇線每星期飛三次
page 3	刺陸連奎案最近將有開展捕房搜捕多人
page 3	錢鏡平夫婦昨在滬被斫斃
page 3	我軍固守勝芳永清偽軍四千反正
page 4	法工潮仍洶湧工聯會決維持原議法政府下徵用命令
page 4	里賓特羅甫赴法期延展料在下週始能成行並將磋商經濟協定
page 4	美中立法案修改尚早駐英美使將返國述職美副國務卿韋爾斯談
page 4	偉大的同情由美國帶到了中國麥邁穀貴陽會見記長城寄自貴陽
page 4	日本軍閥鼓吹擴軍必須與中蘇同時作戰請求軍火商大量製造
page 4	張伯倫聘義羅馬表示歡迎討論範疇必將擴大或將發表英義宣言
page 4	張伯倫講演遊法觀感兩國目的在保障和平英無派軍隊赴法義務
page 4	皇室中事張伯倫入覲英王
page 4	葡總統聲明不放棄殖民地與祖國如指臂之相連絕不容他國分割
page 4	畢羅此次聘義曾討論各項問題昨已取道巴黎赴荷蘭
page 4	英報載稱德動員三軍團德宣傳部予以否認
page 4	菲律賓獨立不能提早美對菲優待稅則延至一九六零年
page 4	霹靂埠大水為災死六十五人
page 4	柏林至東京德機起航全程萬餘公里
page 4	捷前總統貝奈斯決在英倫久居
page 4	日淺間火山再度爆發
page 4	匈京大學監督遇刺重傷
page 4	教皇病愈恢復日常工作
page 4	華北英商受日方歧視英政府將着手調查眾議院中曾提質問
page 4	泰晤士報的評論
page 4	淪陷區的愛國民眾
page 5	企人石Ｘ艦突增中山形勢頓告嚴重守土長官表示決心抗戰沿海交通已作破壞準備
page 5	翠亨前山兩鄉劃為難民安全區明天起舉辦由英葡牧師主持
page 5	西江南路遭慘炸早轟荻海夜襲江門內河小輪炸沉數艘
page 5	列應佳代中山警察局長拿辦勒索船隻軍人
page 5	廣州近郊游擊隊活躍花地米機七家被焚河南Ｘ軍四處受擊
page 5	新會自衛國隊長林雲堯有勒索嫌疑被押辦自衛會通令飭自愛
page 5	增強抗戰實力粵增編五師翁照垣等分任師長
page 5	趙老太太關懷粵省遊擊隊敬致慰勞金慰勞信
page 5	陽江限制運米
page 5	澳門寄贈棉衣
page 5	番禺孤軍待援
page 6	港邊境昨日平靜沿邊居民奉令遷出
page 6	聖約翰救傷隊
page 6	在粉嶺設留產所
page 6	賑聯會在新界設救濟難民辦事處許世英允撥五萬元助賑舉辦大規模遊藝會籌款
page 6	中旅分家記舊團員已有新組織唐槐秋要另起爐竈
page 6	解決港柴荒當局向澳交涉請解柴薪禁例
page 6	衛生局限今日拆毀公地茅寮茅寮貧民昨舉出代表呈華人代表請求展期
page 6	羅旭和向記者談新界難民約五萬政府已進行安置收容中劃定難民區俾便於管理
page 6	警察嚴防難民入港
page 6	入口嘀昨開會决議請西商會緩出貨期並請華商會買辦會協助
page 7	且看今日美女壘球隊棒打華港兩聯軍下午三時半起嘉山文武相見一行三十一人今晨由菲抵港
page 7	美國最出色的投手蒂雷成績驚人四年中比賽一百七十二場共殺出打手二千六十四人
page 7	一比四東沙利在滬敗北麗都甲頭角崢嶸
page 7	學界籃球決勝戰今日華南對華大
page 7	美網球選手後日抵港
page 7	孤島藍球漫談
page 7	星洲中華足球隊長許厚坤昨抵港
page 7	外匯美菲荷德回漲英匯上午市面上況堅挺下午穩靜
page 7	股票市況堅穩賣家拋出有限成交數目無多
page 7	金條略有成交
page 7	江浙淪陷區域遷滬銀行調查各行照常辦理收付事宜浙江地方銀行便利押款
