page 1	對中央銀行之期望
page 2	東北國軍追抵松花江岸膠東方面戰況漸烈共軍入高密一度攻膠縣
page 2	京滬中共人員撤退定七日乘美機返延司徒大使昨為董必武等餞行
page 2	關於上海金潮四監察委員報告書發表監察院將糾彈不法官員
page 2	經濟機構重新調整最高經委會易名全國經委會改隸政院由蔣院長任委員長下設物價委會監督物價管制昨晨政院例會蔣兼院長親臨主持
page 2	三中全會月中舉行定十日起開始報到各地青年團負責人將赴京列席
page 2	立院例會新立委首次出席
page 2	動用基金購棉聯總中央委會開會我國要求即付討論
page 2	徵用國外存款立委擬就辦法四項
page 2	呼籲保障人權北平各大學教授發表宣言北平通信
page 2	津市戒嚴時間提前
page 2	我赴日記者團昨參觀日議會
page 2	武漢時報被搗毀後警備當局限期破案
page 2	孔德成將赴美
page 2	政府決定進行全面改組雷震談稱月中可能完成國府委會政院名額分配決定
page 2	台北騷動事件監察院令楊亮功前往查辦市內秩序已恢復
page 2	雅安城外砲火隆隆城內續開政檢會議
page 2	梅農在港談話希望完成中印商約
page 2	西沙群島問題中法將進行談判
page 2	美軍官被俘消息外記者飛長採訪
page 2	中英航空協定草約已告完成
page 2	劉攻芸任央行副總裁
page 2	湯恩伯抵徐
page 3	英法盟約昨日簽字法總統特電英王致賀貝文皮杜爾分道赴蘇
page 3	美經濟援希具體化馬帥要求眾院通過借款並將在蘇京與貝文商談
page 3	美國為什麼不歡迎華絲
page 3	史達林辭軍政部長遺缺由布爾加繼任
page 3	赫爾利談話退出中國踏進希臘美國政策必有一誤
page 3	英下院一場激辯邱吉爾詰問巴勒斯坦局勢
page 3	英工業用電全部照常供應
page 3	美徵兵法月底滿期杜魯門聲稱將不予繼續但兵額不足時仍可恢復美參議院通過削減預算
page 3	增加飛行安全美發明新儀器
page 3	蘇京會議範圍甚廣外電傳將討論中國問題
page 3	杜魯門抵墨京發表演說強調民主謂睦鄰政策就是民主主義運用在國際關係上特別包括不干涉主義
page 3	賴伊訪郭泰祺傳為討論巴勒斯坦問題
page 3	政治解決越局先聲法任波拉特為駐越專員
page 3	英國裁減軍費軍隊人數將大減少
page 3	波蘭代表團抵英談判商約
page 3	蘇聯否認韓北徵兵說
page 3	鎮遠艦錨鏈盟軍令日方送還我國
page 3	英埃爭議決提安理會埃總理宣布英不反對
page 3	朝鮮臨時政府即在韓南成立
page 3	首批日本賠償工廠業已指定九百餘家
page 3	昆重選參議員競選者作競選演說
page 3	偽教育督辦王謨處刑十五年
page 3	鄂省政情
page 3	荷印扣船已全放行外交部接新加坡領館報告
page 3	成渝鐵路大批購料
page 3	南京下關慘劇江岸一段突崩塌五十餘人落水死傷廿餘人
page 3	蘭州監犯越獄
page 3	杭舞場職工請願要求開放交際舞
page 4	中法航線巨型機二次試航昨抵滬正式開航日期尚未定
page 4	台糖配售價格不變台糖公司吳兆洪談話
page 4	日本郵件局部恢復寄遞
page 4	電力供應已趨好轉
page 4	大美輪公司克佛先鋒號明午離滬去美
page 4	滬蘇劃界定期在京開會
page 4	青年會徵募會昨招待各隊長目標五億七日首次揭曉
page 4	農村建設協會昨開籌備會
page 4	國際婦女節婦女界籌備紀念
page 4	行總飛行員飛美駕駛各機來華
page 4	西式木器業勞資昨和解
page 4	擦槍走火一傷自己右胸一傷別人小腹
page 4	商務書館產業工會請按生活指數發薪
page 4	郎毓秀伉儷今午同出國
page 4	中韓文協滬分會推潘公展為理事長
page 4	祠堂佔作佛堂無賴尋死覓活包圍祠主家警員勸無效派到警備車抓住六個人
page 4	羅敷已有夫仍纏擾不休高文龍罰金三萬元
page 4	殺弟之仇舟山　惡棍來滬施翠桃報隊抓著
page 4	預防天花白喉免費種痘打針
page 4	王好友被敵人打死其父控告祥生車行要求養老金等近億元
page 4	法官不敵查票打得口流鮮血行兇人董浩交保聽候核辦
page 4	反對專制婚姻姑侄相偕私奔夏長寶等被控妨害家庭
page 4	調整外匯率後蛋業發動輸出蛋業界建議輸推會四點
page 4	放寬西藥進口額輸管會先做調查參考工作可能考慮併入化學原料內酌予進口
page 4	大宗出口貨另組聯合公會
