page 1	"社評再論法國的第三勢力"
page 2	"經濟方案續研討中翁文灝昨與張群宋子文商談並將聽取滬工商界人士意見"
page 2	"司徒立門展期返華歐威在津談經合署工作謂將著重協助工商等業"
page 2	"公用事業價格暴增滬參會要暫緩實行吳國楨提出三點建議"
page 2	"秋老虎襲京室外氣溫百○二度"
page 2	"開封通信龍池的設治豫鄂爭奪雞公山管轄權的解決"
page 2	"中緬勘界告一段落傳角今等昨返抵京第二步工作秋間可開始"
page 2	"滬機票黑市高達十億元"
page 2	"教部撥款熱省開辦臨時中學"
page 2	"冀東國軍四路出動太原外圍局勢轉鬆當局稱　軍尚未進入樊城阜陽"
page 2	"運滬煤斤愈來愈少"
page 2	"滬大雨發生慘劇永備內衣廠走電起火職工被燒死四十多人"
page 2	"限田工作不力桂卅縣長記過"
page 2	"武漢現鈔缺乏機關無法支薪"
page 2	"岡村寧次公審期即可決定"
page 2	"川大雨成災四十多縣有損失"
page 2	"長江水位續降武漢水災可免"
page 2	"黃工總局長談防汛情形"
page 2	"七五事件初步調查秦德純說已有結果但詳細內容他不願發表"
page 2	"桂林通信議員們心所謂危記桂省參會大會"
page 2	"大巴山公路月底可興築"
page 2	"得寶失寶上海有人拾到鑽戒洩漏口風終被沒收"
page 2	"西藏內部傳有糾紛熱振黨徒反對攝政榮增"
page 2	"外人離市辦法滬警局或有修改"
page 2	"紳士的幽默滬一服裝店登廣恭請竊賊再度光臨"
page 3	"賴伊向聯大提出報告坦率指美蘇各有不是呼籲各大國停止對德的爭執望即決定是否交聯合國解決"
page 3	"四強會商條件尚待協議莫洛托夫將再晤三使節外長會議可能在下月舉行"
page 3	"巴達維亞通信西爪哇的不靖與印荷中止談判"
page 3	"柏林封鎖可望解除蘇方修築鐵路幹線西方各國官員不信此項報道"
page 3	"美軍火庫爆炸廿哩外也可看見火光"
page 3	"美積極造艦十六艘戰艦在建造中"
page 3	"重建工作進行中法人道報諷剌西方各國在扶植德國納粹的再起"
page 3	"多瑙河會議否決英議案公約爭執不提國際法庭"
page 3	"美兩黨反臉議員要控杜魯門因為他拒絕提供情報"
page 3	"聯合國下年預算三千三百萬美元賴伊將向聯大提出報告"
page 3	"雷諾要求特權法議會予批准"
