page 2	社評但澤問題的關鍵
page 3	晉城附近展開血戰Ｘ軍增援反攻城郊砲火連天豫南我軍挺進已收復長台關
page 3	深圳昨又失陷Ｘ由赤灣登陸猛犯我軍集中淡水待機反攻
page 3	湘鄂我軍動員經濟戰經濟部將設辦事處謀進一步打擊Ｘ人
page 3	鄧錫侯返蓉向師旅長訓話
page 3	粵參議會通電聲討汪逆賣國行為人所共棄愛國同胞萬勿受愚
page 3	外匯黑市之長期穩定對策二
page 3	魯省偽軍紛紛反正
page 3	Ｘ機一架在滬失事墜落
page 3	滬Ｘ人造謠圖擾亂市場
page 3	汪逆又赴滬
page 3	南路慰勞團馬超俊談觀感前方將士士氣振奮軍民合作表現澈底
page 3	漢Ｘ扣留各國郵袋
page 3	東戰場我軍總攻江浙Ｘ受創揚州發生大混戰附近河流為之赤
page 3	滬兩租界傳Ｘ方將封鎖
page 3	津美婦被侮辱案各地美僑極憤懣電請國務院強硬交涉津美領已提抗議
page 3	華北水災影響Ｘ軍運各路軌道多被沖毀我游擊隊異常活躍
page 3	我報評論我法幣現況英國對華貿易將受嚴重影響
page 3	滬西槍戰偽警包圍旅館
page 4	波蘭但澤間舉行重要談話布克哈特謁希特勒後有作外交上調解可能
page 4	波蘭不畏威脅不作片面讓步
page 4	英法立場不變研究布氏報告
page 4	德義報紙論調希冀不勞而獲
page 4	義圖假手西班牙攫取直布羅陀德報已開始為義鼓吹
page 4	傳蘇主三國協定應包括遠東英方對此尚無表示
page 4	美國動態
page 4	國際學生大會舉行三屆會議至卅五國代表共二百人我由顧大使任首席代表
page 4	英軍六千增防埃及
page 4	英客機一架失事沉沒死乘客四人
page 4	尼赫魯定期首途來華
page 4	對天津存銀問題英國不變初衷現仍與美法磋商中日軍代表返抵北平
page 4	羅土兩國簽軍事協定土海陸軍戰時由羅調用羅王聲明疆界不容變更
page 4	Ｘ對歐政策五相會議決定後已訓令德義日使
page 4	瑞士實行戰時準備
page 4	很對不起帝航機在法領空被鳴砲六響警告
page 4	紅軍大批東調增防西伯利亞對日作萬一準備
page 4	白波兩海間運河加濶蘇當局加緊工作俾通過大型軍艦
page 4	英國上月份對外貿易
page 4	深圳再陷
page 4	一個聯想
page 4	蘇聯突停止十四航空線並未說明理由
page 4	大阪皮革廠被反戰份子炸毀
page 4	猶太難民昨有一批抵滬
page 5	我軍三路挺進江會展開激戰Ｘ驅使偽軍進擾三沙圖斜出新沙再犯睦州
page 5	從七七到八一三
page 5	瓊Ｘ損失奇重調返整理我軍出擊屢予重創
page 5	中大學生入滇肄業各縣酌予補助川資
page 5	Ｘ機擲軍火接濟奸匪桂林行營飭屬嚴防
page 5	中央派員搜集粵抗戰史料
page 5	中山瑣聞
page 6	港越滇越間貨運極為擁擠存港貸物甚多中有經年尚未起運者國產藥材出口量大增
page 6	商會收到獻金已有國幣十萬商賑會常務會昨日會議曾討論監察籌賑機關事
page 6	婦女兵災會兩週紀念大會明日假座華商總會舉行檢討過去會務增強效率
page 6	本報工友八一三獻金
page 6	義賣再接再厲三大繁盛區域今日開始深水埗區商戶競獻義標
page 6	各地華僑救護隊返國服務須經備案
page 6	羅便臣上校談香港防禦鞏固
page 6	今日的西北聯大醫學教授來港購買儀器國幣跌價希望各界援助
page 6	銀桂新輪環遊世界本月二十日可抵港萬噸巨輪今日下水
page 6	洪流劇團定期返內地服務
page 6	太平戲院二十二晚八和集會
page 6	義風社獻建國燈成績逾二萬元各獻金台結束成績美滿商會獻金台餘今明兩日
page 6	粵省賑濟會舉辦小學教師登記
page 7	南華足球在爪硅力克八打威選手三比二陳德輝打進兩隻球李碩友昨晨由星抵港
page 7	大陸足球隊定二十出兵陣線已排好實力強硬
page 7	今年歐洲網球十傑表
page 7	東方足球義賽廿七開賽
page 7	國際棒球比賽臨時發生變化
page 7	二三事
page 7	港游泳二次預賽魚姊雄風猶昔百碼自由泳成績不差男三式泳陳其松逞能
page 7	外匯牌價俱不動英美匯市均黯淡申匯市況穩靜銀行殊少拋出
page 7	英金不動英銀均落
page 7	八九金市仍穩但靜買賣不多價格略降
page 7	股票市仍穩定半日成交僅二萬餘元笠金礦股票行將派息
