page 1	東西兩大集團的經濟鬥爭
page 2	洛陽國軍棄守鞏縣激戰威海衛龍口蓬萊亦撤防胡宗南奉召昨自西安飛京
page 2	國大今日兩次大會繼續討論議事規則蔣主席日內報告國內外情勢
page 2	天下一家還是美蘇一家
page 2	國大糾紛未了立委糾紛又來民選立委聯誼會報告要政府發給當選證書
page 2	選舉總統日期未定
page 2	國大花絮
page 2	粵今年農貸核定總額一萬餘億元以糧食生產貸款為最多
page 2	經濟為甚麽變壞滬外商舉行時事測騐大多數認原因在內戰
page 2	絕食代表還在絕食解決提案尚未提出于斌勸代表按民主程序復食
page 2	總統就職時將舉行大赦
page 2	上海文化界風風雨雨中
page 2	民社黨決定不競選副總統
page 2	旱已臨頭纔說防旱
page 2	加強虎門守備組織即將擴編
page 2	金軼倫等日內解京審訊
page 2	美使明飛穗巴大維隨行
page 2	美保存日戰時工業吳半農促遠東委會各國設法制止美國一意孤行
page 2	張君勱定明由滬赴京
page 2	津學生反迫害南開女學生遭悶棍學生舉行示威大會
page 2	對雷諾事件美大使館發表聲明
page 2	河南內港工程穗市招標興築
page 3	德萊柏替日本呼籲美援促請華府考慮兩項計劃兩億扶助工業復員四億救濟
page 3	英蘇一度密商後德局勢未開朗英美當局都說統一無望蘇管區宣布即實行普選
page 3	劇變中的緬甸政局
page 3	美煤礦工潮愈擴大罷工工人已達四十萬名資方卒願與路易士談判
page 3	蒙哥馬利返英說柏林宴會是普通社交
page 3	英蘇撞機事件蘇歸咎於英方
page 3	美報人赴德被蘇方扣留美方已提出抗議
page 3	英財政有辦法克里浦斯提出新預算案增加煙酒稅減徵所得營業稅預計本年度可盈七億多鎊
page 3	巴勒斯坦衝突敘利亞軍隊攻擊猶人
page 3	美擬擴充空軍眾院軍事委員會提出主張撥五十四億建七十航空隊
page 3	再有世界大戰瑞典要守中立
page 3	埃及多事警察工潮才平息醫院工人又罷工
page 3	裁軍之爭蘇責英美領導擴軍美說蘇聯整軍更甚
page 3	軍事互助十年蘇芬友好條約簽字芬蘭獲得蘇聯兩大讓步
page 3	美援外主持有人霍夫曼受命負責執行計劃昨天推銷汽車明日分派美元
page 3	新聞自由憲章新聞會議開始草擬
page 3	菲議員動口又動手從會議廳打到走廊外面一個眼睛腫一個臉斑黑
page 3	亞洲兒童待救聯合國救濟代表談片
page 3	遊園孩童無辜喪命溜冰小姐待價而沽
page 3	美洲殖民地要解放委內瑞拉抨擊殖民國家主張公民投票決定歸屬
page 3	南韓發生暴動女戰士島群眾攻擊警察美當局說是共產黨煽動
page 3	貝奈斯演說倡培養自由精神
page 4	港府要平抑糧價將源源拋售食米定今天拋出一批定價每擔六八元據說來源暢旺連貯藏都成了問題
page 4	華商總會入會問題又有申請入會行號致函商會要求審查
page 4	環球單人飛行曼斯菲德月內可抵港
page 4	私設電台昨又破獲一起
page 4	屋荒下的生意九龍有許多屋宇介紹所設立每層樓頂手鞋金索款達數萬
page 4	夏令時間下月二日實行
page 4	獅子石謀殺案四個被告昨天受審其中一人當庭釋放
page 4	大角咀昨發生火警燒去枕木幸未傷人
page 4	西報評論
page 4	租務糾紛釀成血案二房東持刀砍傷三房客九龍裁判署定今天續審
