page 2	日汪陰謀之再暴露
page 3	小董日軍連日反攻企圖固守鬱江兩岸軍事發言人談桂南殲日經過
page 3	虹口警權問題工部局與日方簽訂協定表面日人雖算交還寶際大權仍然在握
page 3	美戴爾福醫生來華考察現抵滇緬邊境九日可抵昆明
page 3	行政人事會議職員代表派定並聘專家參加
page 3	滬民生艱難社會危機日深工潮蠭起物價飛漲賤如荳腐起碼亦須一角
page 3	陸川交通柱省府准予開放以便利粵桂問題
page 3	浙大遷黔本學期已開課
page 3	滇省積極擴展育蠶事業將在富民設立柞蠶場農行已決定貸款協助 
page 3	滬外籍觀察家論汪偽組織所有大權將操日人之手縱令成立無礙士氣人心
page 3	渝鮮人紀念獨立運動日
page 3	教部注意社教派員分赴各省視察國民教育會議十日開幕
page 3	日偽亡華密約又一揭發續
page 3	冀魯豫我軍活躍晉東南衝入長子
page 3	中國民族絕不能征服抗戰實力正與日俱增華德主教之明確觀察
page 4	雅納爾發表讜論美國不容袖手談妥協其勢必失敗日本挑戰直等自殺
page 4	傳義將要求派艦至黑海根據蒙德婁協約規定須向土耳其徵求同意
page 4	日海陸軍擴充程序細則經費達五十九萬萬議會對此無由過問
page 4	英議員質問中國航運問題日方故意窒礙英國貿易開放長江珠江毫無誠意
page 4	芬軍左翼已被包圍蘇軍開抵維堡城下各方調停空氣又濃厚
page 4	賽丹演講土外交政策維持自主不受外力支配半年以來蘇土關係未變
page 4	羅斯福今日返華盛頓
page 4	汪兆銘與王克敏 
page 4	日本的軍需景氣
page 4	雅納爾上將名言
page 4	日資產階級窮奢極慾夜生活空前景氣八月中耗五萬萬
page 4	西藏紀行四
page 4	美參院通過信用貸款案立法手續皆已完成現已送羅斯福簽署
page 4	淫威下的齊藤自動辭去職務
page 4	東京兩報對英恫嚇
page 4	韋爾斯抵柏林晤里賓特羅甫倫敦盛傳德提和平條件
page 5	日軍四出拉伕揚言將進犯雙水新開路日軍出擾受創
page 5	燈紅酒綠下孤島兩血案陳曼麗飲彈百樂門錢人龍畢命仙樂宮
page 5	躍出青年連開三槍
page 5	仙樂兇案
page 5	曾充探員近頗豪奢
page 5	傷在要害不治斃命
page 5	槍聲兩響倒臥地上
page 5	矮樹叢中躍出刺客
page 5	仙藥舞宮時有蹤蹟
page 5	上海第二歹土南市寸步荊棘賭風盛熾白晝盜匪橫行滬西賭窟營業每況愈下
page 5	第一游擊區召開政工會報發動戲劇宣傳
page 5	恆安賭窟
page 5	粵聞巢誌
page 5	西康日記六五
page 5	女子招待
page 5	寸步荊棘
page 5	增加三倍
page 5	粵戰時政工隊組織大綱已定
page 5	粵教廳推行國歌運動務使人人會唱
page 5	兇手挾槍飛奔逃逸 
page 5	被殺原因尚在偵查
page 5	應客之招伴坐清談
page 5	色美藝高紅極一時
page 6	春禮勞軍運動各僑團紛紛響應金銀貿易場已捐五萬元塘西歌姬發起七次義唱
page 6	塘西歌姬七次義唱
page 6	港九學界勞軍辦法 
page 6	捐款萬元勞軍振難
page 6	華商總會昨日成績
page 6	慈善公益會昨舉行五十周年大會香港慈善公益會昨舉行
page 6	音樂籌款會中紅外僑協會舉辦定二十八日晚舉行
page 6	各界籌備舉行總理逝世紀念日聘羅旭龢爵士為大會主席請葉恭綽氏演講總理史略
page 6	木協留港會員主辦木刻研究班招生青年木刻家唐英偉指導報名由即日起十五日止
page 6	粵文物展今日閉幕下午舉行隆重典禮
page 6	貨艇　載油接濟日軍違例被罰火油充公
page 6	廣州大學十三周年紀念舉行名流雅集 
page 6	唐歐洲君學成歸國榮獲德國醫學博士培正同學明日歡迎海內聞名肺病醫生唐拾
page 6	虎嘯枇杷巷國民戲院今日起映
page 6	新聞學院明日考試今日仍可報名
page 6	女學生座談會
page 6	三八節遊藝會
page 6	紀念三八婦女節決在港聯合舉行各女校舉行勞軍遊藝會各國婦女界亦開會紀念
page 6	兒童振災會紅包運動捐得港幣六百餘元十七日舉行結束 
page 6	太古怡和增收中國沿海運費
page 6	昨晨有怪汽艇偷闖進海軍塢速率甚高圖駛靠運油船當值印警發覺開槍擊退
page 6	金銀貿易場即席捐得國幣五萬
page 6	米行決定捐足萬元
page 7	南華南秣馬厲兵今天鬥米杜息下午四時半在加路連山場蘇軍在掃桿埔戰光華 
page 7	足球總會敬告球迷提防假票阿池請各會送名單準備選員報聘西貢
page 7	誰是知音
page 7	兩英艦沉沒海軍球員三人壯烈犧牲
page 7	連珠砲穿一中再中
page 7	美菲荷匯牌價略縮英美匯市均淡靜申匯市況沉寂銀行頗多拋出
page 7	八九金市昨略趨穩定
page 7	昨日本港股票市況仍穩定成交總值達四十餘萬元
page 7	尖事記
page 7	滬國際杯足球賽中華淘汰蘇軍七比二得決賽權
page 7	上半時三比一佔先
page 7	二分鐘內連中二隻
page 7	奉告籃球聯會新委員
