page 2	為泰國設想
page 3	美國加緊經濟援華新借款已大致確定滇緬路重開美輿論一致欣慰飛機一批將由緬甸運至重慶
page 3	畢德門演說斥日侵略美國加強遠東防禦
page 3	國民外交協會電謝英援華會
page 3	戴古飛順化泰反法情緒仍高漲一時尚難開始談判
page 3	滬日軍官又一人被槍擊日軍大事搜捕
page 3	傅案餘聞
page 3	越境我僑胞紛紛返國桂省府飭令救濟
page 3	中大羅校長昨向英廣播
page 3	中宣部王部長發表重要宣言勉國人今後加倍努力望友邦繼續援助中國
page 3	滬槍殺案大陸飯店經理李恭臨被擊斃
page 3	滬楊樹浦區罷工工人暴動巡捕出動彈壓未釀巨禍法租界工潮今日可解決
page 3	童軍總會勸募寒衣目標為三十萬件
page 3	渝市十團體獻旗馮將軍
page 3	滬民食問題仍極嚴重租界當局謀根本解決
page 3	美報傳出消息荷印與日本商妥辦法荷印今後六個月內供給日一部份煤油
page 3	滬又一綁案
page 3	由國際金融中心的動搖談到英鎊的前途倫敦九月十二日航信二
page 3	以煤油代汽油行車美孚公司試驗成功
page 3	宋子文瓊斯正會商中瓊森表示願助中國
page 4	贛北我軍夜襲武寧瑞昌間日軍受創奉新西殘日突圍不逞
page 4	菲列賓日間諜活躍菲軍官盜賣機密文件案將有引起國際因素可能
page 4	英政府決不遷移繼續在倫敦辦公
page 4	羅齊安返抵倫敦
page 4	英魚雷快艇不斷改良進步為英海軍最新秘密武器速率每小時可行五十哩
page 4	威爾基演說一切歸咎新政謂其稽延國防建設保證決不參加歐戰
page 4	貝當之悲哀義大利人民報著文警告貝當勿濫發言
page 4	英陸相出巡近東巴爾幹局勢仍緊
page 4	英海軍人員陞調委出國內艦隊總司令
page 4	美國草選結果羅斯福佔優勢羅斯福氏定期發表五次重要競選演辭
page 4	美陸部定期召集應徵兵役國民軍亦將入伍服役
page 4	英議員任期延長一的邱吉爾在眾院提議
page 4	美對華新借款
page 4	泰親善團抵新加坡並將參觀各要塞
page 4	日將發聲明
page 4	未免不諒
page 4	比海夫被捕因宣傳反戰
page 4	日德在美的大險謀二
page 4	英徵用愛拉船隻蘇提出抗議蘇大使與英外相長談
page 4	荷印人民購機贈英
page 4	德國不滿日畏縮態度里賓特羅甫失望憤怒對遠東估計頓成錯亂
page 5	南華出戰米杜息東方嘉山會九龍
page 5	全港華人水運大會連創三項全國紀錄
page 5	德權鼎賽今日比賽兩場
page 5	今晚秩序
page 5	東方會新猷籌建球場會所香港政府已允撥地一方
page 5	文奎助陣健將如雲
page 5	上海慈善籃球精彩百出百樂又勝群毅
page 5	滬足球開賽首戰聖芳濟勝法商
page 5	東方遇九龍
page 5	南華戰米軍
page 6	滇緬路重開後港禁運令未撤銷輔政司史美昨與記者談旅港日僑連日陸續離去
page 6	青年會主辦小學生演講比賽今日下午在青年會舉行參加者十五學校廿七人
page 6	參加學校
page 6	印兵射殺無名男子因潛入陸軍司令部
page 6	魯迅逝世四周紀念文化團體開會紀念
page 6	統制販柴對柴價並無影響呈報表改用中文
page 6	四邑籌振會撥款救濟台山災民
page 6	羅拔遜畫展昨日開幕葉恭綽致開幕詞
page 6	關於大擴
page 6	起源在英國
page 6	學習過程中
page 6	吹到來香港
page 6	今後的展望
page 6	兒童劇場今晚召開會議
page 6	廣大學生昨歡迎美紅十字隊
page 6	紐約時報記者亞朋德過港赴星採集新聞及寫作材料將經滇緬路赴渝考察
page 6	防空洞工程
page 6	海妖赴澳洲
page 6	疏散婦孺生活費將在澳洲支付
page 6	現代中國高等教育之演進上十七日晚在本港無線電台講演
page 6	評判標準
page 7	粵南局勢趨穩定南路行署嚴緝走私資日軍管區視察團扣留多人
page 7	桂林警察局加強警政拆除棚篷收容乞丐預防火警取締私娼
page 7	廣東旱魃為災各縣組織救旱隊某戰區司令部發動官兵協助開闢水源引導灌溉以資救濟
page 7	市內用水
page 7	四川興水利川康水利局併入川省陪都市內用水解決中
page 7	澳門學生救濟會臨時會議決定續辦周雍能等任新委員
page 7	沿河土地
page 7	價格飛漲
page 7	本港股票市況好轉昨成交八萬餘元
page 7	申匯牌價略漲美匯市況沉寂
page 7	四四金市靜穩金條成交不多
page 7	國幣穩定
page 7	廣東見聞錄續完
page 7	中大學生千餘抵韶報到訓導長聘定王慕尊
