page 2	提高警覺加緊奮鬥
page 3	龍州日軍又圖西犯經我痛擊狼狽回竄襄西我軍不斷襲擊宜當殘日
page 3	日機百餘架又飛川肆虐被我空軍痛擊逸去
page 3	黔開陽等縣發現礦鹽財部派員主持開採
page 3	清華大學留美考試昨起在昆渝舉行
page 3	張彭春今日由港往孟買轉道赴土國履新
page 3	傳法國軍艦一部抵越南越當局態度轉堅定法泰傳明日起談判
page 3	汪兆銘孤城閒居竟大發牢騷居然還以為有臉可丟 
page 3	慰勞總會報告捐款分配情形
page 3	滬機件一批又被日人搬走
page 3	滬大美晚報編輯被暴徒狙擊程振章中兩彈傷勢甚危
page 3	日本新體制組織所傳如此架床疊屋無異多此一舉遞信鐵道兩省將予合併
page 3	胡西園由滬抵港失蹤傳說不確
page 3	政務巡視團赴滇東視察事畢即逕行赴黔
page 3	顧翊群由曲江赴渝
page 3	日俘兩名要求參加反侵略工作
page 3	日本敢南進嗎
page 3	陳國樑斃命
page 3	滬租界防區問題美日直接交涉中應由美軍接替之英軍防區現暫由萬國商團負責維持 
page 4	英政府信念堅定加緊對德警戒認德雖有長期戰姿態並未放棄閃電之企圖
page 4	德國又一姿態不封鎖愛爾蘭
page 4	蘇聯慶祝航空節全國各地舉行展覽模型機賽又創紀錄
page 4	東非義軍再展開攻勢英軍集中實力奮勇抵抗義方抨擊法屬索馬利蘭
page 4	英機襲波隆港德損失極重大
page 4	羅斯福金氏談話結束設美加聯防部處理西半球北部防衛事宜美政府人員一致贊助
page 4	大橋忠一權理外次因資格未孚改任是職
page 4	里賓特羅甫接見匈外長匈羅談判昨日重開羅保舉行首次會議
page 4	直布羅陀當局積極 布署防務直西邊境開掘運河英國僑民強迫疏散
page 4	英準備充實大難臨頭亦可應付鋼鐵原料供應不斷
page 4	德正努力增進對土貿易巴本曾晤土總統
page 4	汪派的苦悶 
page 4	美加設聯防部
page 4	日火山爆發噴火數十丈
page 4	今日歸綏記托縣游擊縣長的談話論行政總樞的三大機能設計與考核 
page 5	東江空前浩劫惠州屬大水成災一月之間陸沉兩次
page 5	水勢高漲空前未有
page 5	溺斃人畜塌屋沉船
page 5	當局軫念分別施濟
page 5	我軍出擊江會直攻舊社汾水江粉碎日軍進犯斗門企圖
page 5	空軍幼年學校桂區新生十七日離桂入學桂儘量收容義童
page 5	博羅難民墾殖區各方捐贈難民糧食初期墾殖本月完成 
page 5	鍾毅靈櫬移往堯山墓基覓定籌備落葬
page 5	粵軍糧局本月初間奉命成立各地設站擔任運輸
page 5	日機濫炸奉化溪口落彈八枚損失尚微
page 5	西康日記一四九第七編由梭坡到九龍
page 5	粵驛站分處九一成立解決戰時交通
page 5	水告退落籲請振救
page 5	農產物品蕩然無存
page 6	徵募寒衣運動港僑團聞風響應各界振聯會今日將討論認徵代金應為五十萬元
page 6	徵募辦法
page 6	節建儲運委會擬定獎勵辦法香港分會昨已奉到公文發給獎狀獎章記名考績
page 6	警察當局開列保衛團初選名單昨日全部送交華商總會商會定期討論圈定辦法
page 6	佛山輪昨日未返港
page 6	警察當局負責指揮
page 6	代督諾爾頓昨日巡視四醫院醫務總監司徒永覺隨行對各醫院辦理均表滿意
page 6	防癆協會執委會議經過函請西商會各會員加入選定標準痰孟進行製造
page 6	華商總會獻金台結束僅國幣二千餘元該地會計處仍代收獻金歌姬售花文姬獲得冠軍
page 6	旺角亞皆老街山泥崩卸泥工慘遭生埋因爆炸石塊後泥土鬆弛結果兩人獲救一人斃命
page 6	山泥塌下
page 6	一死兩傷
page 6	中英文化姻緣
page 6	商會定期開會討論
page 6	團員人數約共二千 
page 7	足球大戰前夕國軍籌備積極南華舊人眷戀故居星島前途殊難樂觀
page 7	下半年度賽馬九月下旬開始各方良駒業已陸續出動澳洲新馬又到一百餘匹
page 7	德權鼎聯賽榮發勝魚業
page 7	愛爾蘭杯小球今日舉行抽籤 
page 7	高級學界籃球一筆總賬廿四日舉行頒獎
page 7	夏令籃球賽補賽秩序定廿三日開始
page 7	足球總會中文年刊下月初旬出版
page 7	隨征一得
page 7	各地球藝水準
page 7	港圓外匯牌價續漲英匯靜寂美匯略緊
page 7	國幣市況依然堅穩
page 7	股票市況穩定人心轉安買賣略增
page 7	八九金市況平穩
page 7	南華會主席顏成坤赴美
page 7	海外網球
page 7	論胸泳蛙式蝴蝶式鯨魚式
page 7	南華操演小記
