page 2	社評美國不應再拖
page 3	赫爾來栖再作長談美京空氣依然悲觀
page 3	日充滿挑戰論調華盛頓態度鎮靜
page 3	和平先决條件日軍退出中國美參議員强調主張
page 3	存最好之希望作最壞之準備英報論邱吉爾遠東政策美日談話經過英皆知悉
page 3	我駐加公使使劉師舜定下月中赴加履新外部擬在海外設置新聞專員
page 3	顧大使訪英外相商遠東局勢雙方意見完全一致
page 3	平津美軍撤退後仍保留條約權利美總領奉命發表聲明
page 3	平準工作之檢討中
page 3	敗兵之將大賀受譴責懷井亦自殺
page 3	貴池三壯士相偕請孆殺敵
page 3	晉南敵軍竄犯被我痛擊潰退
page 3	我大軍保衛國門已源源開赴滇越邊境美志願空軍加緊訓練
page 3	日議會微風蕩漾宮澤裕抨擊政府當晚即向議長提出辭職東條忽在眾院解釋共榮圈
page 3	日本西部猛烈地震
page 3	氣比丸事件日小題大做日方又誣稱蘇軍曾越境
page 3	通貨膨脹問題眾院議員中島提出質問賀屋答稱物資缺乏所致
page 3	梁龍抵滇
page 3	荷印日領警告僑民撤退
page 3	沈鴻烈抵滇將赴黔桂粵視察
page 3	滬大舞台正演四郎探母突飛來兩炸彈
page 4	參政會四五次大會各部長官分別報告
page 4	參政員出席名單
page 4	蔣委員長演辭美方極為重視
page 4	加拿大軍一批抵英國並有飛行員百名
page 4	印蘇交通積極增强中俾路芝線經已開放美對巴本宣言不予批評
page 4	美工會聯合大會擁護援助中英蘇
page 4	美陸軍準備制止礦工潮總統曾與議會當局會商
page 4	粵登華德船員美將予以起訴
page 4	蘇德戰爭與遠東局勢三
page 4	中路德軍又發動新攻勢犯圖拉德軍一籌莫展羅斯托夫亦有小接觸
page 4	蘇軍新武器低飛攻擊機毀坦克六百
page 4	哈里曼抵英阿特里同行
page 4	英帝國參謀長狄爾將去職由布魯克繼任
page 4	菲政府取消日捕魚權利
page 4	美商輪武裝將次第實行
page 4	魏剛被免職
page 4	星官方代表拜訪我當局
page 4	共榮圈詮釋
page 4	日議會之微風
page 5	粵推進僑墾事業設立墾區牧場林場及僑樂村僑胞投資已達六百萬
page 5	敵機侵襲桂省兩架墜落桂平殘骸均已尋獲機身全部焚毀敵機連日不斷滋擾湘桂各地
page 5	浙江發展特產大量推廣桐茶棉蠶絲
page 5	宣慰桂湘粵各地負傷戰士歸來五
page 5	粵籌劃設立電型製造廠
page 5	西江下遊形勢未弛鶴山我軍嚴陣以待舊鶴城沙坪各地秩序甚佳古勞已成焦土景況仍冷落
page 5	改良彈棉機建國機廠製造成功每小時可出棉六斤
page 5	中山沿海敵艦減少
page 5	珠江水利局設廣西灌溉工程處貸款撥到即可施工
page 5	粵增產運動預期可收穫九百萬市擔本年冬耕已加緊推行中
page 5	川北糧食徵購情況張瀾對記者談話
page 5	廣州市區內我游擊隊活躍敵兵增設崗位極形惶恐坪山敵隊長在醫院斃命
page 6	滬工部局美董阿樂滿談上海目前情形阿氏係代表滬所界來港徊平準會交涉請領外匯
page 6	作曲家馬思聰通俗音樂會定月底在娛樂舉行
page 6	林子豐昨晚廣播演講青年會之歷史公開呼籲協助籌募基金今晚慶祝四十週年紀念
page 6	防衛部隊聯合演習着重救傷工作醫院及醫務機關作臨時醫院聯合演習定月底舉行
page 6	港府撥款捐贈蘇聯響應救濟蘇聯基金
page 6	露宿救濟會擴大施粥數量並力求改善粥內之養料擬增加白豆豬肝辣椒等
page 6	港督楊慕琦歡宴孫院長陳光甫等多人作陪
page 6	雅各理髮店兩店伴觸電被灼斃命電流洩漏於曬布鐵線上兩人均因取濕毛巾觸電
page 6	印刷業商會函史樂施注意洋紙囤積情形謂港存紙足供三年之需目前漲價由於居奇所致
page 6	獻機運動委會決定沿門勸募將組織沿門勸銷機章隊為林培生祝壽移款獻機
page 7	偉大排球慈善賽短期間可實現培英東方等隊準備參加演出陳慶雲仗義報效大銀杯
page 7	網球義賽籌委會昨績開會議一部分門券今日起預售美援華對蔡氏等表示欣慰
page 7	圓鬥球玩法熔籃足球優點於一爐即將舉行盛大表演賽
page 7	公開籃球戰防空勝義軍
page 7	校際籃球賽結束南華附中獲冠軍
page 7	網邊憶語錄惠全哈孟有矯健身手中華游樂會空氣濃厚
page 7	督憲杯賽事件
page 7	柳州球類比賽加緊進行
page 7	澳門足球聯賽中華敗於無畏
page 7	南華田徑隊擬聖誕節征澳
page 7	申匯市況仍然穩靜英匯美匯仍屬沉寂
page 7	國幣價格略趨上漲
page 7	滬標金價再略下降
page 7	股票仍欠靈活昨日成交二萬七千餘元
page 7	八九金價復告低降
