page 2	社評建立海防的好榜樣
page 3	蔣委員長發表重要演詞抗戰前途絕對樂觀任何困難必能突破經濟自力更生軍事獨立作戰
page 3	中國有自給力量進行無限期抗戰蔣委長對德記者談話
page 3	二等殘傷連長請求重赴前線右目失明左目可用設不成功亦當成仁
page 3	桂學生軍組輪廻訓練班
page 3	新四軍一部開抵滬西虹橋區發生激戰
page 3	漢Ｘ虐待美軍官南昌美教士亦受威脅
page 3	滬法租界當局派捕保護報館大美晚報附近防衛森嚴文匯報將繼中華日報復刊
page 3	Ｘ在津郊大捕壯丁
page 3	蒙偽邊境戰況益烈
page 3	滬工部局督察長受偽警歐辱義水兵武裝解圍英已提強硬抗議
page 3	滇緬公路本月通車全程六日可達
page 3	國際運輸工人協會同情我國抗戰向我海員工會獻旗表示仰慕欽佩之意
page 3	俠義可風唐河縣民崔長山因救護士兵獲獎
page 3	重慶空戰我空軍擊退Ｘ機
page 3	桂省注意防疫注射
page 3	廣東省銀行錄用幹訓學員特組銀行業務講習班期滿後即行分派工作
page 4	張伯倫正式宣布英日協定內容對日要求雖作讓步決不有碍經濟援華
page 4	英日圓桌會議昨日正式舉行
page 4	英國報紙論調竟感意外滿足
page 4	德義拍手稱快法國私心竊慰
page 4	中國抗戰決心不受任何影響
page 4	向暹羅當局進一言三應該與中國攜手共求進步
page 4	反英運動仍熾日外務省發言人竟謂與東京英日談判無關
page 4	Ｘ赴德代表寺內大角過滬
page 4	法交還土地土正式接收全國大慶祝三日散嘉克土旗飄揚
page 4	英輪被扣檢查傳有大批金銀被沒收華籍船員遭日軍逮捕
page 4	但澤國社黨領袖作狂妄演說竟謂不再須依靠德國已足以應付一切事變波蘭軍官十人被逮捕
page 4	法加強空防空防組織全部軍事化改由國防部總其大成
page 4	阿爾巴尼亞軍隊併義全國軍官士兵被迫宣誓效忠
page 4	張伯倫的聲明
page 4	英蘇法談判循序進展中三方代表繼續折衝
page 4	英國對德確有貸欵接洽工黨領袖格林伍德演說深恐政府回復妥協政策
page 4	土保衝突
page 5	中山橫門吃緊Ｘ艦現仍徘徊未去昨晨激戰Ｘ兵被擊退
page 5	粵北大反攻五路英勇出擊追記
page 5	增城石龍殘Ｘ去而復返
page 5	惠河兩縣派隊保護航行
page 5	盤谷怪事市上發現擁汪宣言和　一名行蹤詭秘
page 5	粵厲行清奸工作訂捕殺偽組織人員獎勵辦法誣告妄殺偽報者亦依法處刑
page 5	粵昨舉行衛生運動
page 5	澳門車價增加
page 5	深圳軍民聯歡
page 6	Ｘ機炸廣九路圖阻止糧食運港深圳以北車站已被炸燬
page 6	胡士澄赴暹籌設國貨公司
page 6	徵募蚊帳桂婦女界領袖致電港婦女界士兵因無蚊帳致生疾病計需款國幣三十餘萬元
page 6	難民工業社展賣會將舉行邀請婦女名流擔任職員商店紛紛報效陳列物品
page 6	中西圖書社運到大批新書
page 6	郭泉談話努力救國工作不在多言相約埋頭苦幹減少無謂競爭發展商務
page 6	回國報務有期新靚就今晚義演假座皇后戲院籌款賑難秩序極為豐富券價低廉
page 6	小販聯合會今晚召開代表大會全港義賣紛起響應
page 6	青記學會請美國名記者演講外人在華之通訊社
page 6	世界語學會舉辦暑期速成班
page 6	上環街市十月興工改建工程費撥定九萬五千元十皇殿菓攤將遷入北市
page 6	學賑會曾設樂理研究班歡迎各同學參加
page 7	足球總會昨開會議各小組委員產生阿池蘇沙任正副義務秘書港滬埠際賽組委員會辦理
page 7	溫布爾頓劇門史女王座鏖戰記瑪博小姐拍掃四方功成譽滿凱絲湯瑪苦戰不支雖敗猶榮
page 7	海外珍聞錄
page 7	女籃名將劉守光在仿林任職
page 7	華人公開水球今日好看
page 7	夏令籃球賽今日開鑼四時在卜公場
page 7	一九三九四零年籃球規則更改上海西青會現已採用
page 7	英撲次茅球會收入奇佳獲利達萬餘鎊
page 7	溫布爾頓冠軍瑪博獻身銀壇合同亦已簽好
page 7	域多利游泳會改建會所昨開會決定
page 7	申匯市況昨見好轉牌價亦回縮惟銀行拋出仍多其餘匯價不動英美匯市沉寂
page 7	股票市況黯淡買賣幾陷於停頓狀態成交計十一萬六千元
page 7	上海外匯略漲昨日市況不穩變動至劇受投機與時局影響所致
page 7	英金微跌銀價參差
page 7	生油價跌昨日成交頗多
page 7	八九金市昨仍平淡美匯市靜價無變動
