page 2	社評維希與軸心
page 3	鄂北戰事告一段落日軍又向豫南侵擾晉南中條山大戰猛烈進行黃河北岸一部日軍忽撤退
page 3	日荷貿易談判無進展荷印態度頗堅定東京各報又作恫嚇論調
page 3	英美駐日大使同時訪晤松岡
page 3	摩根韜談平準基金已在運用中
page 3	曼哲斯特衛報論日本苦悶對新歡舊友依然懷疑
page 3	艾登演詞美極為重視證明英美行動並行美機器運往蘇聯已恢復
page 3	史汀生談話贊成增強檀島空防
page 3	海明威曾隨軍攻入廣州市郊
page 3	米蘇里新聞週本報正式接受榮譽章盧祺新陳述中國報界信念
page 3	邊省同胞踴躍節儲游擊區亦普遍推行
page 3	陪都工人購債逾十四萬元
page 3	陪都報界慶祝會中外各界及同業參加者三百餘人英大使特函本報祝賀
page 3	主席致詞語多溢美
page 3	本報代表致詞答謝
page 3	粵桂文化新聞界先後舉行慶祝會
page 3	滬新聞界同業電謝慰勉並祝本報獲得獎章
page 3	電慰上海同業
page 3	日機昨又飛渝肆虐集中轟炸西郊市區
page 3	滬西捐稅雙方磋商分肥辦法
page 3	綏蒙政會交開會體會
page 4	近東局勢重要發展德侵入敘利亞英德空戰開始交綏
page 4	維希澈底親德美國提出警告羅斯福總統發表聲明美報主張必要時採取行動
page 4	美運輸輪駛抵蘇彝士先後計達十艘
page 4	英伊戰爭與國際關係
page 4	法方對德讓步近東愈形複雜
page 4	德又施故智圖覊縻土國巴本曾訪土總統呈遞希特勒私函
page 4	美議會授權總統徵用外國輪船法郵諾曼第亦包括在內美輪百餘艘月底竣工
page 4	希斯奔英內幕英方仍守緘默英相認為尚未能發表
page 4	北非英軍佔領蘇倫
page 4	羅斯福上尉訪晤埃王並呈遞總統親筆函
page 4	美參院一致通過統制菲島出口案美國機器恢復運蘇
page 4	答上海同業
page 4	德空軍開入近東
page 5	粵集資一百萬籌級物品供銷處儘量吸收各種物品供應需求藉以調劑物價免為奸商操縱
page 5	渝臨時參議會四次大會閉幕康議長致休會詞列述三特點
page 5	桂省增加生產擴大冬季作物規定要點及目前應辦事項
page 5	陪都保障空襲損失加強商店保險當局增保額為四百萬元社會局將辦理工人壽險
page 5	寧波近況少數商店開門日軍統制土產
page 5	曲江糧食公賣下期起每期配賣一千擔各鎮原定數額酌量增減
page 5	衡陽政商各界舉行平價會議決定取締黑市嚴禁攔路搶購調整食米來源規定穀米價格
page 5	日軍封鎖岐關公路
page 6	美駐華新大使高斯今日由上海抵港中央派俞鴻鈞代表歡迎港督已定期歡宴兩大使
page 6	廠商聯會等三團體昨歡迎黃炎培共勉銷債充實戰時經濟黃氏即離港赴昆明等地
page 6	港府定於週後開始醃貯鮮魚現已動工在北角設魚倉共貯萬擔可供三月之需
page 6	教會團體募下月開始共分三期進行定九月中結束
page 6	中華百貨公司昨開年會還本共十四萬元
page 6	干諾道西一樓宇騎樓傾塌傷人天花板霉爛昨又受重壓三人由四樓被跌落二樓
page 6	賴婚案陳雅五勝訴舞女出堂費
page 6	當局收買商人存米共計六十餘萬包米商已將米價呈當局
page 6	新麗池巡禮
page 6	觀日蝕港天文家聯合赴閩觀測日蝕
page 6	國醫學會請包農輔演講
page 6	渣甸洋行職員過港談空襲倫敦情形英人堅決抗戰照常工作來港海途中遭德機襲擊
page 7	五校聯辦排籃賽今日隆重揭幕男女賽共四場開始角逐全部秩序公布本月底功德圓滿
page 7	東方征澳記第一函寄自馬尼拉
page 7	棒球聯會將開會討論借場問題今日練習賽工程隊對投路沙南華隊陣線整齊
page 7	中英田徑對抗中華人選產生尚有數員能手正在徵求意見中嶺南選手因請假不准未能參加
page 7	學界排球賽西南克仿林
page 7	思思籃球活躍華南苦戰不敵四十三比六十三輸十球
page 7	南華田徑部積極發展部務
