page 2	社評義大利與巴爾幹
page 3	晉西連克大寧蒲縣欽防日軍遭我痛擊
page 3	六全五次大會通過重要提案各部長官續有報告
page 3	湘行回憶錄上
page 3	日人積極鼓吹華南新偽組織廣州被拘婦女二千餘竟被送往前線充軍妓
page 3	楊庶堪抵渝出席全會
page 3	我在湘北一役施用新戰術綜合兩年來作戰經驗粉碎日軍傳統的戰略
page 3	須磨在滬談美蘇日關係日本對美仍不敢觸犯先着手解決蘇日糾紛
page 3	孤島成強盜世界盜賣煤斤案層見迭出米車被劫死日人三名
page 3	孫科在英談話英國對華政策不變中蘇合作密切無間
page 3	桂林改市政府在計議中
page 3	滬杭路上流動戰爭在我軍控制中
page 3	華僑失學青年政院設法救濟正研究辦法中
page 3	昆明緬甸間計劃闢航空線英政府已接納我建議將分組公司進行籌備
page 4	義覬覦巴爾幹忽發反蘇論調德軍部指斥聯蘇政策亦有進攻東南歐企圖
page 4	英法德軍力比較
page 4	公無渡河
page 4	德國潛艇肆虐擊沉挪立商輪大批德輪匿處中立港
page 4	波游擊隊重創德軍波新軍正在組織中捷總統傳被德拘禁
page 4	德拒和平呼籲諉過英法德國對比危辭恫嚇要求瑞典縮短領海
page 4	菲島漁船百分之八十操日人手中
page 4	漢奸不易為
page 4	蘇日關係如何
page 5	日軍聲東擊西揚言將再犯中山日機飛石岐散傳單恫嚇民眾西線鄧龍光部準備大舉反攻
page 5	粵財廳積極推行戰時稅制澈底革新稅務行政
page 5	蔣委員長對廣西政工人員訓詞
page 5	吳飛抵韶暢談抗戰經過
page 5	廣東兒童保育事業切實推進成績美滿
page 5	八區專署佈告嚴禁舞幣走私勗民眾切勿漏稅害國如再有違法決從重治罪
page 5	湘北勞國雜記
page 5	瓊崖殲滅戰果日軍遭我伏擊死傷極重
page 6	聖保羅女書院慈善賣物會昨開幕四境烽煙瀰漫死傷載途居安思危應盡區區之責
page 6	劉彩恩訪問記中英文協港大獎金取錄之女生暢談國內生活來港感想
page 6	羅紳旭龢致開會詞
page 6	賣物部份應有盡有
page 6	舉行慈善賣物意義
page 6	日海軍機昨來港降啟德濱停留五十分鐘專運載膠輪赴潿洲島
page 6	五婦女團體昨派員視察中山攜慰勞品赴災區散賑張縣長派員到澳招待
page 6	法郵增新船亞力山大佛冷尼號
page 6	我工合運動最近發展情形該社幹事赫曼昨日講演西北區之成績尤為卓著
page 6	廣東省政府徵募衛生人員前昨兩日在港大試驗中青救護團代徵醫師
page 6	基督教團體籌備慰勞湘北將士
page 6	中化民國免受資金限制舉行證明手續月底結束填答所提問題共十五項
page 6	僑港各界發起追悼馬相老大會定廾六日下午三時舉行地點加路連山道孔聖堂
page 7	今天甲組球賽米軍戰南華南下午四時一刻在掃桿埔場光華在九龍迎抗士葛
page 7	督憲杯緣起
page 7	港星隊三次奏捷大破中央隊卄三比十四顯出顏色門券收入作賑濟難民
page 7	今晚公開籃球賽培英對抗南華華
page 7	公開排球培英對南華南
page 7	滬馬拉松長跑瘦猴榮獲冠軍費時一時廿分九秒二臨陣脫逃者超過半數
page 7	美菲荷匯牌價略縮英匯沉寂申匯微緊但靜
page 7	米源豐富價格繼續傾跌
page 7	徵收所得稅影響股票市況靜穩資本家多感徬徨賣買減少全日成交總僅值三萬餘元
