page 2	法國宣布停戰
page 3	歐戰又一驚人變化
page 3	法國忽宣布停戰貝當已向德籲和德義兩巨頭將晤商大計英擬發表宣言重申決心
page 3	法南前線義軍繼續攻進法境
page 3	德軍進展迅速馬奇諾線危殆
page 3	愛拉兩國接納蘇要求業已同意從新組織政府蘇聯軍隊將可自由行動
page 3	蘇立衝突解決經過
page 3	日對荷印地位又散佈謠言謂英美三國正討論共管
page 3	旅英法日僑準備撤退日將派輪載運
page 3	美實施禁運日感憂慮擬與美方談判採取例外辦法
page 3	蘇德界務糾紛已獲得解決雙方代表簽訂條約
page 3	德軍的新戰術下五月二十九日牛津通訊
page 3	英國今後或須獨力迎拒德義
page 3	法閣經劇烈辯論貝當代萊諾登台
page 4	襄西主力戰展開中我軍廣大包圍線部署將竣事贛北我軍再向南昌近郊挺進
page 4	汪偽組織處境日蹙眾叛親離無兵無錢偽報在平被禁推銷
page 4	泰國與英法日簽訂新約經過
page 4	英法與泰簽約
page 4	泰外長之談話
page 4	滬租界督察長劉榮貴被狙擊身中兩槍中途殞命
page 4	昆明大火
page 4	政務巡視團西北組抵西安 
page 4	滬海關稅務司羅福德將退休日人妄想圖謀該職
page 4	滬某法人愛國情殷睹法德停戰消息擊毀俄報玻璃窗
page 4	倖進與濫炸
page 4	蘇聯之未雨綢繆
page 4	泰國輿論一瞥
page 4	日本與泰簽約
page 4	日旅團長被我擊斃
page 4	戰時閩南的生產運動二
page 4	投機悲劇丁春航虧損太巨吞生煙實行自盡
page 4	滬西睹窟仍照常營業
page 4	桂林國際宣傳委員會中蘇文協桂分會討論國際形勢
page 4	日機襲渝受重創又被我擊落六架 
page 5	東江南岸戰事又起我出擊石龍莞城衝入王屋洲予以重創日軍犯山門狼狽敗退
page 5	前日日機兩架轟炸沙魚涌投擲燒夷彈四十枚貨物損失廿餘萬元
page 5	教育流浪兒童減少犯罪行為上海公誼會成立懷幼院施以心理醫療促進向善
page 5	嶺東各縣米價漸回跌外米紛紛運到新米亦將登場入夏風調雨順豐收可卜
page 5	發動購機祝壽 
page 5	兩書記長接事
page 5	步行團再獻旗
page 5	籌辦農產展覽
page 5	設貿易辦事處
page 5	委座令各部隊協助民眾耕耘不得要求收受絲毫報酬以期軍民合作增加收穫 
page 5	招港澳公務員
page 5	設廣大金融網
page 5	羅翼群陸幼剛返抵茂名鄧揮將接任專員
page 5	高僧廣播
page 5	日泰首次空航
page 5	空軍練習失事
page 5	惠杜博等縣昨亦被炸
page 5	日軍攻勢銳減西江益穩定古井各鄉偽軍多已反正梅閣沙堆災情慘重
page 5	泰國動態
page 6	中行等一部職員決定調返國內工作匯業儲金局今後之業務委託上海華僑兩行代理
page 6	帝航機港曼線二十三日復航星期三星期日由港起飛由美轉歐空郵今晨寄出
page 6	婦女節制會遊藝展賣會籌款昨已收四千餘元
page 6	回教文研會捐款慰勞前方將士
page 6	文協漫協晚會盛況唱歌遊戲談笑風生
page 6	國立院校統一招生報名須知各科考試時間亦經規定不明事項向招生會查詢 
page 6	報名須知
page 6	考試時間
page 6	兒童保育會新廈已告落成定本月二十九日開幕屆時路局將加開班車
page 6	協助英國對德作戰外僑踴躍輸將南華早報士蔑西報發起數小時內得款三萬餘元
page 6	振聯會常會擬請停屠一天決請大會致函肉行商會七七普遍推行素食運動
page 6	劫後新會災黎遍野林縣長電新會商會請求救濟經已匯款
page 6	女青年會舉行廿周年紀念會
page 6	駐港日領 
page 6	義輪公司
page 6	市政衛生局 
page 6	難童救濟會
page 6	青山灣道路
page 6	菲新輪抵港 
page 6	本港當局加緊統制煤片規定商人存煤按周呈報印度及荷印煤斤均漲價
page 6	香港戰稅與會計問題上
page 7	南華保衛大加山陳詞不日發表十多年耗費人力物力不少請政府體念輿情收回成命  
page 7	南華續辦夏令籃球
page 7	東方遠征第二函由岷到星洲
page 7	東方南征足球隊出師未捷輸一球
page 7	學界排球賽英皇獲勝三比二挫西南
page 7	外匯牌價申匯略漲美匯趨緊英匯仍靜
page 7	八九金市昨先淡後堅
page 7	股票市況傾淡各股價格均略低跌
page 7	國幣堅穩價格甚少起落
page 7	南華游藝部音樂班下月中旬舉辦
page 7	小球友誼賽七七戰米軍甲組勁旅米杜息大足球
page 7	九龍高級學籃南大光華均捷
page 7	棟勳盾小球賽後天止截報名
