page 2	社評抗戰與交通
page 3	鄂南湘北戰況激烈通崇之間Ｘ我爭奪南林橋粵海沉寂江門在我控制中
page 3	筻口之Ｘ受挫竄退烏江橋
page 3	大洪山麓Ｘ遭受重大打擊
page 3	我機神勇屢飛晉西北炸Ｘ
page 3	鄂Ｘ詭謀全被我粉碎主力三師團傷傷亡二萬潰退時情形極為狼狽
page 3	桂越旅行通信關仁甫返桂
page 3	滬報正論痛斥汪兆銘ＸＸ請中央明令通緝
page 3	引誘吳佩孚Ｘ陸軍已自認失敗傳板垣將赴平一行
page 3	滬愛國份子鋤奸的新方法邵式軍之弟擅作威福被保鑣阿二投毒斃命
page 3	甘貝爾離筑赴桂視察
page 3	滬暗殺案一死一受重傷
page 3	安邱光復魯東又一勝利
page 3	京滬全線整個被我控制滬郊形勢緊張
page 3	Ｘ對滬租界野心仍未死Ｘ領三浦由日返滬即將展開外交談判
page 3	英使離廈諾貝爾同行
page 3	Ｘ機一架昨飛福州投彈
page 3	空襲重慶Ｘ自承毀機一架
page 3	杭郊激戰Ｘ向筧橋敗竄
page 3	Ｘ著名飛行員在渝肆虐喪生內佐增田兩酋伏誅乃Ｘ空軍之大損失
page 3	日本干涉航行事件英與論一致抨擊法政府向日強硬抗議美國仍在密切注視中
page 3	英報評論局勢嚴重
page 3	港大副校長在渝廣播講演盛讚蔣委員長之偉大
page 3	周鍾嶽下月初飛渝
page 3	梁寒操返桂談在粵視察印象謂施政極著成效
page 4	英蘇法談判已至決定階段蘇方如接納即告完成法總統批准協定大綱
page 4	法土談判進展極為迅速月底可望結束
page 4	德國對蘇一面曲意討好一面仍圖恫嚇
page 4	奧蘭島設防問題蘇表示反對恐德國利用封鎖蘇海軍英法對蘇意見予以擁護
page 4	英王偕后遊加獲得意外收穫民眾熱烈歡迎盛況愈恆已抵卡爾加利遊程告終
page 4	荷陸軍老將又弱一個施尼達斯將軍昨日因病逝世
page 4	南國攝政下月初聘德德準備招待
page 4	德對但澤問題取漸進方式傳希特勒已決定方針並向孚斯德面授機宜
page 4	希特勒活偶像自白他本來是馬克西米林鮑爾現在却變做了希特勒的替身
page 4	土耳其總理傳將辭職將由外長繼任
page 4	胡適演講忙應美各大學邀將作三週演說
page 4	美名政治家戴維斯抵倫敦
page 4	義駐英大使演說引起法國反感認為有失傳統的禮貌
page 4	德航空次長米爾區抵義商空軍合作計劃
page 4	國聯行政院昨通過決議案請美增加對我援助我顧代表勉予接納
page 4	美比兩國交換原料現正在談判中
page 4	Ｘ惡性通貨膨脹結果自食其報日圓價格將繼續慘跌泥足沒頂為期已不遠
page 4	對修正中立法案美眾院將有決定軍火禁運將全部廢止政府當局希望甚殷切
page 4	德在薩爾區域趕築防禦工事工人缺乏向義國招募各業生產量因而低減
page 4	波駐英大使返抵倫敦
page 4	國聯的新決議
page 4	國社黨Ｘ蘇
page 5	江會戰線Ｘ碰硬壁又圖迂廻竄擾陽江開台形勢因而轉趨緊張Ｘ機飛炸崖門擬破封鎖
page 5	南屏鄉長潛逃後容仕章暫署鄉長職務
page 5	粵嚴禁糧食出省違者沒收並科罰金
page 5	粵省務會議通過兵役會等經費
page 5	汕市庫證在港移交限期辦竣
page 5	第囗戰區水陸交通管理處六月初旬成立
page 5	惠陽潦水退落
page 5	陸豐組檢貨隊
page 5	閩南低氣壓
page 6	學生賑濟會擬派代表出席國聯學生大會執委定下月初開會討論對大會提案函各校徵集
page 6	在澳設廠規例已寄本港中華廠商聯會並附澳門廠區地圖等件
page 6	惠陽青年出國宣傳携有華南烽火影片
page 6	關於所得稅
page 6	台兒莊之戰已由生活書店刊行
page 6	出入口輪船嚴厲施行檢疫須予消毒者憲報昨發表天津宣布本港為傳染埠
page 6	大利號輪昨始抵港
page 6	中國救亡劇團優待學生民眾今晨起續演三天七場減收票價仍在利舞台
page 6	九龍各校籌備紀念教師節
page 6	戰時日本二卷第一二期到港該社昨招待文化界
page 7	南華出征在即人選尚猶豫未決李惠堂請假有問題恐不能隨隊出發臨別賽對港聯改今日交鋒
page 7	蘇聯體育普遍發達全國運動員達一千萬人
page 7	芬蘭人以沐浴作為一種訓練
page 7	明年世運會組女警察團
page 7	今日棒球聯賽中華對抗西洋上午十時起在嘉山舉行
page 7	台杯第三週賽法國被淘汰結果三比二英國異軍突起
page 7	學界排球賽重編新秩序
page 7	外匯牌價全不動英美匯市均沉寂申匯市況略穩買賣仍然稀少
page 7	過去一週間股票穩後趨堅買户日眾股價隨而上漲賣家奢求成交數量不多
page 7	工業合作運動推展至游擊區遮斷與Ｘ發生經濟關係
page 7	八九金市再略鬆馳買賣猶少價再微跌
page 7	英金不動英銀俱跌
