page 2	今後的食糧問題
page 3	石岐近郊發生混戰我團隊猛烈抵抗中桂南戰事順利我軍克復三塘
page 3	晉南收復泉等冀中開始掃蕩
page 3	滬平食糧問題情形極嚴重上海國米被日商操縱北平貧民有斷炊之虞
page 3	蔣總裁言論桂省府令各中學　時向學生講授
page 3	柳州將成立警備司令部杜聿明兼任司令 
page 3	粵本年中心工作省府已通過共二十四項即付實施地方行政幹部訓全成立
page 3	人事行政會議今日開第三次大會通過所餘一部提案
page 3	桂省當局擴充職業教育本年經費增加一倍有奇
page 3	汪兆銘登場費傳已向日方領到四千萬嘍囉赴寧未成大為懊喪
page 3	緬甸僑胞發起獻車百輛運動蔣委員長特電嘉勉
page 3	蘇經濟學者論日本經濟先天不足後天失調社會政治危機愈迫 
page 3	義對中日問題認識轉正確駐滬領事觀察中日戰局認定我國必獲最後勝利
page 3	蘇省府兩新政廢除苛雜百五十四種設戰地中學訓練青年
page 3	桂傷兵之友社徵求運動決定擴大舉行
page 3	昆明通信滇緬行四
page 3	一門忠勇許崇智子姪三代廿二人齊服兵役
page 3	杭州灣外日又蠢動湘鄂我軍繼續告捷
page 4	美財政復興局公布對華貸款成立美援華會募集鉅款購買醫藥用品寄華
page 4	蘇芬談判和平芬外長承認收到和平條件雙方代表正在瑞京磋商中
page 4	羅王加羅爾講睦鄰政策莫洛托夫行抵羅京簽訂蘇羅不侵協定
page 4	曼諾海姆呼籲援助
page 4	保機一架被土擊落
page 4	日對義輪被扣事乘機向義送秋波鹿埠續有煤船開出德機炸毀義輪一艘
page 4	齋藤事件之影響日政黨醞釀分裂革新份子乘機活躍企圖組織五派聯盟
page 4	韋爾斯會晤達拉第事先曾與勒伯倫談話今日將會見波蘭政要
page 4	甘納地抵英談美對歐戰態度
page 4	馬尼拉近郊發生大火市場國營提議已遭市長否決
page 4	伍德向眾院報告擴充空軍計劃以建立空中霸權為目的與各自治嶺採密切合作
page 4	法沒收郵件日將提抗議現仍候正式報告
page 4	美貸款成立 
page 4	日政黨分崩
page 4	英工黨與和戰問題三
page 4	芬蘭承認形勢嚴重
page 4	蘇方條件傳說紛紜 
page 5	小欖展開爭奪戰石岐再度遭浩劫
page 5	三鄉北台收穫戰果前山昨晨發生大火
page 5	香洲唐家日軍減少窺伺北山被我擊退
page 5	粵廣泛徵求傷兵之友聘定隊長五十三人
page 5	一個不平凡的縣長賓陽縣長徐威衛訪問記
page 5	彌天的大火
page 5	西康日記七十第四編康定及其附近西康風俗概述
page 5	韶關近郊撞車慘劇汽車搭客受傷十餘人火車交通曾一度中斷
page 5	富庶的縣城
page 5	省府南路行署撤銷苛稅嚴厲肅清私梟
page 5	日軍增兵潮汕陰謀蠢動意溪砲戰我軍活躍
page 6	昨日僑港婦女界隆重紀念婦女節紀念儀式參加者極踴躍羅有節演辭由其母代讀
page 6	本港婦女聯合紀念
page 6	羅有節講婦女舊制
page 6	女學生界籌款勞軍
page 6	九龍方面婦女集會
page 6	文化中學電慰將士
page 6	蔡孑民氏靈櫬明日出殯各團體送殯治喪會備車任鴻雋氏昨日來港致奠 
page 6	粵文物展學生論文明日截止
page 6	女青年會募捐音樂大會
page 6	華商籌振會勸募慰勞金前昨兩日成績
page 6	周雍能報告中山難民情形赴澳避難者約三萬餘人由各團體共同負責施粥
page 6	洪承疇太平即晚上演
page 6	牙醫註冊條例要點羅文錦律師闡述須有學歷及證明
page 6	塘西歌姬今晚舉行義唱全體一致動員
page 6	北平酒家今晨全部焚燬
page 6	駱愛華抵港青年會籌備歡迎
page 6	澳門救災會回國服務團日間開會招待各界
page 6	國民參政會留港參政員準備赴渝出席此次大會定四月初舉行憲政問題將為主要項目
page 7	特別銀牌半決賽東方巧遇雛鳳下午四時在銅鑼灣海軍場雙方勢均力敵有劇爭
page 7	昨晚籃球聯會開會員大會修改章則委員正式產生主席司庫書記同時選定
page 7	星洲環島腳車賽印青年獲冠軍華僑范亞志亦名登虎榜五九高齡朱國良博好評
page 7	街童週年運會明午開始假港大舉行
page 7	港對美匯價昨續漲市況先淡後略緊申匯市況仍淡牌價不動
page 7	八九金市昨日交易停頓
page 7	期貨尚待清理股票市況鬆弛昨買賣數量依然寥落僅政府債票成交較多
page 7	協會乒乓賽今晚頒獎另有表演一場
page 7	溫故知新錄華人足球誕生史
