page 2	社評邕寧戰事的檢討
page 3	中蘇通航本月內實行每週飛一次
page 3	葉楚傖等昨日正式視事
page 3	長江下游英輪遇盜
page 3	桂省府勗人民奮起保國土綏署交通副處長抵桂林談邕寧疏散成績極良好
page 3	我鄂北前線士氣民氣旺盛守望相助自給自足實力日強足應萬變
page 3	川禁種考察團決定組員及督查區定本月十日前出發
page 3	布王深明大義不受日人利用伊盟唪經大會乘機宣傳抗戰國府委任綏境盟旗自治長官
page 3	英法對德封鎖日本轉責美國認為不應抱左袒態度英國不重視日本恫嚇
page 3	滬華捕二人將受偽法院落審判
page 3	吳佩孚斥汪偽善決不與合作滬汪報見和平無希望竟捏造事實圖為己洗刷
page 3	全國主計會議舉行預備會
page 3	邕賓路上日軍受挫六塘八塘山谷間日屍骸枕藉鬱江南岸我圍蒲廟正殲滅中
page 3	西江北江激戰增城已被我大軍包圍我猛襲江門克白米山
page 3	晉南轉緊日軍增至萬餘府城重見天日
page 3	華中膠著鹿角登陸不逞繁昌被我收復
page 3	邕寧轉移前後二
page 3	日機兩日間五次空襲蘭州投彈近二百枚損失甚微西安前日亦有警報
page 4	芬內閣改組準備對蘇談判莫斯科尚無接納表示美總統電蘇反對轟炸
page 4	芬海陸空受敵蘇機五次飛襲芬京海軍在漢哥島登陸
page 4	邊境砲戰激烈芬蘭防軍猛烈抵抗蘇坦克車被毀甚多
page 4	美國態度激昂羅斯福與赫爾商談美參議員主張斷交
page 4	赴歐途中二劍橋十一月十四日航信
page 4	英相報告芬局英對蘇聯雖表遺憾但似不致影響邦交
page 4	北歐感受威脅瑞典官方商籌對策丹麥人民投效芬軍
page 4	英法厲行封鎖德國經濟愈危對外貿易已減少過半汽油五金皆供不應求
page 4	汪兆銘現了原形
page 4	中蘇通航
page 4	蘇芬局勢
page 5	西線日軍抽調空虛我乘機分路反攻江會各方面均有戰事容奇結集偽軍千餘名
page 5	日軍侵桂聲中粵南呈緊張海面日艦仍有二十餘艘北海居民疏散貨運停頓
page 5	西康日記十一
page 5	粵各縣冬耕貸款會組織通則通過實施
page 5	駐滬日軍悉調往前線僅少數陸戰隊維持防務虹口方面戒備又緊
page 5	澄海偽軍可憐相
page 5	服裝不整半無槍械南澳偽會大捕鄉民
page 5	各縣徵收處改組稅務局明年元旦起實行
page 5	教部督導清理戰區各省經費令飭教育廳局負責保管規定存款用途限於救濟
page 5	粵各縣煙毒明年底禁絕特定二區各縣提前禁絕以為全省作模範
page 6	李宗仁夫人電港呼籲救濟傷兵難民當此嚴寒季節倍增痛苦財物藥品寒衣均所歡迎
page 6	我當局優待回國服務機工平均每月薪金約三十元工餘受教育及各種消遣
page 6	北大同學今日聚餐
page 6	抗戰建國教育部舉行學生論文比賽專科學校學生均可參加分五等給獎首名五百元
page 6	南洋商學院上月一仙運動成績
page 6	慈航畫展昨日觀眾擁護
page 6	百老匯團圓曲皇后平安今日聯映
page 6	中國婦女會慈善餐舞會定十四日舉行
page 6	中央振委會撥助東賓防　藥物
page 6	國際婦女健美會明年一月初將分開表演得款撥助工合香港協會
page 6	中山青年會前線慰勞團今晨由港出發
page 6	新界兩宗劫案一小童被砍斃因與賊人糾纏致招匪怒三夥伴逐群盜生擒一名
page 6	憲報號外公佈購歐洲貨須領證書且須隨貨同行以便檢查英國加緊封鎖德國商業
page 6	福建頭海面賊劫貨艇流彈傷一夥伴足部
page 6	日本皇后輪被英海軍徵用加拿大皇后在港改裝至少架設五時徑砲四門
page 6	宇宙風第八十八期出版
page 6	英軍艦蛾號失去爆炸彈一枚
page 6	中醫藥聯會設立贈醫所另有贈診券派送
page 7	今日甲組足球賽光華出戰九龍南華南在愉園對抗香港會下午四時即開始角逐
page 7	菲遊瑣記
page 7	球壇雜記阿棟來港無期李四重返東方
page 7	今晚籃球義演港星戰培英下午七時在中青球房記者對南華先打頭陣
page 7	學界籃球賽昨日無戰爭
page 7	兩球員犯規案判處停賽一年國際杯賽有五隊參加
page 7	今天排球保羅兄弟內訌
page 7	美菲荷匯牌價續縮英匯不振申匯穩靜
page 7	八九金市稍穩但靜買賣仍少價格略漲
page 7	本港股票市況昨日續見好轉買家活躍存戶奢求不放全日成交總值五萬餘元
