page 2	社評不要寬縱侵略者
page 3	美國準備加緊援蘇霍金斯昨抵莫斯科倫敦否認英美鬆弛對日步驟
page 3	侵越日軍已佔領金蘭灣越南領海內日艦增加
page 3	侵華日軍繼續北調傳已數達十萬人
page 3	英政府論述法日之勾結
page 3	法日協定全文已發表
page 3	泰國公布外交政策不受外國軍事經濟壓迫對英行動表示信任
page 3	馬來半島固若金湯日如進犯決予痛擊
page 3	近衛勉勵國人迅速執行動員計劃以應付最惡劣情勢
page 3	日如繼續南進將冒極大危險
page 3	緬甸政府禁止與日通商澳洲取消日輪裝貨執照荷印當局亦採同樣步驟
page 3	星洲華僑匯款不受凍結影響
page 3	麥克亞述將軍統一菲島陸軍集合計劃經已擬定菲後備隊亦將入伍
page 3	日竟乘機占取華北英美商行
page 4	斯摩倫斯克前線蘇軍反攻獲勝一月來德軍傷亡達百五十萬
page 4	英首相警告國民勿悲觀亦勿樂觀侵略季節已屆須加緊戒備倘吾人失敗一切皆將失敗
page 4	英國履行諾言大量物品援蘇
page 4	諾克斯報告美艦被襲之謎潛艇鯨魚冷流難辨曾放深水炸彈自衛
page 4	傳蘇向土提供保證對土絕無領土野心
page 4	伊朗醞釀政變其性質與伊拉克同英將採取同樣措置
page 4	英民氣激昂美名作家著文推許
page 4	蘇如能抵抗至九月希特勒末日即來臨美共和黨領袖威爾基之觀察
page 4	陪都空襲警報長時間之記錄連日敵機大隊襲渝英蘇使館均被炸及
page 4	傳德國商輪偷渡印度洋
page 4	李普曼著文呼籲打擊日本經濟如凍結力量尚不足應採取更劇烈手段
page 4	本年度大學畢業生教部發表各門統計
page 4	加州檀島空線八月十日開始開航
page 4	英空軍大批出動襲擊西西里島敵機三十四架被炸毀
page 4	滬槍殺案
page 4	政院會議通過省糧食局組織劉航琛任川糧局長
page 4	鄂北戰事激烈我分頭迎擊中
page 4	滬日海軍干涉海關行政日副稅務司越權覆留英輪
page 4	閩省籌設華僑中學
page 4	且慢樂觀
page 4	日對蘇要求
page 5	太平洋風雲緊張菲當局加強防務岷蘇兩海灣佈置水雷輪船出入口嚴加限制
page 5	粵南散振人員談振撫工作經過北海漁區受害最為慘重漁民生活現已多獲解決
page 5	中國教育大勢三
page 5	美國公開藝術競賽首獎為我僑生獲得
page 5	粵省敵軍抽調空虛縮智防線重建工事
page 5	粵省趕築星坪公路路基本月完成三月後可通車
page 5	我駐菲總領楊光泩七七紀念廣播演辭
page 5	偽方濫施清鄉淪陷區民怨沸騰各地成年壯丁聞風逃避我軍活動決不因此稍減
page 5	粵邊政指導會確定工作計劃胡耐安談今後施政方式將為拯貧救病除私啓愚
page 5	桂市參議會收到提案甚多開幕情形熱烈市政長官均出席報告
page 5	僑委會師訓所招考海外教師訓練半年後派送出國服務
page 5	國立中正大學救濟貧苦學生訂有半工半讀辦法三種
page 6	港府憲報昨日宣布凍結華人資金辦法港內款項支收照常進行我政府批准者不受限制
page 6	一碗飯運動明日開始舉行籌款四萬全部捐助工合樂仙酒家推銷最為熱烈
page 6	港滬輪船照常行駛渣華輪船昨日照常開出哥立芝總統駛滬但不載貨
page 6	基督學生夏令營
page 6	羅富國師範學院新生初試昨日揭曉原定筆試決定延期舉行改在下月十一至十三日
page 6	余俊賢離港前發表改進僑教方針普及僑教改進橋校師資余氏分別訪問南洋各地
page 6	港上半年貿易比較去年縮退半年貿易總額逾六萬萬但出入口仍較前年增加
page 6	學業競試明日覆試包括甲乙兩類
page 6	港府官米聲明在立法局宣布採答覆議員質問方式官米局通告禁止攙雜
page 6	防癆會演講港肺病死亡率為全世界最高港有肺病者達六萬人食米者較易傳染肺病
page 6	本港柴薪供給可慮
page 6	中航歐亞客票明日開始增價較原票價增百分之五十港韶渝蓉渝桂票價照舊
page 6	廣州上海廣州灣來客不能繳保登岸其他口岸來港者仍照辦澳門分局僅係縮小範圍
page 7	體協會同人大會今午正式舉行有十一會參加代表五十五人下屆新職員即日產生
page 7	足球總會召開代表會議
page 7	南華憑最後努力星島輸一分三十比三十一戰況扣緊民大打坍印警隊
page 7	精武體育會設夏令國術班
page 7	南華會函謝東方借將
page 7	美路杯華場大戰美星作冠軍爭奪戰
page 7	譚進杯籃球戰仿林巧遇金銀兩軍逢鬥皆捷有長勝名輸贏關係錦標惡戰難免
page 7	星猛虎足球隊壓服彼麟文五比二上半場局勢緊張下半局發虎威連勝二球
page 7	外匯牌價俱無變更美圓價格繼續下跌
page 7	國幣市況續趨下游
page 7	韶總裁杯排球戰中大榮獲冠軍三比零輕取建設廳隊
page 7	股票市況沉靜昨日成交二萬五千餘元
