page 2	論收復邕寧
page 3	龍津明江先後克復日軍被迫退出邕寧我軍開抵城郊分路追擊掃蕩
page 3	泰國飛機飛越在維田示威日本將闢泰越間航空線
page 3	林主席電賀土國慶
page 3	匿日德巨輪實行武裝不久可以竣工
page 3	行政院會議通過呈請褒揚李清泉案鄒秉文被任財政部常次
page 3	日本對外貿易實際日漸減退美禁運煤油亦大受影響
page 3	蔣夫人文學獎金徵文延期至本年底截稿
page 3	滬又一綁案
page 3	馬鴻逵等捐資設教養院辦理救濟事宜已成立董事會
page 3	王外長歡宴蘇大使
page 3	渝衛戍區組織軍民合作站暫以縣為單位
page 3	日機昨又飛滇肆虐中航客機被擊落搭客九人及美機師均有死傷滇越鐵路客車亦被日機掃射
page 3	對日經濟封鎖加緊實施中澈底摧毀日人經濟設施
page 3	檀島美軍意外警備參加演習者數萬人
page 3	經濟部設立澱粉製造廠為國內新興化學工業
page 3	墨西哥又取消出口限制日本所購水銀已放行
page 3	莊崧甫逝世
page 3	湖北省政在猛進中新縣制試驗良好明年起全省實施
page 3	上海美防軍採預防措置官員均須遷居防區以內士兵入夜後亦不准出外
page 3	美國財政援華的檢討三
page 3	貝克談話美紅會援華藥物將由滇緬路運入
page 4	英國積極援助希臘傳海軍軍已輸送軍隊登陸邱吉爾函希當局重申保證
page 4	英具援希決心美國甚感滿意
page 4	土政策待決定派兵防保邊境
page 4	羅斯福總統作競選演講猛烈攻擊共和黨人威爾基氏亦作演說
page 4	德機炸沉英大郵船經過砲手勇猛應戰傷亡殆盡搭客依次離船皆極鎮定
page 4	希臘實力
page 4	英機轟炸斯考達兵工廠發生大火與爆炸
page 4	巴爾幹戰局開展
page 4	義希戰事與三國同盟
page 4	日本南進的造因談談所謂大東亞經濟集團的內容六
page 4	保國強作鎮定南將嚴守中立
page 4	蘇聯態度緘默日本保持觀望
page 4	希墨會談完畢分返柏林羅馬
page 5	錢樹芬宣慰歸來暢談旅美粵僑近況擁護抗戰每人平均捐過三百元堂鬥已平息經濟教育均有進步
page 5	浙東米荒糧價每擔百餘元淪陷區內米慌益甚
page 5	川三年生產計劃將先辦一興業公司第一年需款四千萬
page 5	林卓夫辭職省府慰留
page 5	我便衣隊襲入會城擲彈縣府前破壞電話線
page 5	廢物利用輓聯製衣
page 5	漢民中學紀念胡漢民誕辰童軍舉行大檢閱
page 5	論功行賞屈仁則升副司令吳盛如任大隊長
page 5	鋼鐵會議即將在渝舉行討論增產技術
page 5	三俘虜石川石太古田清二郎森田會見記
page 5	日對廣州灣施行經濟侵略日人積極調查商情準備大量傾銷劣貨
page 5	半年間出入東江僑胞二萬一千餘人
page 5	霧裏空襲記緊急警報前賣報童子尚喊著我軍三路攻南寧工兵壯丁剷去了灰燼地基上又出現玲瓏的房屋
page 6	連續性燈火管制昨夕日落後開始竟夜漆黑先後三度警報今晚繼續舉行明晨結束
page 6	全港燈火熄滅
page 6	水陸交通情形
page 6	防空人員出動
page 6	假想敵機投彈
page 6	偉大建築補焚
page 6	九龍同時遭難
page 6	防空壕暫停工
page 6	發出空襲警報
page 6	澳門新督過港即乘葡艦赴任本報記者昨登葡艦訪問新督願中葡將益為親善
page 6	回人應稱回教徒不得稱回族之謎行政院令與回協原呈不符本港回教團體已 接得通告 
page 6	西人存華幣滿想發財不意深夜被竊
page 6	本港汽車統計共約七千輛弱包括私家車的士巴士等有等迄未換牌確數不詳
page 6	葉恭綽將有菲島之行
page 6	雅蘭亭酒店環境幽美招待周到
page 6	露宿救濟會昨舉行周年大會宣講周年報告致謝各方籲請各界捐助自建房舍
page 6	和平紀念日決定取銷集體祈禱
page 6	各界振聯會討論新界難民冬振
page 6	山口獲釋
page 6	國民大會澳洲代表抵港黃襄望定日內赴渝報到據談旅澳僑胞情形甚說
page 7	文奎祺昨日返港東方會實力恢復週末東南大戰又成勢均力敵南華會乙組今日約戰軍醫隊
page 7	罌花節慈善足球賽軍聯陣容今日遴選
page 7	德權鼎小球賽最近四組形勢表
page 7	美菲荷匯牌價回縮申匯市況先穩後淡
page 7	國幣市況昨漲風稍戢
page 7	股票市況穩靜買賣不多成交二萬餘元
page 7	四四金市仍屬靜穩
page 7	論中衛線的重要性三英國足球協會隊隊員著
page 7	上海足球出冷門葡商敗於西捕結果四比五挽救乏術
page 7	改變地位
page 7	永勿倉皇
page 7	戰術漫談
