page 2	野村使美與赫爾談話
page 3	赫爾發表重要談話重申美國嚴正立場闡述八大要點針對野村使美
page 3	雅各比被捕事美再向日抗議
page 3	胡大使宋子文訪晤美國務卿
page 3	日越商務談判將在東京舉行松宮工作已告一段落日對荷印亦擬重派代表談判
page 3	越南日軍當局圖攫美僑財產
page 3	阿部返寧周佛海附機同行
page 3	東京地震
page 3	滇康公路正加緊修築
page 3	滇越邊境我戒備嚴密
page 3	蒙藏同胞注意教育推師資仍感缺乏
page 3	鄂中鄂北戰況猛烈各路日軍均未得逞
page 3	陝節建儲金
page 3	滬糧價飛漲已引起嚴重的社會問題各報均主嚴處壟斷投機
page 3	史塔馬傳將任駐日德使
page 3	美日外交的綜觀
page 3	野村定期赴任承認前途棘手
page 4	力圖挽救頹勢義將易帥反攻正抽調精銳增援前方阿境希軍續有進展
page 4	德義討好回教國家
page 4	羅國鐵衛軍大施報復手段槍決政治犯六十四名前政府要員均在其內
page 4	阿根廷擴軍向議會要求撥款
page 4	美紅十字會施振米麥運滬救濟淪陷區災民
page 4	華籍海員向未領䘏英官方謂已大增工資
page 4	點綴新體制日本之大政翼贊會將開中央協力會議
page 4	希臘英勇抗戰影響巴爾幹局勢保國態度猶豫英乘機提保證義又宣傳西將參加三國協定
page 4	華盛頓方面傳美蘇將續談判各方對此均予重視
page 4	日本寄美郵件均受檢查
page 4	保增強國防陸長已向國會提出國防法案
page 4	鄂中鄂北激戰
page 4	越南與荷印
page 4	英報業鉅子羅達米爾在伯茂達逝世
page 4	美傾力擴軍非國防預算減至最低數公用事業建設暫時擱起
page 4	由上海游資充斥說到銀行存款減息一
page 4	美財政援英案恐暫難實現喬治表示此事言之過早英希望美國供給新船隻
page 5	粵閩贛邊區司令部召開儲糧救荒會議定下月初在某縣舉行
page 5	陳嘉庚抵桂林將赴滇緬路視察對福建現象表不滿列舉五點痛下針砭
page 5	八行鈔票繼續通用
page 5	粵徵兵順利月達一萬二千名團管區副團長得由縣府推薦曲江依限實施國民兵總抽簽
page 5	桂林熱烈歡送新兵出發每官兵發給國幣二元
page 5	桂臨參會四次大會閉幕選定駐會參議員七人通過議案達六十七件
page 5	西康日記二一四第十編神秘的木裏
page 5	粵政務第三團巡抵古竹
page 5	四川橫斷記續完
page 6	壩岡日軍登陸未逞人數甚少艇毀人均溺斃日機濫炸死傷約數十人
page 6	鯊魚涌曾一度混亂
page 6	港鯊輪船照常往來
page 6	日機一隊飛越新界
page 6	移民法例今日作最後決定各華人議員將發表意見建議減費等請政府考慮
page 6	今日會議程序
page 6	發證漸形迅速
page 6	十批義民延期返國原定昨日出發
page 6	粵青年會同人昨歡宴駱愛華為青年會服務二十五年耶誕節後挈眷赴韶工作
page 6	佛山輪即將復航乘客須備種痘防疫證書廿九日或下月三日開省
page 6	漁民協進會換物會今午開幕
page 6	米價突漲傳受珠江開放影響事實應無上漲理由
page 6	影響港澳航業
page 6	農植訓練所
page 6	梅樂和抵港
page 6	普樂返港
page 6	反疏散委會
page 6	時症報告 
page 6	華人代表建議
page 6	滇緬路上美人韋伯由滇經緬來港與記者談沿途經過情形
page 6	廣西銀行總經理廖競天由桂來港據談桂省經濟情形穩定農產增加工業較前發達
page 7	中青盛況空前女子體育大表演梁紅玉舞雙劍博得滿場掌聲籃球比賽南洋仿林雙雙凱旋
page 7	籃球比賽
page 7	南洋首破西南
page 7	南華敗于仿林
page 7	學界籃球結果中級組平正八桂告捷初級華仁工業奏凱
page 7	今晚乒乓賽居聯對合群
page 7	足球友誼比賽南華戰和鼓手
page 7	美菲荷匯牌價續縮英匯呆滯申匯穩定
page 7	四四金市略趨堅穩
page 7	股票市況趨穩昨日成交二萬八千餘元
page 7	國幣市況仍屬平淡
page 7	女子籃球一日開始報名
page 7	星島今晨返港征澳一勝一和
page 7	足球評述東華輕取臘克斯一
