page 2	日閥南進企圖與粵桂戰局
page 3	粵桂我軍增強實力嚴密警戒日軍蠢動滬郊風聲鶴唳日軍捕殺無辜
page 3	劉侯武返桂談粵東江現況米荒雖重已有被救辦法公務員功過亦分予獎懲
page 3	南僑慰勞團晉謁當局致敬林主席向團員發表訓詞
page 3	孟祿博士向北美廣播讚揚我朝野信心堅決確在向勝利之途邁進
page 3	汪兆銘侷促南京情景凄凉萬分王梁由日人從後撐腰對汪偽組織視若無睹 
page 3	吉隆坡僑胞愛國情殷捐款救濟難胞集資回國墾荒
page 3	滬和豐機器廠工人罷工
page 3	工業內移四川一省工廠即值二萬萬元
page 3	蘇使館參贊飛返莫斯科
page 3	蘇使潘友新歡宴邵大使渝報界定期餞別
page 3	宋哲元遺體移厝川富樂山
page 3	滇政府決定統銷紙煙以免奸商囤積
page 3	皖鄂湘戰區現日漸繁榮物價低廉人民生活如常長沙復興極速人口激增
page 3	忠孝兩全朱河清遵父命受訓粵李主席特令嘉獎
page 3	滬巨劫案四盜開槍拒捕結果死傷多人
page 3	本年全國普考定六月間舉行考選會積極籌備中
page 3	滬日僑納稅人組織機關集中力量對付租界
page 3	艾沙等抵昆明日內赴渝晉竭當局並將轉赴前線慰勞
page 3	保衛祖國領空的華僑空軍勇士一
page 3	十八集團軍駐防問題已決定妥善處理辦法陝北地方行政問題續議中參政會特種委會進行完滿
page 4	挪威中部鐵路線英德開始接戰英國續在各口岸登陸已與挪威軍取得聯繫
page 4	菲島人士頗為注視
page 4	荷京各報紛加討論
page 4	美參院通過大海軍撥款案建大型主力艦對抗日海軍史托克力陳得用關島必要
page 4	法眾院秘密會議議員質問作戰政策
page 4	澳洲外長表示欣慰
page 4	張伯倫在眾院聲明保障東南歐之安全
page 4	英蘇商務關係蘇願對英恢復貿易
page 4	英方公佈捐失機數德方損失尤重
page 4	日又恫嚇英法謂如扣留丹挪船隻必至發生嚴重後果
page 4	瑞士聯邦召集後備役共五萬五千人
page 4	荷當局宣佈已入戒嚴狀態憲兵嚴搜納粹黨人
page 4	北歐戰事之樞紐
page 4	美日經濟力量之比較二
page 4	英法態度完全一致
page 4	維持太平洋現狀美國具有決心美將以經濟壓力戢日野心日報對赫爾宣言表示憤懣美海軍演習越夏威夷以西
page 5	雲南石屏地震猛烈全城宛如浪上舟死傷二十七人損失約百萬元蒙自墨江峨山亦有輕微震動
page 5	新會九區各鄉村全部被侵擾西江方面連日均有砲戰前山日軍禁止糧食出口
page 5	中山開澳貨船中途被劫搭客倖告無恙
page 5	桂掃除文盲決普遍設立成人教育班分期抽籤強迫入學
page 5	盜匪出沒行旅艱險
page 5	昆明通信滇緬行十九
page 5	新茶開始上市政府統制運銷外銷茶葉將集中香港新交通線已佈置妥當
page 5	粵腦膜炎疫勢稍殺三月來死亡千餘人
page 5	四邑內河交通多恢復船隻往來轉折行旅艱苦沿途匪徒猖獗時遭騎劫
page 5	四邑內地交通如常
page 5	三埠澳門輪渡恢復
page 6	中華國貨產銷協會香港分會昨成立仍本初衷發展國貨事業西南實業協會港分會亦同時成立
page 6	主席報告
page 6	東華三院籌募不敷經費昨日發出沿門勸捐宣言深望各界人士踴躍捐輸
page 6	兩會理事
page 6	港九住聯會理事今日開會
page 6	郵政當局解釋港泰空郵減價空郵增費限於帝航幹線香港至曼谷段並不需要
page 6	清華盛會群賢畢至少長咸集口沫橫飛語妙天下
page 6	梅校長屬牛
page 6	大家結了親
page 6	沒有帶捐冊
page 6	中華基督教學生聯合會總理忌辰捐款成績
page 6	太古新輪漢陽號日昨下水
page 6	被拘德僑十名獲釋行動仍受限制
page 6	各義學呼籲改善教育新例義學環境經濟礙難實現稟章呈華代表轉遞當局
page 6	港大學生會今日售花救濟難胞
page 6	招商局輪復航之說不確
page 6	來賓致詞
page 7	加山足球聯賽南南再戰香港雛鳳在愉園迎鬥米軍
page 7	今日足球共有七場
page 7	公開男籃球賽程序編定
page 7	征載埠際代表隊人選正式公布海警東方球員放棄被選左右兩翼虛懸尚待考慮
page 7	港圓外匯牌價略漲美英申匯市況沉寂
page 7	八九金市依然穩靜買賣不多價少變動
page 7	股票市況靜寂匯豐銀行股價昨略低降全日各股成交僅六萬元
page 7	南華游藝部今夜演出籌款賑濟難民
page 7	歐美體壇
page 7	菲中華女籃球隊首戰學生軍下午七時在中青會球房軍容甚盛看誰手段高強
