page 2	社評糾正幾個錯誤的觀點
page 3	東戰場我各路出擊杭州近郊發生激戰南京徐州外圍我軍甚活躍
page 3	江會日軍食糧奇缺四出搶劫當地鄉民予以痛擊
page 3	粵日軍暴行殺死德籍教士搜刧難民財物
page 3	寧波安寧滬甬航運暢通
page 3	汪兆銘何辭以對滬投汪教界程寬正等投函各報促汪宣佈和平最後折衝結果
page 3	討汪之聲
page 3	論實行憲政之時期與國民大會之性質
page 3	中央擬加強粵人民武力將設廣東游擊區總司令由李主席負責編練指揮
page 3	故英德縣長李輝南哀榮
page 3	青年黃天寧發明織布機簡單靈活成本極低已呈請經濟部專利
page 3	一等兵王治安英勇過人死而復蘇猶罵日人
page 3	高密日軍厭戰自殺
page 3	滬寄國外郵包稅率提高
page 3	黃旭初等倡組桂憲政協進會省府積極推進戰時工作
page 3	法幣價格穩定上海經濟週刊著文評論
page 3	偽豫皖軍紛紛反正司令張啟煌被日軍扣留
page 3	國內最大電台今日開始播音用十六種語言播送世界各地
page 4	有田克萊琪再度會談英態度仍堅決日二次抗議即送出
page 4	蘇芬兩軍積極補充大戰迫在眉睫蘇軍增援各線圖一舉破敵義志願軍駕機襲列寧格勒
page 4	南國外長談巴爾幹會議保與協商意見一致議會中注重經濟問題
page 4	日議會今日重開各政黨召開會議日閣討論應付方案
page 4	西線砲戰終日英方發表傷亡名單
page 4	駐美英使晤赫爾商改善兩國關係雙方曾作友誼討論赫爾希望消除磨擦
page 4	日蘇劃界談判突然宣告決裂雙方劃界委會均解散
page 4	歐戰通訊之六法國國民製造忙五由法國說到中國一月十七日巴黎航信
page 4	希特勒演說恫嚇譏刺英法兩國謂德正極積備準中各方注視德義關係
page 4	羅斯福壽辰與影星多人共餐
page 4	天津租界美僑迭遭日偽留難津美僑商會籌應付辦法
page 4	挪義成立易貨協定義供挪以飛機
page 4	惠及貧民羅斯福要求撥款建築醫院五十間
page 4	日本米荒情形嚴重企劃院計劃統制
page 4	日西北部風雪為災死五十餘人
page 4	來函照登
page 4	美政論家主英美合作聯合對日如無歐洲列強參加遠東問題不易解決
page 4	東戰場各線出擊
page 4	西線之唇槍舌箭
page 5	滇歡迎華僑墾殖決予以種種便利劃思普沿邊各地為墾荒區域不論公荒均准量力報領
page 5	容奇偽軍出擾遭痛擊江會方面積極備戰
page 5	從化方面連日激戰我軍反攻得手
page 5	西康日記五三
page 5	花縣我軍圍攻龍口日軍被殲甚眾
page 5	中山縣長吳飛昨日拜會澳督
page 5	椰風蕉雨中荷印的前途
page 5	太平洋中珊瑚小島擁有福特汽車十八輛
page 6	歐戰爆發後港織品大量銷歐大廠運銷有增加十倍者英國各地市場需求甚切
page 6	慈善賣物會山林道浸信教會定明後兩日舉行
page 6	英戰慰勞會匯鎊返英賑難
page 6	深圳農村福利會分贈種籽耕具肥料百四十噸已運羅湖英賑華會捐港幣五千元
page 6	李樹芬醫生三四日即將返港
page 6	第二次藝術觀賞會陳列名畫目錄何冠五收藏共三十三幅今日仍假馮平山圕舉行
page 6	李樺劉崙戰地速寫今明兩日舉行展覽地點堅延信道中華中學
page 6	少年誤入歧途十七歲持槍行竊進入陸軍監獄獄吏住宅行竊未遂拔槍欲擊西婦
page 6	華南國醫學院昨舉行畢業禮名流黃焯南等到會演講電影明星音樂家等助興
page 6	慰勞粵北將士案商賑會昨日通過匯五千元交張發奎司令雜木行節省春茗匯中央
page 6	歸國就學青年首批四百餘人在港登記業經審查完竣即返國趕各校春季始業
page 6	出版消息
page 6	紅包勞軍兒童賑災會發起並發告小朋友書
page 6	擴大防癆運動聲中港僑亟宜講求衛生
page 7	記者足球義賽華聯淨勝三球征滬軍喪師加路連山
page 7	跑的藝術談談短途賽跑
page 7	記者陸運大會昨日圓滿收場
page 7	足球總會今天召開會議
page 7	協會足球義賽開始售票
page 7	菲網球協會邀徐煒培赴菲作網球賽
page 7	申匯市況微淡英美匯市轉趨沉寂
page 7	股票市况疲弱買戶給價低廉買賣範圍仍狹半日成交僅五萬餘元
page 7	去年本港米石進口銳減
page 7	八九金靜寂
