page 1	社評市參議會開會以後
page 2	和平或將有新試探彭學沛談停戰改組等事政府願與中共竭誠商談
page 2	馬歇爾聲明發表後華府觀察我國局勢
page 2	滬上活動電震返京後匆匆再來滬李璜張君勱等昨訪張群
page 2	臺灣的另一面
page 2	在中國及在世界各地美國必須支持民主美報評馬歇爾聲明
page 2	馬帥抵檀島
page 2	傳魏德邁將使華美使館否認司徒辭職
page 2	態式輝抵平即飛京述職
page 2	馬帥之聲明我政府尚無表示
page 2	董必武艾格頓
page 2	蘇北魯南戰事激烈江防指揮部成立防共軍渡江
page 2	如何改善航空設備戴安國連日在滬會商謂失事責任尚未確定
page 2	飛機遇難者家屬昨分由平滬飛青
page 2	請停止徵實川滇兩參議會呼籲
page 2	西康匪情複雜所發傳單稱請另派長官天全等縣陷落川邊告警鄧錫侯主張著重政治解決
page 2	法院追究責任指派檢察官會同調查
page 2	民盟全會定今閉幕
page 3	杜魯門提經濟報告此項報告為一連串報告之開端作為政府與國會順次檢討聯邦經濟情形之基礎以及採取完整而明白之步驟保證國家永久之經濟健康
page 3	在美八十屆國會席上杜魯門演詞全文續
page 3	勞資雙方協助生產集體磋商至為重要
page 3	原子能與裁軍問題安全理事會昨開始討論
page 3	馬歇爾任國務卿美參院一致通過兩黨一致的外交政策不變
page 3	外交基本原則不致更趨強硬
page 3	貝爾納斯為何辭職或謂貝氏以為對於和平已竭盡其所能故欲另讓賢能或謂渠對聲望日衰及將被共各黨接收之杜魯門政府已不願再與合作而自毀前程
page 3	聯合國會議小景
page 3	英國的希望
page 3	蘇聯的反應
page 3	巴黎世界報不信貝氏健康不佳
page 3	美以全力支持麥帥東京觀察認為美國右傾軍人初次出國外交
page 3	外交高級代表三個是軍人
page 3	蘇聯參謀總長接受訪英邀請英蘇將商中歐軍事問題
page 3	法徵兵入伍繆戴宣稱必為越南繼續作戰法傘兵已肅清南定區越軍
page 3	巴勒斯坦圓桌會議猶代表參加的希望渺茫
page 3	美照會波蘭再度表示對波選舉意見
page 3	美國會領袖讚揚貝馬二氏
page 3	法越談判有此一說
page 4	滬停工烟廠失慎延燒五小時損失數億元
page 4	不用釘的民鐸輪昨日在高昌廟行下水禮造價比在加拿大要便宜
page 4	賃屋糾紛一連串孫科的房子要收回自用被攆房客也要收回房屋
page 4	滬六晚報罷工都是為了年賞
page 4	重要物品囤積居奇取締辦法繼續適用社會局奉經濟部核示
page 4	大衣鑽戒待被劫者領取現存新成分局
page 4	京滬津浦隴海聯運中國旅行社代售火車票
page 4	滬大學籃球聯賽大同力克同濟專科組新專壓倒工專女子組大夏敗於滬江
page 4	中興輪船撞斷木船船上人皆救起
page 4	四處埋伏警察專捉攔路強盜
page 4	滬大學體育教師聯誼會已告成立
page 4	慈善足球賽門票一萬元
