page 2	華北勝利的展開
page 3	我軍反攻血戰粵北Ｘ機襲遂溪被擊落一架鄂北我軍向棗陽挺進中
page 3	滬報停刊後大美晨刊照常付印巡捕把門禁止發行
page 3	滬租界緊急戒備軍警義勇隊全體動員意在警醒Ｘ軍之行為
page 3	全國生產會議孔院長閉幕詞適應抗戰時期的需求該創辦最急要的事業
page 3	中航客機在龍泉驛降落
page 3	渝被災難民絕食移資捐獻政府
page 3	綏境我軍半月殲Ｘ近千
page 3	不入虎穴焉得虎子晉省壯丁勇敢菜刀砍殺ＸＸ
page 3	英報慶幸Ｘ報鼓噪
page 3	我軍衝入桐鄉將偽機關焚燬一空浙Ｘ進行收買海盜
page 3	粵黨政軍訓練團首期業已開學
page 3	甬全體商民電蔣委員長無論環境如何艱苦擁護領袖永矢勿渝
page 3	便利中法運輸法派調查團赴海防研究設自由港問題
page 3	國府命令
page 3	武漢之Ｘ最近益感恐慌
page 3	蘇北Ｘ軍再圖進犯不逞
page 3	益陽壯丁踴躍參加兵役
page 3	滬鮮肉業昨日暫行復業
page 3	英使抵昆明
page 4	張伯倫在眾院闡明英國政策求和平而不輕讓步願談判但須有保證
page 4	英覆文已發出同意共援東歐拒絕包括波羅的海
page 4	蘇聯堅持原議訂立三國協定法報希望英蘇妥協
page 4	英王赴渥大瓦已抵蒙特利爾林德賽謂英王訪美係增進兩國之友誼
page 4	菲華特島發生地震恐有陸沉危險當局考慮疏散
page 4	Ｘ幣制動搖日圓暴跌外匯紊亂當局無法強令節約
page 4	英眾院討論外國軍火運華
page 4	有田向格魯大送其秋波對美日間縣案妄想單獨解決
page 4	反侵略總會會長痛斥Ｘ機暴行對我英勇抗戰致敬並信Ｘ終必被擊退
page 4	美當局準備推進新復興運動內長伊克斯提新程序
page 4	英徵兵法案眾院三讀通過立法手續下週可望完成
page 4	Ｘ金融枯竭為了侵略他人公債年多一年
page 4	納粹黨軍人秘密混入但澤英波傳發生意見
page 4	美陸軍將舉行大規模操演參加者將達十餘萬人海軍預算交眾院覆議
page 4	義羅成立物物交換協定英報傳義南談話結果南已允加入德義軸心
page 4	短評東洋米湯
page 4	日圓慘跌
page 4	德與北歐對丹愛拉三國談判將近完成
page 4	巴勒士丁猶人舉行ＸＸ示威埃及亦不滿英白皮書
page 4	瑪德里舉行勝利巡行弗朗哥親自檢閱希特勒特電致賀
page 5	我軍越過汾水江佔領山地控制會城發砲猛轟城內Ｘ起恐慌江門我軍推進杜阮篁莊
page 5	江門之Ｘ強佔海關
page 5	川滇東路八百里一脚踏車週覽記
page 5	免稅洋米運高雷變更辦法准商人自由購買
page 5	雷州半島形勢仍緊陽江縣又遭轟炸市區落彈幸未傷人徐聞海面Ｘ艦窺伺
page 5	博羅隊長被殺
page 5	廣州灣瓊僑募捐
page 5	恩平戰時準備
page 5	吳川通緝漢奸
page 6	港澳學童救委會登記教師昨抽籤正取三百名備取五十名優先錄用者共八十七人
page 6	海底水管工程即將完竣將接運城門水塘之食水輸水量增加一百萬加侖
page 6	胡蝶影佳期已近男方為關鶴林君
page 6	浸信會少年團賣物遊藝籌賑會今明兩日在男聖保羅書院舉行內分換物遊藝茶點三部
page 6	家庭服務社今日開幕贈送社友登記表中華運通公司除原有運輸旅行銀業貿易等部
page 6	黃花崗今晚二次義演慶祝歐陽予倩五十壽辰所有收入捐華南賑聯會
page 6	印捐士担市價日趨高漲
page 6	陶淑女中今日為難籌款西營盤萃華坊陶淑女子
page 6	淪陷區影展籌欵統計共一千二百餘元
page 6	港海軍部收編華人服務
page 7	南華會臨別義賽今日會戰港聯隊下午五時一刻在嘉山舉行南遊正式代表猶在遴選中
page 7	今日棒球聯賽中華逢戰友啤兵精馬壯必有刺激鏡頭下午二時半在嘉山開場
page 7	南國足球隊力克英國結果二比一
page 7	英職業綱球賽勃琪勝梵恩斯
page 7	太平洋西南岸網球比賽菲選手被邀參加
page 7	兩英里賽美國校際新紀錄成績九分六秒四
page 7	南方小球隊三比零勝羿弓
page 7	中法台杯第一日許蔡不幸敗北失利主國純在後勁不繼雙打比賽將成勝負關鍵
page 7	暹滙牌價再趨縮其餘滙價續高漲英美緊後復淡申匯買賣仍少
page 7	股票市仍穩靜買家給價值低廉賣戶堅持不放全日成交總值四萬餘元
page 7	英金不動英銀回漲
page 7	海外商情
page 7	上月本港貿易暴縮四百萬元日貨進口量為數仍多英貨進口量反見低落
page 7	八九金市再略趨淡賣戶稍多價格微降
