page 2	社評經濟統制的條件
page 3	來栖今日過港飛美華盛頓態度仍冷淡傳來栖携有方案及東條私函
page 3	日報荒謬建議美輿論不予重視指為日本神經戰之另一插曲
page 3	美國態度冷靜堅決九國公約不容破壞
page 3	美使館副武官巴氏自渝飛港
page 3	荷印已作積極準備必要時將破壞油田
page 3	東京所發建議或由柏林授意陪都輿論界之見解
page 3	日報警告國人前途未許樂觀各報反美論調趨溫和
page 3	麥格魯德飛赴仰光
page 3	保衛滇緬路中英美將充分合作東京否認仰光日僑撤退
page 3	德夫古柏飛抵澳洲
page 3	氣比丸觸雷沉沒日竟向蘇提抗議
page 3	重慶流行緬甸熱病
page 3	蘇聯革命紀念日林主席特電致賀
page 3	不惜任何犧牲爭取最後勝利顧大使在英發表演說
page 3	日輪離檀香山時搭客受裸體檢查
page 3	工農貸款增加明年度總額定二萬萬元貿易委會改進外銷農產
page 3	敵機襲韶關在郊外投彈
page 4	十月革命紀念前夕蘇聯抗戰情緒熱烈莫斯科外圍發動反攻李維諾夫任駐美大使
page 4	中立法修正問題白宮再度會商羅斯福召見國會領袖參議院之辯論繼續激烈展開
page 4	大西洋美海軍繼續完成任務諾克斯對記者談稱
page 4	印擴充空軍總數將增至十大隊印將舉行二次國防會議
page 4	國際勞工大會通過竭力援助中英蘇案美總統將對該會演說
page 4	夕照譚夕陽無限好只是近黃昏五
page 4	大小涼山考察歸來一
page 4	莫斯科傳墨索里尼被刺墨氏身受微傷
page 4	美使晤貝當
page 4	義國挑撥蘇土關係
page 4	豫我軍克復汝南圍攻中牟殘敵京水以西敵全部就殲
page 4	維希偷渡封鎖企圖始終告失敗先後被截留十六萬餘噸英對德國特務決不放鬆
page 4	德法談判又將重開
page 4	紐芬蘭海岸發現德潛艇為加海軍擊沉一艘
page 4	美加組織生產聯合會調劑兩國生產力量努力增加國防物資
page 4	還是一個丑角
page 4	李維諾夫使美
page 5	滑翔家集中桂林參加桂分會成立韋鼎峙等駕駛滑翔機由芷江長途拖曳抵桂
page 5	川西邊情下
page 5	食鹽專賣明年元旦起實行
page 5	成都一週
page 5	教部視察陳達談桂國民教育基礎學校應慎選教導主任
page 6	港府昨頒布新法令禁自由買賣國幣嚴限國幣出境內地除外此法係應我要求而頒布
page 6	金銀貿易場今晨開會討論買賣申鈔問題將規定公價一三五
page 6	外匯統制署長解釋新例要點
page 6	防空處長史柏堅並無不法行為防空工程案審委會宣布其他證人昨續出庭作供
page 6	僑團慶祝總理誕辰昨開籌備會議
page 6	港府公務員家屬疏散計劃完成保護疏散者將供給食宿發通過證指示疏散地點
page 6	防空處又將舉行燈火管制演習此次將於演前發出通告畢高氏痛斥市民不合作
page 7	港滬埠際足球賽本屆可望實現滬方曾開會大約可派隊南來將由清一色西人隊組織成軍
page 7	球人行蹤李惠官由汕來陳洪光返菲島
page 7	銀牌籃球决戰民大黑灰爭雄前奏曲初級冠軍金銀對選手賽畢許讓成頒獎
page 7	民大黑灰孰強
page 7	球場官司巴勒比受處分
page 7	漫談球國大勢盼四華隊努力各奔前程一誤豈容再誤切莫等閒
page 7	居聯會擬舉辦義賽撫恤黃翔遺孤
page 7	申匯市況依然穩定英匯美匯仍乏生氣
page 7	股票市況不振買胃呆滯成交四萬餘元
page 7	國幣穩定
