page 2	社評英蘇協定與遠東
page 3	新牆河北鏖戰方酣大洪山之Ｘ已成釜底游魚余漢謀將軍談粵戰局形勢
page 3	鄂Ｘ傾巢進犯潰敗的實況我軍連克重要據點整個戰局被我控制
page 3	鄂Ｘ傾巢進犯潰敗的實況我軍連克重要據點整個戰局被我控制
page 3	鄂Ｘ傾巢進犯潰敗的實況我軍連克重要據點整個戰局被我控制
page 3	汪兆銘途窮ＸＸ無成效買空賣空被人識破黨羽灰心不願奔走
page 3	汕頭人口昨起強迫疏散
page 3	昌平縣城一度被我收復
page 3	津Ｘ圖謀擾亂租界英方已加戒備
page 3	桂越旅行通訊西南交通問題
page 3	Ｘ軍挑釁行為英當局極端重視或將採取經濟報復辦法克萊琪已提出嚴重抗議
page 3	英議會昨討論如何應付日本
page 3	英使抵廈門鼓島問題仍嚴重四國會商無結果
page 3	滬日軍官並未受傷日方謠傳無據
page 3	豫Ｘ反戰縱火焚燬彈藥
page 3	滇婦愛國捐田產二十畝
page 3	滬郊我軍衝入南市造船廠起大火
page 3	Ｘ機襲鎮海
page 3	Ｘ又散佈謠言妄稱英使曾提備忘錄謂列強調解中日戰爭
page 4	英法最新建議案業已送交蘇方將先聯合發表宣言軍事領袖亦將會商
page 4	德義大起恐慌謂將採取適當答復並拉攏日西為威脅
page 4	英蘇態度堅決如日本竟為虎作倀則協定將擴至遠東
page 4	蘇議會開幕將討論外交政策軍事預算極龐大
page 4	國聯行政院日內閉會決通告會員國加強個別援華
page 4	希特勒活偶像自白他本來是馬克西米林鮑爾現在却變做了希特勒的替身
page 4	日圓續跌每圓僅值九角五
page 4	內部傾軋愈甚Ｘ內閣動搖大島白鳥主與德義締盟不滿政府竟以辭職要挾
page 4	英太後生辰覆車受傷未愈宮內祝壽暫停
page 4	荷蘭女王昨晨由比返國
page 4	美親納粹團體領袖被捕以十二種罪名當局提起公訴
page 4	Ｘ閥窮兵黷武盡量搜括民脂本年度預算入不敷出藉物資動員強徵榨取
page 4	外蒙偽滿邊境迭起衝突日竟向蘇提抗議
page 4	巴西總參謀長將訪歐洲
page 4	英國內閣傳將擴大組織充實力量俾應付危局政府頒佈軍械部法令
page 4	國聯駐但澤委員將赴波會商傳波向法借款成功
page 4	捷京反猶猶人房屋被炸
page 4	鄂北的戰勝
page 4	Ｘ人搜檢外輪
page 5	粵省年撥九百萬元訓練人才完成保甲提高鄉鎮長地位及經費民財兩廳奉擬詳細辦法
page 5	粵參議會將派員赴海外慰謝華僑鼓勵繼續踴躍捐輸
page 5	各地黨政軍機關對領袖改稱總裁中央電令所屬遵照
page 5	我軍迫近新會西門江門Ｘ採取守勢白沙紫泥被Ｘ放火中山沿海現趨寧靜
page 5	增城Ｘ軍偷襲博羅被我團隊擊退
page 5	靈山風雨成災
page 5	吳川徵兵釋疑
page 5	博羅扣留貨船
page 6	被困廣州七月餘三英輪昨日返港東安大明大利先後抵埗輪中碎鐵均被Ｘ方掠去
page 6	防空小冊英文本開始發售
page 6	美國遠東政策華府大學教授詹森博士昨在中美文化協會講演
page 6	浸信會服務團遊藝換物大會兩日收入一萬二千餘元定廿九日作第二次換物
page 6	英王壽辰閱兵典禮定下月八日舉行
page 6	四婦女團體昨晚舉行跳舞大會
page 6	我經濟部通函本港廠商每六個月填事項表一次中華廠商聯會已接通知
page 6	培英校友今日追悼黃啟明
page 6	兩音樂會嶺大學生會主辦籌賑音樂大會下月三日在港大舉行馬思聰月末開獨奏會
page 6	糖商總會長期義捐四月份國幣三千元由中國銀行轉財部
page 6	五分鍾胃痛粉藥力偉大格外暢銷
page 6	本港教育當局取締濫收學額多置座位妨碍學生衛生將予嚴重警告促其改善
page 7	今日足球義賽南華對抗港聯隊下午五時在嘉露連山舉行如遇天雨則順延明天再戰
page 7	菲台杯選手滬戰經過山查茲作風頗類邱飛海
page 7	現時代的跑法步伐須力求均勻
page 7	今日棒球聯賽南華逢戰友啤下午二時半在嘉山上演
page 7	世界輕中量拳擊比賽黑旋風稱雄英國
page 7	英法台杯第一日各勝單打一場海爾力克地斯推摩蒲塞斯輕取施愛斯
page 7	荷匯牌價略縮英美匯市況黯淡申匯再度趨淡買賣依然不多
page 7	買户仍極踴躍股票後趨堅挺賣家乘機居奇奢求不已全日成交總值十餘萬元
page 7	八九金市略形鬆弛買賣尚少價格微降
page 7	英金不動英銀俱平
