page 2	善盡自力不憂無助
page 3	贛北日軍反撲失敗被我殲滅二三千人晉東南我軍乘勝各路出擊中
page 3	中國抗戰成功之後必產生偉大新文化布列特演講力促援華
page 3	賽珍珠預斷我今年獲勝
page 3	菲準備非常緊急設計部擬具計畫應付糧食交通等問題
page 3	戰債理論與資金動員一
page 3	菲總統任命民防局主席
page 3	菲武裝日僑搶劫化學品
page 3	美民意測驗贊成參戰者增加
page 3	中美平準協定美專家進行商討英同情美援華宣言
page 3	西貢盛傳日軍將開泰國廈門大鵬灣間泊日艦多艘
page 3	星洲日籍婦孺最後一批撤退
page 3	郭大使在英解剖松岡企圖探聽虛實以投機取巧
page 3	鄂省一縣長因領污槍決
page 3	法艦艇四艘正駛赴越南
page 3	共黨問題好轉政治見解並無根本岐異蔣委員長設宴招待駐會參政員
page 3	滬市商會電共黨參政員
page 3	滬租界工潮蔓延煤荒尚示能解決
page 3	日暴行一斑政工隊員鄭熙被驅狼犬咬斃
page 3	白崇禧過貴陽盛讃黔政進步
page 3	日軍荼毒後四邑情況淒慘旅美僑胞匪款施振
page 3	又一爪牙在滬擊斃
page 4	德空軍又大擧襲英普里茅斯受禍最烈柏林宣稱攻勢已開始
page 4	南閣全體會議贊同傾向軸心對德提案態度已決定德土或將再交換意見
page 4	傳希軍前鋒開入德比連
page 4	美財政部發行國防公債希望至明年六月止可籌集四十萬萬元
page 4	美德關係駐美德使蒐集情報準備應付邦交破裂
page 4	中國報業新紀元中央社倫敦分社記一
page 4	創世界海軍史紀錄美建龐大新艦排水量每艘達六萬噸參院以超速度通過撥欵案
page 4	美海長促參院通過援英撥款
page 4	地中海英潛艇奏功擊沉義輪數艘
page 4	林白之失敗論謂美歐擴軍已太遲
page 4	傑克森紀念日美總統將演說
page 4	南美德使活動現正集中智利
page 4	美總統準備出遊天氣好轉後乘遊艇出海
page 4	英美海軍協定即可簽署雙方已完全同意
page 4	荷外長在美演說申明與英比肩作戰
page 4	東非英軍繼續壓迫克倫義軍一度反攻失敗
page 4	魏剛高談抵抗謂英法關係早斷絕祗知遵守對德協定
page 5	南路殘日肅清後各地秩序漸恢復
page 5	韶關中振會舉辦耕牛貸款扶助農村經濟增加生產
page 5	靈山禁娼將分四期實行
page 5	粵各界呈現春禮勞軍共二萬八千餘元
page 5	外匯牌價不動申匯市況穩定
page 6	保衛團昨日出勤人數尚未足仍繼續徵募後日召開行商會議商討
page 6	岳桐中將昨晨離港返英總督及官紳等均往送行登小輪時眾人為之三呼
page 6	霍亂病統計
page 6	開發大嶼山家庭組昨日開會
page 6	馬超俊即將反渝出席八中全會四邑十室九空難民遍地希望海外僑胞救濟桑梓
page 6	兒童保育會下月招待各界
page 6	清糞事業五月起收歸官辦不增差餉費用另行籌劃擬定由無水廁住戶負擔
page 6	洋服工人請求改善生活增加工資劃定工作時間勞資雙方今日交換意見
page 6	港大戲劇大會今晚公開舉行
page 6	策動民資購糧接濟內地吳鼎新昨日招待新聞界希望中等人家完成任務
page 6	商大同學歡宴彭石年周元祥
page 6	虞洽卿發表談話暫時擺脫一切長途旅行外間種種傳說不加聲辯
page 6	歲華書畫展今晨十時開幕假座石塘嘴陶園酒家
page 7	特別銀牌半決賽東方出戰洋沙兵錦標關頭雙方必有劇爭下午四時一刻在快活谷交鋒
page 7	體壇雜景說至那晨就是那裏鈴兒
page 7	星島球隊昨晨凱旋
page 7	球圃菜根集四十二
page 7	甲組聯賽警察戰九龍
page 7	東方征菲籃球隊留港義演兩場假九龍青支會露天球場開賽由南華星島兩勁旅出與週旋
page 7	男女越野賽跑號碼編列完竣男女太保們名單公布
page 7	正廷杯女籃賽南華重逢南商新仇舊恨兜上心頭勢有惡鬥友誼賽青支戰培正
page 7	恩德杯排球賽培英出師迎抗南華乙
page 7	五邑杯賽大戰展開乒乓聯合會主辦之中級
page 7	銀聯小球賽週末有六場銀聯小型球賽經數週來
