page 2	從柯立芝事件說起
page 3	格魯訪豐田作長談重申美國不變政策柯立芝事件華盛頓極注意
page 3	倫敦華盛頓空氣日見緊張英相返國後即行召集閣議美總統召見兩院領袖
page 3	蘇人民感謝英美援助各地曾召開大會
page 3	日本石油恐慌續昨
page 3	英相定期廣播
page 3	日糧食恐慌愈趨嚴重泰駐日使館武官談無菜無肉枵腹已久
page 3	英相抵倫敦時歡迎情況熱烈
page 3	日又增兵越南總數已達十餘萬人緬甸宣布已入戰時狀態
page 3	馬來亞政府提防日間諜軍事區內日人著令定期他徙
page 3	努德森氏接見英蘇代表加緊推進援助工作
page 3	紐約碼頭大火運英給養品曾發生爆炸
page 3	澳駐華公使發表演說與中國為友甚覺榮幸中國為反侵略支持者
page 3	英勞工部長論建設新世界中英美蘇四大國家為新世界四大支柱
page 3	美總統簽署延長兵役法案正規軍服役期間延至四年半國防軍及後備軍延至兩年半
page 3	荷印政府重申禁止物資運日否認荷日談判重開之說
page 3	馬來亞總督勉勵泰國英國珍惜對泰友誼英報論英泰立場極堅定
page 3	日政府解散證券交易所
page 3	英日談判臨時商約採取物物交換制度新加坡日人如是稱
page 3	平沼傷勢日官方昨日公報
page 4	列寧格勒緊張紅軍在塔林焦土抵抗
page 4	英軍事家評論德蘇戰事新形勢納粹鉗形運動已陷於停頓次期攻勢或將在中區展開
page 4	蘇淪陷區民眾慘遭非人酷刑
page 4	希特勒神經失常戈林炸斷雙腿埃瑞方面如是傳聞
page 4	國內外最近形勢孫院長對港澳黨員演講
page 4	維希國會議員不滿貝當政府達蘭赴巴黎商壓制辦法
page 4	美戰鬥機飛西非轉運中東戰區羅斯福總統正式公布
page 4	賈乃錫已抵加拿大將轉往倫敦
page 4	精神總動員應加緊推進蔣委長手令各機關
page 4	豫我軍克兩據點三水敵出擾受創
page 4	敵機襲陪都轟炸自流井鹽區
page 4	萬縣境內擊落敵機
page 4	整理地政中樞積極推動
page 4	省營工礦業經濟部公布辦理規則
page 4	財部積極籌劃日用品專賣鹽專賣將先實現
page 4	早稻豐登農民喜形於色川省糧政改進
page 4	蔣委長殷切關懷陪都被炸難民曾擬款十萬切實救濟並令飭當局照顧婦孺
page 4	政院會議馮欽哉任察主席
page 4	國內郵資下月起加價立法院已予通過
page 4	無中生有
page 4	邱吉爾返英倫
page 6	港幣與國幣得自由攜帶出口傳只准攜帶千元說不確外匯統制署長昨日談話
page 6	華商總會昨歡迎海外部長劉維熾
page 6	黃炎培氏對記者談我經濟糧食概況今年四川糧食收穫甚豐將使僑資內遷從事開發
page 6	港三廠商團體電財部請求改善商業匯兌望中交兩行辦押匯辦法
page 6	首任澳公使徐謨抵港
page 6	荷印與香港間匯兌辦法改善港貨運銷荷印較前便利最近銷荷貨物已見增加
page 6	港大中文教授陳寅恪暫代
page 6	港四十餘團體追悼許地山九月卄一日舉行
page 6	陸軍司令莫德庇昨晚宴別港督督轅準備一切交代事宜港督夫人日內返港同行
page 6	羅旭龢爵士康復視事昨日對記者談港貯備甚充足
page 6	金銀貿易場獻金獲嘉獎陳樹人電勉該場同人
page 6	往中南美僑胞被阻滯外部向美交涉改善現時辦理手續繁複不便請求核准來往需時兩月
page 7	鎮和學位足球賽上海再戰香港雙方人選待星東抵港後再定門券價目已定下月十三開賽
page 7	南華排球部出事主席召見記局面嚴重空氣頗為緊張某球員詳述經過
page 7	南華會員大會今晚召開
page 7	卓雄杯賽昨日停鑼
page 7	鐵城杯賽今晚有兩戰
page 7	星東隊今日奏凱歸
page 7	全港小學運動大會定雙十節舉行地點在九龍塘運動場港九各學校均可參加
page 7	棒球國際大比賽美淘汰印度
page 7	夏令籃球賽居聯電青告捷
page 7	乙組團體網球賽南華大勝中華八比一南華已穩握該組錦標葉觀洪與何偉卿一對最出色
page 7	外匯牌價俱無變更美匯沉寂申匯微淡
page 7	股票市況堅穩昨日成交總值七萬餘元
page 7	國幣價格漲勢稍挫
