page 2	社評國際問題的兩點
page 3	贛鄂前線激鬭方酣西江形勢我趨好轉
page 3	偽蒙軍連長電白主任報告反正經過懷遠偽軍亦有反正
page 3	Ｘ機慘炸福州全市精華化為灰燼
page 3	伍廷颺過桂赴渝出席生產會議
page 3	顏雅清在美宣傳抗戰飛機失事受傷
page 3	虹口之火焚燬Ｘ軍郵包
page 3	偽鈔跌價津銀行家受累
page 3	鎮海口砲戰Ｘ機昨又飛往轟炸
page 3	政院會議李迪俊任古巴公使
page 3	怎樣實行精神總動員二林主席在中樞紀念週報告
page 3	川青陝皖參議員名單國府前日明令公布
page 3	滬言論不自由華美晨刊停刊因登載攻擊漢奸文字被工部局撤銷登記證
page 3	西南建設中的雲南怎樣促進生產張邦翰談兩大原則恩源寄自昆明
page 3	閩侯壯丁變產獻國受獎
page 3	滬Ｘ報紙攻擊法租界當局對縣旗規定不滿
page 3	滬劫土案Ｘ方追究索償
page 3	津Ｘ反戰縱火焚燬倉庫
page 4	英不重視日警告對華政策不變英蘇談判繼續進行將組十三國大同盟
page 4	英徵兵法案在眾院初讀明日再提出二讀法案全文已公布
page 4	張伯倫法國大學贈予名譽博士學位
page 4	羅外長歸途將訪南國通知聘德義印象
page 4	德國所謂答覆美不予承認赫爾表示僅演詞抄本未能即認為正式覆文
page 4	比財商兩長抵達巴黎向法進行借欵
page 4	捷人心不死僑居法美捷人力謀恢復祖國
page 4	波外長演說時對德將提反要求不放棄在但澤之利益德報繼續向波蘭攻擊
page 4	北愛總理啟程赴英
page 4	工黨態度仍表反對
page 4	國防調整大臣演說
page 4	美中立法案現購自運條款已滿期可望依輿論趨勢修正
page 4	抗戰期中公路車輛問題一應大量試用炭氣車茅於恭自倫敦寄
page 4	美在巴拿馬運河設第一防禦線加勒比海成立軍事處
page 4	日本北部發生劇烈地震秋田方面災情最重為念五年來所未有
page 4	匈總理外長離德返國
page 4	一個預言本月十五日歐洲將有事
page 4	殷嘉德調任部長奧地利省長撤銷
page 4	法商務部長將啟程赴荷京簽押法荷商約
page 4	朱學範在美演說請禁軍火運日全滬工聯會電各國工會呼籲制裁日本助我抗戰
page 4	巴勒士丁問題埃京所提建議英閣正在考慮
page 4	瑪德里大檢閱籌備將完成十五日開始
page 4	英注視日行動眾院討論殖民地問題漢德森竟提荒謬意見
page 4	德在米美爾建築砲壘海軍舉行演習
page 4	民族的火
page 4	一個必要認識
page 5	鶴山Ｘ勢已疲谷埠尚有重兵集結鄧部大軍出擊準備反攻江會鶴境殘Ｘ負隅各線尚在激戰
page 5	韶關警備司令王作華調任粵保安副處長吳迺憲奉命繼王任
page 5	粵參議會改十五日成立
page 5	粵動員會即恢復推動精神總動員李漢魂兼該會主任定本月為國民月
page 5	抗戰軍興後的閩省建設現狀徐學禹的一席話
page 6	預防霍亂衛生當局舉辦免費防疫注射在瑪利醫院等十餘處飲食謹慎防蒼蠅傳染
page 6	青年運動週籌委今日開會決定五七具體慶祝程序節食節用運動再接再厲
page 6	泰倫保華密月旅行有來港說
page 6	為賑聯會籌欵救亡劇團義演由記者公會負責籌備向賑聯會請賑案緩辦
page 6	法幣漲落受奸商私運影響
page 7	香港隊征菲失意第二戰又遭敗績結果三比一拉薩書院獲勝李惠堂出場但無精彩表演
page 7	全美國業餘游泳比賽四百碼接力泳打破世界紀錄
page 7	蘇格蘭足球隊出征美洲預定比賽十二場
page 7	紐約博覽會體育品展覽
page 7	全英硬地網球賽我選手均獲勝許承基蔡惠全演出極佳
page 7	蔡惠全另外一傑作
page 7	暹羅牌價稍縮其餘匯價均略漲英匯市況微緊美匯則稍淡申匯繼續趨淡華商多拋出
