page 2	社評紀念空軍節建立新空軍
page 3	德夫古柏抵華盛頓英美對日態度強硬克萊琪格魯分別向日警告
page 3	八一三四週年滬市沉痛紀念電領袖暨前方將士致敬全市停止娛樂茹素一天
page 3	國內海外同胞一致熱烈紀念
page 3	美國的禁運與日本一
page 3	澳對遠東局勢將發表宣言澳議會定二十日召開孟席斯將經美赴倫敦
page 3	美罷工潮未平復國防生產受影響總統無意實行強制解決
page 3	羅斯福總統將結束釣遊專車傳已出發等候英美會談真相即可揭開
page 3	日本艦陸續抵西貢港泰邊日軍達萬餘人
page 3	美財部解凍葡萄牙資金
page 3	越南禁止貨物出口
page 3	緬國防會議經已恢復議員多為緬人
page 3	美眾院通過延長兵役案日本南侵維希屈服承認美國遭逢危機
page 3	美閃電戰車已運抵荷印菲空軍司令訪荷印
page 3	旅滬美僑民又一批返國蘇荷否認撤僑
page 3	英空軍揚威白畫襲西歐為開戰來最猛烈一次
page 3	美總統派出代表研究遠東形勢特別注重原料供給問題加拉第已乘機出發
page 3	英開當局闢謠否認美不參戰英將媾和之說
page 3	敵機又肆虐渝外記者分寓被炸
page 3	泰越劃界會議將在日本導演下舉行
page 3	日本又放煙幕對蘇遞送秋波高橋謂日本不能再依賴德義
page 4	鳥克蘭戰事轉穩定紅軍展開反攻北線蘇軍施用新武器
page 4	達蘭總攬政權加緊對德輸誠傳魏剛不滿維希態度美議員主採強硬政策
page 4	空軍節的意義與展望
page 4	美認達蘭擅權勢將澈底屈服
page 4	鄂中捷報頻傳我軍克復郝穴乘勝向資福寺掃蕩中沙市潛江敵竄犯受創
page 4	貝當廣播演說要求美國諒解
page 4	納粹在中東活躍伊朗局勢動盪英蘇將採平行行動
page 4	挪人反德情緒日濃
page 4	旅滇兩廣同鄉發起獻機運動
page 4	檳城華僑團體電蔣委員長對十八集團軍行動請求政府嚴厲禁止
page 4	匈將竭力動員作戰過去動作乏力盟主極表不滿
page 4	達蘭能做什么
page 4	英美對日警告
page 4	英蘇聯合保證援助土國並遵守蒙特羅公約
page 4	敵又一將官司被我軍擊斃
page 5	今年度茶葉外銷預定為二萬萬箱東南各省積極增產中貸款總額一千五百萬
page 5	泰國華僑南渡概說下
page 5	香港鬱林紀行最近之詳確調查
page 5	曲江提高文化水準擴充縣立中學及簡師班提前完成五年教育計劃
page 5	菲島凍結資金華僑仍准匯款超過一千元須領取執照
page 5	緬甸防空考察團發表赴渝觀感人民對空襲已處之泰然仰光準備採用各項防空計劃
page 5	遂溪整飾市容鞏固治安組評定委員會限制旅店加租
page 5	粵兒教院本屆結業兒童達三百五十人
page 6	八一三四週年僑胞昨熱烈獻金百餘團體參加紀念會電林主席蔣委長致敬
page 6	港府擴大華商銀行對國內匯款數額准達原匯額百分之七十五華商銀行呈財部改善僑匯
page 6	中大招考新生試卷在港分科評閱因交通阻滯寄遞不便閱卷委員馬鑑等多人
page 6	中英文協歡送總督三十日在大酒店
page 6	各獻金台
page 6	羅富國師資學院全部筆試竣事昨考試國文及自然科學取錄榜示下星期三揭曉
page 6	一部日僑先後離港多係往廣州澳門
page 6	天文臺主任談連日天氣失常係因上海發生颶風影響上週末氣溫九十二度半
page 6	港內游泳傳染霍亂醫務處提警告
page 6	義勇軍砲兵隊軍車墜崖失事一死九傷因所載電線轆傾側肇事
page 6	港海陸軍定期演習卄三至卄五三日
page 6	模型飛機協會紀念空軍節今日模型飛機展覽
page 7	南華排球部糾紛案雙方各走極端余啟恩等擬開聯歡會作詳商林紹華不接納盼主席善其後
page 7	樂斯杯籃球賽珠江會戰悠悠
page 7	網邊憶語錄大徐小徐阿葉各有千秋網球團體賽南華顯威風
page 7	選擇籃球隊員應具備的條件吳文忠
page 7	中華體協會函各主任就職
page 7	鐵城杯賽南華中青得勝
page 7	蕭軍需昨拍來電報報告水益留澳
page 7	卓雄杯賽東山勝震寰
page 7	星東隊不日返港東方籌備歡迎陳福愉來電請準備營房楊水益留澳經商
page 7	公開渡海泳女游泳員先十分鍾出發
page 7	股票市況靜穩昨日成交僅一萬餘元
page 7	外匯牌價申匯回縮英匯美匯仍乏生氣
page 7	國幣市況依然堅穩
