page 2	青年節
page 3	鄂中我軍出擊奏捷連克漢宜公路三要地鄂東我軍亦克復麻城
page 3	蔣委員長電覆陳嘉庚叛國附Ｘ國人共棄希本此旨善慰僑胞
page 3	西安舉行革命宣傳週首日勞動服務日全市實行大掃除
page 3	結婚奇禍房屋倒塌新娘壓斃
page 3	Ｘ軍壓迫在華英僑英眾院提出討論
page 3	Ｘ扣外輪滬德領提交涉
page 3	滬壓迫言論兩報停刊五三懸旗昨又起衝突
page 3	楊森將軍練兵華中戰區通訊
page 3	Ｘ機昨大隊襲渝數十架侵入市空投彈與我機發生激烈空戰
page 3	寧波被炸死傷極為慘重
page 3	難民移懇綱要政院議決施行
page 3	蘇北我軍聲勢益浩大
page 3	滬金融週報著論稱讚我法幣穩固偽幣毫無準備失敗自在意中
page 3	法新聞記者在東京被扣留
page 3	前駐滬英司令洩露機密受審
page 4	德外長今日赴義會商波蘭問題義朝野對但澤糾紛均希望德勿為已甚
page 4	美擴大動員戰事發生後三個月內可徽集軍隊一百萬人
page 4	英兵額增加較前一屆幾增一倍新主力艦落成下水
page 4	英政府驅逐大批德間諜內部已將名單交德使館
page 4	英王偕后將赴加拿大七日由樸資茅斯港啟程
page 4	匈總理外表返抵匈京晉謁霍爾第報告兩院將開會討論
page 4	抗戰期中公路車輛問題二應大量試用炭氣車茅於恭自倫敦寄
page 4	羅外長明日返國義羅談話結束
page 4	阿王索古已抵土國將作久居之計
page 4	蘇黑海艦隊演習完畢成績美滿足以應付一切事變
page 4	反侵略陣線進行中蘇主組三角同盟並附設一軍事委員會張伯倫表示英有誠意
page 4	北愛總理表示效忠帝國政府南愛自由邦主席伐勒拉抗議徵兵法推行至北愛
page 4	葡萄牙總統贈英王勛章表示邦交親密
page 4	英羅談判李滋羅斯已允增加對羅借欵
page 4	美國應竭全力保障在華利益法蘭斯謂如強佔中國美對菲商業亦將受影響
page 4	英使訪德外長與希特勒演說無關
page 4	赫德森赴美進行商務談判
page 4	法當局頒令限制日貨進口圖補救對日貿易入超法日商務協定談判中
page 4	短評歐洲的外交戰
page 4	上海厭迫輿論
page 5	新鶴Ｘ向西猛犯夏威指揮大軍截堵西江下游各地Ｘ機瘋狂濫炸江會Ｘ取守勢我軍夜襲北街
page 5	鄒洪任粵東守備司令
page 5	海南島我軍克復嘉積市
page 5	粵省府督導團隊沈梓卿奉派抵汕已有九人分區出發整理訓練提高素質
page 5	連日大雨澳昨晨塌屋慘劇市內大街傾圯三間變起倉猝死傷數百
page 5	粵省府委員分區出巡吳飛何彤朱暉日擔任中北西三區
page 6	參加國民宣誓者本港已逾十萬人青年記者學會明日舉行並請救亡劇團演唱歌曲
page 6	蘇聯艦隊或將來港觀光星期六日可抵馬尼拉本港未接得正式通知
page 6	黃花崗昨晚正式公演
page 7	台維斯杯網球賽第一週明日開始中法之戰已定十八日起在巴黎舉行貝脫拉不參加我可望必勝
page 7	全英硬地網球蔡惠全晋入第三週
page 7	昨日足球友誼賽南華擊退堅脫結果三比一張金海演出不弱
page 7	全澳選手隊週末來港與東方一較高下
page 7	公開網球今日雙打半決賽
page 7	公開籃球戰況激烈東方敗于星島結果四七比四十全局犯規纍纍
page 7	港菲埠際賽失敗經過
page 7	菲島來鴻論敗北原因
