page 2	社評日本新內閣的正體
page 3	蔣委員長關懷僑胞大局形勢遠勝去年我游擊部隊在冰雪中創Ｘ
page 3	湘贛方面我游擊隊活躍
page 3	晉南方面Ｘ進犯屢受挫
page 3	鰲頭戰役我軍民澈底合作Ｘ人狼狽脫重圍
page 3	傅主席佈告曾在綏城發現民眾興奮異常
page 3	浦東的遊擊戰傅逆計劃完全失敗
page 3	粵籍中委電中央處置汪光銘國人正再接厲不應發和平謬說
page 3	滬偽組織向攤販收捐偽稽征員三人被拘租界態度轉趨強硬
page 3	美對華借款傳遍北平均欣欣然有喜色
page 3	饒神甫今日由渝飛港
page 3	英報力促政府勿放過援華機會張伯倫首相與西門談話研究對日實行報復問題
page 3	偽冀省府擬由津遷保
page 3	陝省黨部在榆林設指委會
page 3	滬英商會長備受國內讚揚
page 3	我駐外三大使發宣言闢謠痛斥日方行動之愚笨表現其處境益感困難
page 3	滬慘殺案去年全年統計
page 3	最後消息Ｘ相平沼廣播詞自承前途滿佈荊棘
page 4	美新預算案提出國防經費激增明年增築兩生力艦張伯響應甸演詞
page 4	英國歡迎對羅氏一致讚美
page 4	德國不安別具作用之自擾
page 4	平沼與近衛會談對侵華政策意見一致遵守Ｘ御前會議方針
page 4	法揆達拉第赴阿爾及爾電告總統突尼斯效忠阿拉伯酋長表示擁法
page 4	丹納粹黨半秘密文件通德政府將禁止活動
page 4	一段小史料去年巴納號案發生後美海部曾擬對日開戰
page 4	英首相外相聘義任務重要行前準備頗形周密談話範圍議題甚廣
page 4	波外長柏克渴希特勒談話討論有關兩國之問題並證明兩國維持友好
page 4	前美駐德大使輾傷黑女被控賠償五萬元
page 4	白烏與大鳥舉行重要談話將會見其他外交人員
page 4	英國將延長空軍服役內閣國會提出議案三月之內補足飛行員
page 4	羅馬教皇十三日延見英首相
page 4	西戰異常激烈叛軍佔波查白朗加英外相查究被誣事件
page 4	羅斯福任命弗朗克福繼任最高法院推事平素主張自由主義
page 4	英新政黨露出不穩徵象壽命不能持久
page 4	美駐日大使格魯返國
page 4	諾曼沙赫特聯袂前往瑞士
page 4	美救濟失業
page 4	僑胞得了安慰
page 4	張伯倫的努力
page 5	西犯不逞四出蹂躪Ｘ騎再陷陳村沙灣吳芹部團隊巷戰後撤出陳村沙灣守軍屢起迎擊彈盡始退
page 5	岐關車連日失事中委程天固赴澳門時受傷麻子橋墜車輕重傷十餘人
page 5	港學賑會在澳發售紅十字章第一日得款六百餘元
page 5	中央積極發展西南交通計劃完成各省鐵路網
page 5	李漢魂等電促鄧龍光
page 5	Ｘ兵如流寇勒流墟再遭洗劫鶴山Ｘ增兵學憲台沙灣激戰詳情未悉
page 5	監守自盜潮海攔劫案破獲馬娘塔串匪圖朋分偵緝隊潮汕擒賊黨
page 5	第四戰區強化游擊團隊從新組織編制
page 5	吳鐵城發表告別粵省父老書
page 5	潮安賣花慰勞
page 5	中山中學開課
page 5	曲江防空禁例
page 6	一元還債運動各僑團熱烈響應華商會函各名流募捐教聯會領導學生參加
page 6	羅斯福總統演說本港清晰可聞
page 6	防空專員昨再談港防空五大工作擬建築防空壕三四百處使居民各有毒面具一副
page 6	本港廣播今晚繼續播送聽眾自選音樂
page 6	名國際問題專家鄧列德教授抵港二十二年舊地重遊香港中國盡改舊觀
page 6	清華同學會昨晚成立
page 6	港當局關懷難民在新界建大葵棚苟邊境發生戰事俾得棲留賑聯會難民遷移日期變動
page 6	格拉薩赴滬檢閱英駐軍事畢赴津巡視
page 6	港婦女慰勞會拒絕非法籌欵對大觀被控案異常注意開審時派律師代表旁聽
page 6	港九存水總量大減
page 7	今日甲組足球賽東方重逢香港會下午四時起在香港會場交綏
page 7	今天足球共十六場
page 7	滬國際盃足球賽華聯奏凱歌淘汰英格蘭結果三比一
page 7	勃琪再勝梵恩斯
page 7	孤島一年來體育回顧錄
page 7	甲組聯賽目下形勢
page 7	孫鐵腿扳成平手
page 7	今晚女子籃球賽梅芳對抗華僑雙方工力悉敵行將展開激戰
page 7	籃球裁判會定期開同人會
page 7	外匯牌價無變更英匯沉寂美匯略淡申匯穩靜成交頗多
page 7	八九金市再略鬆弛較前又降三毫八仙
page 7	米市暢銷價格亦見高漲
page 7	桐油市況堅穩
page 7	本週股票市況呈現蓬勃新氣象改變方式採取板上貿易各種低價股票價多高漲
