page 2	社評日本重工業技術的貧乏
page 3	美國務卿鄭重表示對日政策並無變更羅斯福所提軸心日本當然在內美決繼續維持援助中英政策
page 3	松岡又發談話謂日決遵守三國盟約
page 3	日本報紙繼續恫嚇荷印泰對日考察團不重視
page 3	合川縣獻機三架昨舉行命名典禮陳慶雲氏代表蔣委員長訓詞盼全國二千架捐獻早日完成
page 3	日本國債近三百萬萬圓
page 3	荷印人士嚴加駁斥
page 3	緬甸前任財長巴蒂違法被捕
page 3	財政會議積極籌備中
page 3	端節勞軍國內各地熱烈舉行
page 3	上海端節商場平安度過
page 3	班禪轉世靈兒在康北尋獲
page 3	十八集團軍決遵令參加作戰晉南戰事有利進展中
page 3	紐約時裝盛行中國式樣
page 3	福克斯過檀來華
page 3	滬囤積棉紗達三千萬件
page 4	克裏特島危殆大批義軍在島上登陸德國傘兵增至三萬人
page 4	美大西洋艦隊大規模活動以履行援英之諾言美報敦促迅速援助中英兩國
page 4	美議員提出信任總統案總統應為全國信賴
page 4	英德海戰餘聞荷德號官員僅三人生還德海軍百餘人皆成俘虜
page 4	英國甚願印人治印第豐夏公爵之言
page 4	蓉城郊外淺水秧田間看日機殘骸訪問成都擊落日機部隊
page 4	雪梨舉行初次燈火管制演習成績完滿
page 4	蘇海軍機關報評大西洋之戰
page 4	伊位克英軍迫近巴格達英機運印兵赴前線增援
page 4	美洲小麥生產過剩美擬召集當事國在美京舉行會議
page 4	英外相在眾院泛述作戰目標引述美總統提出之四種自由對於政治問題未論及
page 4	國內國外政策社會安全為首
page 4	倫敦各報評論大致表示好感
page 4	英美討論戰爭目的
page 4	徵用外輪案美參院已通過該案已移交白宮簽署法輪諾曼第亦被徵用
page 4	建築中之美航海輪隻共八百五十一艘
page 4	美當局逮捕駐美納粹領袖在南美旅行後潛入美境德使館發表公報猶圖狡辯
page 4	增進運輸效率
page 4	美內政部倡議試行戰時生活利用陽光節省電油
page 4	土將派代表赴美購械土準備恢復對希貿易
page 5	粵省三十年度高普檢定考試定七月十五日起舉行三天下月五日開始報名
page 5	中農土地金融處舉辦長期農業信用放款並將發行土地債券
page 5	杜聿明在星談我國抵戰偉績
page 5	崐崙關上大破日勁旅
page 5	四年以來抗戰之偉績
page 5	馬來亞霹靂區我將設立領署中英政府協商圓滿
page 5	我總反攻積極準備中
page 5	內地民用空運實行統一檢查乘客須審查認可方准購票
page 5	省府整理稅捐裁減四邑苛雜重複抽收者一律撤消
page 5	馬來亞實力增強足以抵禦敵人進攻新任陸軍總司令已抵星
page 5	三埠運到大批輔幣
page 6	穀米官營宣布展期改下月十六日開始官營局限期呈報存米
page 6	新副按察快司公布改良民事訴訟秩序律師公會業已表示同意三項新辦法定今日開始
page 6	浩和小輪被擠覆沒幸無傷斃人命
page 6	昨端陽節鍾聲社游泳場舉行龍舟競賽各官員商紳均蒞臨觀眾過多浮橋貨塌
page 6	海防來港四旅客攜煙土萬餘元被拘重七百餘兩藏九皮包內被判罰款共五千五百元
page 6	港大昨晚舉行頒給學位典禮得學士位五十七人碩士二人校長羅富國昨親臨主持
page 6	李子方提議建大會堂供僑胞集會之用計劃集款百萬元
page 6	港府為戰時需要統制全港汽車營業汽車奉命進行登記分作車用消防救傷等用
page 6	衞生局討論小販問題周錫年提出質問拘捕小販之權限
page 6	醫務監督勸諭居民嚴防霍亂症舉出七項食品須加禁戒設立免費注射處二十所
page 6	職業界聯合組織勸募戰時公債總隊下月七日起至七月七日募債按參加團體分為各小隊
page 6	當局謀發展新界農業增加糧食供給日內召集農業專家討論調難民營難民前往耕作
page 6	戰稅局長表示戰稅三週後七式徵按港督建議新稅率徵收日內立法局通過後施行
page 7	棒球聯賽開鑼戲港啤戰岷甸奴昨晚截止報名計有七隊參加首兩週秩序已正式公布
page 7	全港中學籃球賽思思壓倒香島初級賽漢華勇克香江
page 7	德當局正式表示希墨林尚在人間
page 7	排球運動要訣
page 7	中青組水球隊
page 7	居聯會水藝會獎品假先施陳列
page 7	培英鼎乒乓賽華南華挫陶英學欽寄自澳門
page 7	游泳對抗勵進團今晚戰西青
page 7	南華足球隊抵星受各方歡迎領隊秘書發表談話
page 7	國幣市靜昨日無成交
