page 2	社評日本的病症
page 3	美國加緊出口統制禁運範圍益見擴大羅斯福總統已返抵華盛頓
page 3	外部發表聲明歡迎英美宣言我正不斷努力完成應負責任消滅世界侵略首須擊破日本
page 3	英相抵倫敦將廣播報告會談經過並親自監督援蘇事務
page 3	日本石油恐慌
page 3	泰越劃界改期開會
page 3	德夫古柏在紐約廣播促英美人民更密切合作美名女記者在英國廣播
page 3	日擬撤退留美日僑
page 3	美政府加遠履行援蘇保證飛機大砲及軍用物資用最速方法運赴蘇聯
page 3	英蘇兩國成立信用貸款協定兩國擴大原料交易英國貨蘇一千萬鎊
page 3	歷史性之一幕英美會談之影片已運抵倫敦放映
page 3	美國防工業有飛躍進展
page 3	曼谷成為浪人世界
page 4	南路德軍攻勢猛烈紅軍退出兩城列寧格勒防務鞏固
page 4	傳納粹新攻勢交向北路展開
page 4	南非聯邦總理飛抵開羅商增加非兵源問題
page 4	傳德向伊朗要求獲得空軍根據地
page 4	英空軍出擊轟炸西西里等處
page 4	鄂中我積極掃蕩豫南敵歸路截斷
page 4	美國無限緊爭時期的賦稅與凱衍斯計劃五
page 4	達蘭又赴巴黎與德方有所接洽譚志仍被英囚禁
page 4	法幣匯價飛漲滬市場受波動竟陷於混亂匯豐等銀行恢復買賣外匯
page 4	外匯管理委會業經正式成立
page 4	中樞紀念週蔣委長親自出席
page 4	敵機襲閩美國教會中彈
page 4	南京韶關殺案滬曾傳汪逆被刺
page 4	星洲僑胞匯款須由四行承辦
page 5	美國大批戰鬥機保護滇緬路運輸並加強中國空軍力量阻遏日軍向西方侵略
page 5	滬租界曾加緊戒備宵禁澈底執行各國駐軍及商團均出動西區一帶搜查尤為嚴厲
page 5	粵省的國民教育上
page 5	植物油料在桂暢銷
page 5	南路局勢目前尚安定敵機艦滋擾之下我方已嚴加防範
page 5	粵省嚴禁定購稻穀
page 5	韶關徵收營業稅首期成績美滿上月底止已逾二十萬元少數商人取巧被拘究辦
page 5	我國合作金庫發展概況遍佈十二省三六十六縣
page 5	韶南門機場開闢體育場
page 5	V字勝利運動已擴展至上海同時復流行幸福聯鎖
page 5	日方控制廣州灣海道運輸受監視旅客所帶行李迭遭扣留西營車輛入夜禁止通行
page 6	港國幣昨晨猛漲市價有仍繼續上漲之勢貝祖貽席德懋等飛抵港
page 6	港府鹹魚醃製即可落成啟用魚倉可藏鹹魚萬餘擔足供居民一二月之用
page 6	特務警察首批學員昨日入學受訓羅棟勳陸靄雲到場訓話當局嚴限其他步隊參加
page 6	指粉燕窩等建議禁止入口經濟委會討論
page 6	廣州澳門蔬菜源源運港應市連日菜價回跌三分之一油蔴地售菜站廿一開市
page 6	旅港日僑婦孺續有兩批撤退現留港者僅得三百餘人
page 6	港嚴密限制貨物資日
page 6	港美總領修特談美僑無意撤退留港美僑約減四分之一格拉第下月中過港視察
page 6	黃炎培由陪都飛抵港日內赴菲募債
page 6	港大中文學院主任傳由陳受頤繼任陳現在檀香山大學任教前曾任國內各大學教授
page 6	警察研究改善交通管理並擬設禁聲區
page 6	科文再向美廣播港人仍似鴕鳥軍人民眾防衛部隊甚佳對各方面均有嚴密準備
page 6	世界勞工大會港派代表出席
page 6	美頒防第五縱隊新例赴美者受阻滯入口或過境者須先獲得在美兩殷實人士之擔保
page 7	中西男女游泳賽今天開始報名下月廿五日起在域多利上演增加男女節目共八項
page 7	星東足球征澳隊明晨可抵港全隊昨晨抵達馬尼拉蕭軍需來電報告
page 7	鎮和足球賽今午開會議
page 7	樂斯杯居聯戰黑貓初級育賢對電青
page 7	粵救護會游藝會昨夜功德圓滿收入成績頗佳國幣二萬餘元劉景清主持閉幕禮
page 7	鐵城杯賽華僑中青大勝
page 7	卓雄杯賽同義戰馬祿臣香港小型足球聯會主辦
page 7	廣州大學週末開同樂會
page 7	渡海泳報名者甚眾
page 7	聖約瑟隊加強戰陣
page 7	星足球錦標賽華人贏高登上場華人先以三比零占上風下場一比一同登已回天乏術
page 7	寫在南華會會員大會前
page 7	外匯已恢復國幣狂漲最高價一八五
page 7	股票市況靈活買賣範圍廣大股價趨漲昨日成交總值七萬餘元
page 7	外匯牌價申匯猛縮英匯美匯依然靜寂
