page 2	社評日本府的新聲明
page 3	北江將展開大戰西江各地情勢仍緊張踞鄂Ｘ軍分三路南犯
page 3	廣州浩劫到處大火充滿恐怖殘留同胞受盡苦痛
page 3	蔣委員長電慰僑胞僑務委會亦通電海外望繼續努力贊助中央
page 3	粵省政府分區設辦事處吳主席連日出巡各地
page 3	蔣委員長電覆川省長官
page 3	日政府昨發宣言對侵華戰爭仍無悔意近衛昨演說欺惑世界
page 3	滇西考察團昨日由昆明出發分南北兩組考察
page 3	日機襲桐柏炸斃美幼女
page 3	滬Ｘ建設花會聽筒無知民眾受害極深浦東游擊隊又活躍
page 3	滬各公團電參政會擁護領袖抗戰到底滬茶商情改善茶銷
page 3	胡大使
page 3	日本財源已竭濫發軍用票充當軍費在華使用破壞我經濟
page 3	西南聯合大學不教職員等
page 3	孔院長出席高級師範會議
page 3	美駐漢總領要求日軍撤出教會
page 3	張強梁上棟在贛考察被炸傷
page 3	日與國聯斷絕關係
page 3	何登夫人離滇返英時談話
page 3	滬傀儡醜態開會慶祝日明治節
page 3	英使過滇時曾與龍主席作談話
page 3	Ｘ艦隊司令否認在福州登陸
page 3	參會通過外交報告
page 3	國民參政會對財政重要決議設計委會審查外匯貿易通過確立戰時新聞政策
page 4	格林伍德指摘首相外交政策援助中國方法在考慮中英日談判或移倫敦舉行
page 4	日本商店聰明營業辦法
page 4	義駐外使節將有重要更動
page 4	英眾議院通過英義協定生效案張伯倫今後所採取步驟將為對德進一步之談判
page 4	英國防問題參議員曾提質問
page 4	滬外報ＸＸ張伯倫夢想日本擬獨吞中國絕不容英美染指
page 4	英報建議對日施壓力英國未能與美合作乃一可驚異之事件
page 4	德義兩國外長劃定捷匈外長劃定捷匈新邊界維也納仲裁會議結束匈獲取一萬方里領域
page 4	德義對西班牙無領土野心張伯倫如此看法
page 4	美國輿論痛斥日獨覇東亞宣言認美在中國固有之權利絕不受任何方面之侵犯
page 4	英倫之透視
page 4	國際運輸工人大會我代表要求援助提出對付X日辦法由秘密會議中討論
page 4	自力更生
page 4	日人的ＸＸ
page 4	英義協定生效
page 5	浙東我軍嚴陣以待封鎖溫州甌江口外輪駛往溫州改在磐石停泊上落溫台防守司令奉命本月一日實行寗波禁止船雙出入滬漢水陸聯運已停
page 5	澳門中表救護團第二屆學員畢業
page 5	岐關公路改夜間行車
page 5	長江航線將展拓至南京
page 5	川省擁護抗戰王主席召治安當局訓話人力財力全體貢獻國家
page 5	Ｘ機肆虐石岐市區逃難澳門者更眾昨有二十名被收容
page 5	順德縣府職員談警隊抗戰極英勇Ｘ犯大良目的在掠湘米我退連村憑河與Ｘ對峙
page 5	南洋華僑關心粵戰及和平謠傳陳嘉庚電蔣汪詢問
page 5	重慶防空大隧道
page 5	從北平到貴陽
page 5	崖縣捐款助學
page 5	儋縣繳慰勞袋
page 5	新會Ｘ機投彈
page 5	澳門匪搶賭客
page 5	陽江嚴禁造謠
page 6	義勇軍昨演習野戰港消防隊擧行大操警局夜間派隊巡邏搜查鯉魚門高射砲實彈射擊
page 6	中航公司增設昆明河內線赴渝乘帝航法航機接駁汎美機將恢復澳門降落
page 6	越南司機歸國服務團江團長一篇可泣可歌的談話
page 6	宏興鷓鴣萊耑治小兒百病服後轉弱為強
page 6	本港藥材來源短缺漲價十倍
page 6	英賑華港分會擧行首次會議輔政司談將討論難民救濟辦法港督將參加
page 6	緊急難民救濟會擬舉辦難民學校營中難童亟應施行教育校具用品切望各界捐輸
page 6	東方雜誌遷港出版各刊物亦擬恢復
page 6	粵海關職員一部尚留省粵漢關員不受偽命
page 6	中央當局再通告公務員返回內地非有特殊任務不得留港
page 6	我救傷飛機昨離港飛湘因氣候惡劣折回
page 6	中國婦女會演出西廂籌得約九千元
page 6	閩救難會協助兒童劇團擬演劇為該團籌款
page 6	駕帆船由港往三藩市參加美博覽會
page 6	僑港新會人士關懷桑梓協助組織自衛團
page 6	武漢合唱團今日再公演
page 7	本年度世界網球男女十傑之分析勃魯維區名列第二衆意所屬馬迪夫人重新躍登女皇寶座
page 7	美網球女將被聘訪澳瑪博與邦蒂二人
page 7	東華會輕取震旦西福斯敗于法商
page 7	雛鳳啄米論
page 7	學界籃球華大昨勝港大
page 7	楊水益被控虐妻
page 7	外匯牌價仍無變動英匯美匯市均呆滯申匯愈淡買賣稀微
page 7	股票市略形沉寂買戶胃呆市氣鬆弛勢顯疲軟成交頗少投機者注意於小呂宋股票
page 7	英金堅穩
page 7	日方強制搜買食糧滬麥缺乏粉廠減工
page 7	桂省嚴令實行冬耕冬耕可使害虫死亡稻作豐長
page 7	八九金市仍形不振開價盤旋微跌半仙
