page 2	讀蔣委員長文日通電
page 3	兵役實施進行順利鄱陽湖畔形勢緊張Ｘ軍在屏風山北企圖登陸鄂中我軍疊克復重要據點
page 3	晉境我軍捷報
page 3	某主任談持久戰前途謂我已奠定勝利基礎
page 3	浙閩臨時參議會參議員選定國府昨日明令發表
page 3	浙Ｘ新企圖特編就三掃蕩隊我將予以嚴重打擊
page 3	壯丁請纓各地風起雲湧
page 3	滬工部局否認引渡華人
page 3	倫敦方面注視華北偽幣行使認為日方強迫政策
page 3	戴季陶有任川主席說
page 3	津租界封鎖日方詞詞奪理
page 3	襄樊各界勞軍團工作成績良好一行中外三十三人
page 3	滬郊槍聲川沙被我包圍
page 3	救濟難民政府設三十墾區將收容六十萬人
page 3	高級郵務員特別考試
page 3	函館大火焚斃十五人
page 4	捷局勢愈緊張斯洛伐克新總理演說竟主張建立獨立國家
page 4	德人暗中鼓動反捷
page 4	英報揭破德國陰謀
page 4	波外長主張捷喀省與匈合併波蘇邦交已恢復正常殖民地要求相機提出
page 4	英主力艦隊將稱霸世界新造艦程序全部完成後共擁有主力艦二十五艘
page 4	併奧一周年回憶驚心的一幕下舒斯尼格是怎樣屈服的
page 4	瑪德里平靖共黨領袖俱降服市面交通即恢復
page 4	英相新理想在倫敦召集和平會議德國亦聲言亟需和平
page 4	Ｘ貴族院通過軍事追加預算總額四十六萬五百萬圓
page 4	新教皇加冕禮莊嚴隆重情況熱烈四十國派專使參加
page 4	蘇日漁約有田謁平沼商討
page 4	法空軍演習結果甚為圓滿
page 4	Ｘ人的窮困
page 5	中山豐收仍鬧米荒當局重申出口禁令縣府決定救濟辦法七項隣縣採購須有縣長證明
page 5	粵第一游擊區照案改組李福林改任正司令
page 5	梧州當局奉令破壞浮橋飛機場大隊快艇增防西江
page 5	閩監犯五十三名悔罪報國
page 5	川新教廳長郭有守飛抵成都視事
page 5	粵八區專員交替鄧世增日前就職
page 5	從海南島逃出來上海口現狀之一斑
page 5	恩平專員視察
page 6	港九教育界響應國民精神總動員各校決於下月起實行華商總會亦準備遵辦
page 6	中山僑商昨商討救濟米荒辦法已推出負責人辦理平糶款項由濟難會商會擔任
page 6	嶺南大學概況民廿七年九月至廿八年二月
page 6	本港各水塘水量愈減水務局昨日公佈
page 6	國人赴暹須知暹政府增入境居留費并不許患痧眼者入境
page 6	防空展覽參觀人數萬五千人
page 6	藝華巨片楚霸王
page 6	迫遷之新花樣延不收租屆期封屋驅人遇此種情事可呈告臬署
page 7	國際盃足球半決賽英格蘭人選決定起用乙組人材準備迎戰中華比賽改定星期日在嘉山舉行
page 7	東方會足球隊月底遠征越南曹秋亭許文奎加入助陣
page 7	甲組足球聯賽明天兩場東方再逢光華當有一番激戰
page 7	富麗的英國體育界年納稅金一百萬鎊
page 7	金錢的魔力克拉姆有意下海
page 7	職業綱球勃琪兩勝潘雷
page 7	昨晚公開男子籃球賽南華力克鍾聲結果四九比四五局勢極緊湊乙組春草勝大中相差僅一分
page 7	連日陰雨綿綿網球停賽今天如何仍須問天
page 7	黑人勃理根創新紀錄室內一千碼競賽再度壓倒克銀漢
