page 2	懇勸第十八集團軍
page 3	前線蘇軍大舉反攻納粹攻勢又遭重創
page 3	歐洲熱烈響應字運動法荷比捷長旗飄揚德受威脅冀圖破壞
page 3	列寧格勒防禦系統堅強納粹承認無法威脅莫斯科德軍後方蘇游擊隊極活躍
page 3	平準匯市的幾點基本認識
page 3	墨索里尼幾成槍下鬼被人行刺不中傳係義國反德團體所為
page 3	自由德人領袖論英新神經戰
page 3	英機在西歐已獲得制空權轟炸歐陸如入無人之境
page 3	蘇聯調整機構加強抗戰力量
page 3	德國企圖佔領韃靼納爾海峽一面集中軍隊一面製造傀儡
page 3	華維爾曾赴蘇聯協商防衛計劃義報如是傳稱
page 3	美戰機生產已大見成郊雙引擎轟炸機增加一倍飛行保壘數量即可增進
page 3	羅馬教皇身體違和因努力和平運動所致
page 3	英新式坦克車裝有重甲及強有力大砲定名為邱吉爾式坦克
page 4	鄂東發生激戰敵犯廣濟被我擊退
page 4	日輿論界自承外交重重困難駐外使節或將全體辭職
page 4	後方交通工具自造興發明先後不下數十種設分廠加工出貨
page 4	美國大西洋艦隊二
page 4	我新聞界人士電唁馬丁夫人
page 4	軍委會發表電朱德經過盼撤回原防免生誤會俾團結協力一致對敵
page 4	田賦改徵實物川省擬定辦法中樞發表告川耆紳書盼協力擁護完成任務
page 4	中國民眾意志堅定中共問題應易解決美國對最近事件不過分重視
page 4	東京水災民房被浸六千餘所
page 4	南非日僑準備撤退
page 4	不獲通過巴拿馬日輪繞道返國美輪仍可通行無阻
page 4	黨政視察團督導全國黨政實施分六組將自渝出發
page 4	英閣局部改組情報長德夫古柏駐遠東外次伯特勒調任教育部長內閣財政秘書勞氏任外次
page 4	板垣赴鮮
page 4	敵窘狀一斑公私慶弔電報一律禁止拍發
page 4	中條山西各縣行政均告恢復
page 4	越南局勢仍緊張外傳日曾提最後通牒維希不承認亦不否認
page 4	美延長兵役案總統已擬就咨文再敦促國會通過
page 4	豫發展民教
page 4	荷印討論戰後政治地位將成一半獨立或自治領
page 4	墨索里尼遇刺
page 4	克利浦斯電謝郭外長
page 4	美印互派外交代表
page 4	美贈我藥物又一批抵滬
page 5	李漢魂發表告各節儲團長書躬行節約造成儉樸風氣取締奢侈培養國民經濟
page 5	國粹與國學七
page 5	曲江小本貸款處優待抗屬貸款各縣貸款處紛紛成立
page 5	田賦改徵實物實施辦法草案
page 5	粵省定今年起田賦改徵實物省參會請求酌量減輕
page 5	教部恢復登記戰區赴渝學生就學與擇業均規定辦法粵教職工廳昨轉頒所屬知照
page 5	第四年抗戰經過四
page 6	燈火管制第一晚一切進行尚順利本報記者市區巡視報告
page 6	海陸空軍大演習大軍握守各要區義勇隊正規軍並肩作戰聖約翰救傷隊隨軍服務
page 6	救濟我殘廢軍民昨開徵募大會中外官紳名流冠蓋雲集港督出席致辭呼籲捐輸
page 6	祖國戰時旅行事業唐渭濱昨在九龍青年會演講下
page 6	士蔑西報發表投函質問官營米局嚴厲抨擊統制穀米辦法並請發表辦米成本利潤
page 6	防癆醫院即將興建院址將在瑪利醫院附近經費現已募得五萬餘元
page 6	中國製片廠無意在港設廠羅靜予昨否認
page 6	航空建設協會在港籌設分會由陳慶雲氏負責籌劃中約於九月間可組織成立
page 6	中山大學今日報名招生
page 6	入境事務局職員被拘因有勒索嫌疑
page 7	梁焯雲辭意打銷南華轉呈生氣一人去留關係大局要緊謝錦洪等投奔光華尚未證實
page 7	馬來亞杯足球賽空軍勝陸軍聯絡佳妙三比一得利陸軍前鋒射門術太差
page 7	美路杯賽華聲成績最佳
page 7	韶關總裁杯賽各項球類檢討
page 7	睡眠和康健
page 7	卓雄杯今日有兩戰
page 7	北馬足球大戰檳城和雪蘭莪
page 7	韶總裁杯賽保安勝建廳
page 7	夏籃初級決戰團結出兵迎鬥金銀隊
page 7	外匯牌價俱無變更美匯沉靜申匯微淡
page 7	國幣市況略趨下游
page 7	四四金沉寂
page 7	股票市況靜穩成交不多股權價有回跌之虞
