page 1	社評物價與幣制
page 2	開封激戰機場一度失守國軍增援部隊兼程疾進
page 2	立院會議一場鬧劇為秘書長問題會場大混亂孫科一怒之下幾乎要退席
page 2	女立委登台大叫秘書長忽視立委福利對房子問題不負責任
page 2	上海通訊上海工業目前的地位特徵和趨勢
page 2	為了福利問題豈能罷免秘書長
page 2	有關財政金融提案一共三件
page 2	軍事檢討會月底在京舉行
page 2	物價高漲如何是好立委們沒想出具體辦法
page 2	怎樣開徵財產稅王雲五著手研究
page 2	答覆孫科談話盟總當局盛氣淩人強調扶植日本是為反蘇又說美國花錢養中國人
page 2	賽鮑爾狡辯他說日本警察並不太多麥克阿瑟有權武裝他們
page 2	反對美國扶日昆明學生遊行滬江學生抗議司徒聲明
page 2	粵省參會大會揭幕宋子文派鄧龍光出席致辭大會定今晨選舉正副議長
page 2	白崇禧不堅辭日內赴漢履新
page 2	京衛戍總部設三綏靖分區
page 2	恐怖的重慶防止搶米楊森濫殺二十三人將被槍決
page 2	川名山縣大火全城付之一炬兩萬人無家可歸
page 2	監察法草案昨審查完畢
page 2	龐德等抵杭
page 2	赴美飛機票價仍用國幣支付半數付美金說不確
page 2	生活指數算得太低京公務員很不滿意
page 2	粵省堤圍多處崩缺蘆苞水閘危在旦夕四邑山洪暴發屋塌艇沉北江水位仍在繼續上漲
page 2	中央駐粵機關有備質詢義務參會電政院請求
page 2	撥款救災宋子文電水災會撥款
page 2	美援協定仍在談判中國同意美方有權監督史蒂爾曼等昨飛抵漢口美財政當局否認替中國鑄銀幣
page 3	西德開始實行改革幣制蘇仍堅持應由四國商決傳英美法將與蘇舉行會談
page 3	倫敦工潮擴大罷工人數增至一萬五千價值千萬鎊物資無人運
page 3	法工人向政府挑戰總工會下令全國總罷工傳許曼將改組聯合內閣
page 3	馬來亞在動盪不安中
page 3	貝文告訴議會英緬關係未變
page 3	美巡洋艦三艘訪問那不勒斯
page 3	國際勞工會議在舊金山開幕
page 3	美共和黨布置競選開始起草競選總統政網范登堡將支持杜威提名
page 3	為了整軍經武美參院撥款無吝色通過撥六十餘億給陸軍部對原子委會撥款亦將決定
page 3	新德裏通信印度的土邦續完
page 3	美罪案激增去年創新紀錄
page 3	英對印尼何不義竟又承認荷蘭的主權無異取消承認共和國
page 3	馬來風聲鶴唳全聯邦各地宣布戒嚴大城市增強軍警實力
page 3	與日恢復貿易菲政府研究中
page 3	調解阿猶紛爭將有新的建議調解專員計劃圓滑辦法
page 3	日人再接再勵又赴南極捕鯨盟總宣布已予批准
page 3	蘆田歌頌盟國政策說給予援助實在寬大仁慈叫人民應該感激不應反對
page 3	日船隻日增麥帥批准添建廿三艘
page 3	中國鈔票一新用途美戲院仿製作廣告我領事抗議後纔停止派贈
page 3	空談友誼沒有用菲總統面臨考驗即須決定是否簽署菲化案我公使將與作第三度會商
page 3	美大兵在菲島生下五千嬰兒義神童在英倫吸引一萬廳眾
page 3	挾帶鑽石菲婦人被扣留出賣咖啡日知縣吃官司
page 3	鑾披汶親善姿態口口聲聲保證對華僑友善說封閉僑校不是他的政策
page 4	反對扶植日本工業僑團今天舉行大會廠商聯會發表告廠商書
page 4	日貨橫掃市場本港產品銷路受阻
page 4	革新派控訴失敗後準備組中華總商會並函華商會請退會費及基金 
page 4	新理監事名單華商會即公布
page 4	關於償債法例許讓成有意見
page 4	港九工聯聯誼會討論反扶日問題
page 4	中英邊界關站將建堅強哨所
page 4	東華三院新人選出主席林厚德首總理周湛光蔡星南廿二日辦理交接
page 4	廣九路明天起加開貨車
page 4	冒用支票案移高庭定讞
page 4	本港建築物成本當局正設法減低建築調委會將有所建議現行建築則例或將修改
page 4	聖約翰救傷隊徵求志願輸血已有五十人報名
page 4	軍塢工友希望補發戰時薪
page 4	橡膠公司賺錢去年產量二百萬磅獲利九萬四千餘元
page 4	偽支票換真鑽石案被告三人昨天同時受審
page 4	茄殊文幫辦述該案經過
page 4	工展代表團今日可返港
page 4	冤家偏路狹法網竟難逃
page 4	宋子文電港僑商勸募兒童救濟金募捐額國幣二十億元
page 4	蔴包運死豬四苦力被判入獄
page 4	汽車撞樹四姊妹受傷
page 4	走得太快貨車翻身
page 4	滬煙商代表來港看行情
page 4	有汽車的注意汽車牌照廿一起更換
page 4	無主男屍警局招人認領
page 4	自討苦吃老婆自己撞破頭再告丈夫要謀殺
page 5	國幣價值低落僑匯數額日見減少星馬民信局營業衰退中前途堪虞五月份星馬僑匯百十五萬五千九百餘叻元
page 5	銀根緊俏聲中金融市場跌風彌漫黃金美匯緩緩下游滬結匯證書漲破百萬元大關
page 5	滬金鈔上漲百分之廿五港申匯下降百分之二十
page 5	輸管會華南工作團議決輸出輸入事項桐油豬鬃照國外市價折合港幣結匯五季配額即公布工業配額依原辦法
page 5	港四月出口桐油美國是最大主顧佔總數百分之七六
page 5	沒落中的閩茶廈門特約通訊
page 5	武漢行情紊亂異常
page 5	提高黃金價格美國南非否認
page 5	滬進出口貿易協會建議輸入許可證期限應予以規定結匯證市價按指數調整
page 5	華北現鈔續南來津要求開放申匯滬行局差進銀根仍鬆
page 5	粵行總經理赴澳商沙田稅款駁匯新結匯辦法澳未施行
page 5	新結匯辦法實施後僑匯尚難樂觀粵省上半年僅千億元
page 5	金市疲滯去息角二
page 5	英國正考慮貸款英鎊區便利貨物輸日 
page 5	郵政儲匯局召開業務會預定十九日閉幕
page 5	防止游資南來制止物價上漲官方人士如是主張
page 5	滬紗布股票揚穗米麵紗堅挺汕廈金鈔步升
page 5	穗結匯證未有成交津結匯證成交一批
page 6	提高研究生補助費本月起加四十萬元各研究所經費亦追加蓉國民教師改善待遇
page 6	各大學招生辦法
page 6	英集中專門人才佈置世運會會場
page 6	海軍軍官機械學校開始在粵招生
page 6	昨夕籃球頒獎賽保羅打敗仗成績三十比卅三尖沙咀反敗為勝
page 6	從黑白來港看香港籃球
page 6	公開籃球賽今天三場角逐
page 6	有組織有訓練可能迎頭趕上
page 6	一千個美國人美國真正的統治者
page 6	世運足球賽抽籤中國首戰土耳其
page 6	滬網球界籌組全國性網球機構準備建築大規模會所
page 6	世運籃球隊在滬首戰勝東星五七比四二演出平平
page 6	華人足球裁判會昨天會議
page 6	劍橋主辦畢業會考
page 7	狂風暴雨猛襲新會江門等地盡成澤國受災農田達三十七萬畝
page 7	山洪淹壞了作物早晚造都成問題
page 7	惠陽一樣苦雨水漲米價也漲
page 7	二百餘人無證由汕赴暹到岸被擋駕仍將回原處
page 7	不吃飯的上海小姐張黛琳訪問記九年以來就沒沾過一粒米只吃香蕉愛抽上好的香烟
page 7	個牲孤僻要吸新鮮空氣愛電影愛音樂
page 7	赤膊上街有傷風化汕頭要取締
page 7	駭人米價大埔米價狂漲每石逼兩千萬
page 7	黔省湄潭議長被殺兇手就捕後供係為人收買
page 7	廈門百年積毒專機送上南京晉江傳有日貨走私機構
page 7	廈門市三害為患劉建緒感慨言之
