page 2	社評Ｘ軍進犯汕頭
page 3	Ｘ軍昨在汕頭登陸戰事正猛烈展開中我軍堅強抵抗予Ｘ重創汕頭市已發生激烈巷戰
page 3	Ｘ侵大嶼嵩嶼我軍猛擊
page 3	英美僑商重視Ｘ犯汕頭希望派艦保護
page 3	天津總領事向日提強硬要求英政界認時局嚴重華北擴展反運動
page 3	被遺忘的人們一擺夷山頭橫堅都是農奴本報記者滇緬視察記三
page 3	英外相報告天津現局勢謂英日談判尚未絕望與美法政府密切接觸
page 3	張伯倫答覆津事件質問克萊琪有田進行交涉日態度尚未未完全明瞭
page 3	法報勸美國勿放棄遠東應以歐戰時英國為例對天津事件出而幫忙
page 3	Ｘ軍強硬外務省方面盼就地解決
page 3	津英租界昨日肉類絕跡
page 3	Ｘ女間諜分發江南活動
page 3	滬華文報傳將遭受打擊
page 3	滬楊樹浦發現反日傳單
page 3	浦東怪火棧房兩次被焚
page 3	冀南我軍掃蕩任縣殘Ｘ
page 4	莫斯科繼續會商談判前途樂觀雙方觀點漸臻一致蘇聯否認包括遠東
page 4	羅斯福敦促修正中立法本屆國會內應有所決議
page 4	土埃繼續談話兩外長演說希望合作加強地中海東部聯繫
page 4	波蘭民眾抵制義貨
page 4	德陸軍參謀長將報聘愛芬兩國招待程序已擬就
page 4	教廷駐波使節返抵梵諦岡任務傳說不一波方否認調停
page 4	國際難民區德銀行家獻議在滇省內設立
page 4	上海的銅元荒電車汽車無銅元莫上來小販乞丐竟是首當其衝
page 4	英眾院討論捷克存金移德西門謂權操國際清算銀行英政府無權過問不能負責
page 4	戰時中國婦女英勇為世界冠戰地服務團各團員工作精神俱堪讚揚
page 4	英法海陸當局舉行聯防會議今日在新加坡開幕美荷亦將密切聯絡
page 4	汪逆被通緝海外同胞稱快對政府措置竭力擁護
page 4	摯蔣委員長夫婦生活的一面興世界崇拜者通信忙
page 4	阿王索古將抵巴黎
page 4	英報紙揭戰日存金漸竭在財政上倘不獲新資源對華戰事難支持六個月
page 4	美陸次演說稱軍火準備充足工廠二萬所可隨時改易足以應付任何嚴重局面
page 4	白鳥將奉調返國任要職
page 4	廣州德總領調駐華使館顧問並兼攝代辦職務
page 4	美議員主調查潛艇失事原因設一委員會專司其事法國決重建鳳凰號
page 4	中央社更正
page 4	自打嘴吧
page 4	新加坡的劃期會議
page 5	Ｘ艦擾睦州被我擊傷尾部潰敗江會戰事連日轉趨沉寂
page 5	粵參議會催設縣市參議會請政院頒組織章程
page 5	西江左翼蘆苞保衛戰兩次勝利的紀錄
page 5	軍委會令各地駐軍應協助農民耕作
page 5	陳鑑松任粵公路處長
page 5	本報粵北從軍記者報告粵Ｘ軍暴行種種實力空虛強拉同胞充兵役朝鮮兵反戰但願中國勝利
page 5	港澳預防霍亂旅客須領證明書澳門注射工作緊張
page 5	粵兵役會舉辦兵役宣傳
page 5	惠陽疏散囚徒
page 6	汕頭戰事爆發港汕交通昨中斷電報不通來往輪船停開本港肉食菜蔬來源減少
page 6	屠場提早開宰午後難得鮮肉開宰至收市歷二十小時肉商擬請恢復原日時間
page 6	菲僑學生昨日召開座談會
page 6	昨日端午節鍾聲慈善社舉行龍舟競渡官紳蒞止極一時之盛港督極感興趣並給獎
page 6	每月商情華商總會會員擬請該會編篹
page 6	紀念七七七月份中完成銷債千萬運動公債分會通函各僑團奉獻祖國請一致贊助
page 6	婦女防空會擴大組織徵求會員
page 6	兒童保育會各組主任選出辭職各理事均予挽留何艾齡蟬聯保育院長
page 6	婦女節約會定期舉行展賣會將難民織品發售
page 6	中旅義演五羊城由該團粵語部演出
page 6	世界基督教青年大會我代表團啟程今日由港赴荷京參加會程中擬舉行中國日
page 7	溫布爾頓網球賽第一週秩序排定許承基首戰遇英選手根氏何愛英將對抗斯比靈夫人
page 7	南華綱球義賽下月初可實現許承位昨日過港表演代表南華稱團體賽
page 7	乙組籃球賽培英獲亞軍
page 7	國際馬術賽義選手冠軍
page 7	菲體協會亟謀提高足球水準聘請英教練積極進行各中學採為冬季運動
page 7	職業綱球賽最後一戰老將鐵爾頓克服梵恩斯
page 7	英國足球隊征歐凱旋
page 7	冬季世運會比賽事宜希特勒已批准
page 7	輕重量拳擊王位爭奪戰
page 7	英國業餘賽東家可勃再接再厲希望重破陸上新紀錄每時超出三百六十里
page 7	越匯牌價略漲英美匯市仍沉寂申匯市況亦靜寂買賣均不多
page 7	英銀暴跌原因美財政部白銀政策動搖
page 7	滑杆市稍回穩人心略安定買戶較多半日成交約近九萬元
page 7	八九金市初穩後堅結果價格微漲六仙
