page 2	社評日荷與日泰
page 3	鄂贛敵軍分股竄擾我軍正英勇迎擊中浙東紹興適軍又被我痛創
page 3	一週戰況軍委會發言人報告
page 3	滇緬公路運輸問題美派專家來華協助
page 3	重光葵赴馬德里
page 3	旅渝美僑電羅斯福籲請停止汽油運日
page 3	蔣委員長手令政院經濟會議研討平抑糧價勿任其上漲以維民生
page 3	傳荷印對日讓步婆羅洲石油採掘權讓予日本
page 3	我駐巴墨兩使同日呈遞國書
page 3	王外長話別招待屬員
page 3	荷印軍艦檢查法輪扣留德籍乘客
page 3	熊斌主陝
page 3	美海軍政策及問題之二美海軍的進步及改良
page 3	監犯吳友鳳服軍役立功國府明令赦免罪刑
page 3	敵機竄擾西安蘭州
page 3	政院撥款百萬元輔助水利建設本年農業可望大量增產
page 3	全川各地普遍得雨
page 3	贛發展麻織業籌設大紡織廠
page 3	閩省營三公司取得合法地位
page 3	敵陸軍界人事更動
page 3	湘省嚴禁囤積居奇
page 3	日藏省擴大外匯集中制
page 3	美名流盛大宴會擁戴蔣委長夫婦
page 3	倫敦提倡七七運動援華會發表宣言設法籌募一筆特別捐款匯華美援華捐款達百萬元
page 3	滬商務工潮有解決途徑
page 4	德義實行報復封閉美國領館美宣布正式徵用義輪
page 4	大馬色三路被圍聯軍已迫抵近郊英方預料日內可攻陷
page 4	巴黎報紙預料美將與維希斷交謂正與汎美國家商一致步驟
page 4	中緬劃界協定全文
page 4	土國繼續維持非交戰國地位
page 4	德義簽訂一新商約調整戰時原料供給
page 4	土外長強調聲明英土關係不變日方認德蘇關係緊張
page 4	芬預備役入伍加強防禦準備
page 4	哈里法克斯論德蘇戰爭之說謂德故作姿態以施用壓力希特勒目標仍在對英
page 4	英將實施管理物價工價眾院正從事討論
page 4	金氏返加拿大據談謂美總統將訪加
page 4	哈里曼飛抵開羅商接濟中東聯軍事務
page 4	美要塞防務工程加緊進行取消八小時工作制
page 4	工黨議員謂與婦人有關
page 4	加拿大法人擁護英政府
page 4	英議員質問希斯奔英內幕伯特勒依然守口如瓶謂將內幕通告美政府
page 4	德義的報復
page 4	美眾院計劃增加稅收所得稅營業稅兩種
page 4	牛津以榮譽學位頒贈美總統羅斯福總統派代表致答謝辭美為保持自由不惜訴諸一戰
page 6	港各僑商團體認購戰債情況熱烈華資銀行認購三百餘萬華商會昨購二十餘萬元
page 6	港當局擬籌辦戰時貨物保險制度保險費傳定為百分之六詳細辦法聞已在起草中
page 6	港包裹寄遞僅限太原等地我內地仍未通
page 6	一碗飯運動現擬增至二萬碗吳澤華對記者談
page 6	人民入境局長談將廢除按金辦法局中儲存大量按金恐生流弊新辦法經呈港府審核中
page 6	德國在澳門設立領事館
page 6	防空洞義勇隊徵求千五百人
page 7	漆咸道棒球聯賽今天雙料好戲下午二時一刻港啤對香港會第二幕中華迎抗美艦愛殊和
page 7	港九居民聯會今晚開水藝會
page 7	星東征澳記第二函從馬尼拉到禮拜四島珍珠埠五月十日至十八日
page 7	星華人隊輕敵結果混種隊僅輸兩球戰情極平淡表演欠佳
page 7	中學籃球賽漢華青商奏凱
page 7	關於放風箏寫在鍾聲社公開賽之前
page 7	南華排球部初級訓練班今日開始報名
page 7	外匯牌價申匯回漲英匯沉寂美匯淡靜
