page 2	社評喜劇式的美日談話
page 3	美國不變基本政策對日談話僅屬試探蘇聯態度堅定支援美國立場
page 3	美總統將向國會提二次租借法案要求增撥款項援助民主國家
page 3	蓋達反唇相譏指美發動攻勢
page 3	西康建設漸有初步成就西昌今年豐登
page 3	紐總理談話美日談判仍在微妙階段安撫政策將不致再發生
page 3	英經濟雜誌撰文促美加緊援華應增闢路線以暢運輸
page 3	從法理與歷史論大西洋之戰二
page 3	滬寧車被炸死傷八九十人
page 3	洪河新堤培修工作大致已竣各方正開始駿收中
page 3	貓熊蔣孔兩夫人贈美難民會
page 3	滬外匯黑市停閉後法幣地位益鞏固合法匯率提高供給正當外匯
page 3	滬公共租界日方又及架人
page 3	重慶大學恢復否俟省府決定
page 3	鄂省一商民獻金十萬元
page 3	蘇輪駛離上海未載運軍用品
page 3	滬名廣播員昨休假返美
page 3	鄂南敵軍增援沔陽附近激戰我追擊大雲山流竄殘敵
page 3	孟加錫僑團電領袖致敬
page 4	歐俄已入寒冬列寧格勒區首次降雪納粹侵略者如聞喪鐘
page 4	基輔蘇軍浴血戰殲滅德軍兩師團基輔防務已愈臻強固
page 4	戰時經濟幾個問題
page 4	美援蘇物品將運抵伊朗
page 4	伊朗英軍正式訪問蘇軍蘇軍亦將日間回拜
page 4	挪威人民反抗暴政各地曾一度發生騷動
page 4	南美內幕一
page 4	英國空軍襲德議航隊在地中海及大西洋均奏捷英機又炸德船塢
page 4	英軍事專家抵安喀拉提供實際作戰經驗
page 4	德禁法人私藏軍火違者將被處死
page 4	美反共領袖亦贊成援蘇
page 4	德經濟代表訪晤土外長
page 4	澳各地日僑已大部撤退
page 4	阿培茲返德請訓
page 4	菲律賓火山爆發在馬尼拉東南四百哩
page 4	軸心飛機轟炸蘇彝士美輪險遭不測兩貨輪被彈片所傷
page 4	納粹能屈能伸
page 5	蔣委員長電令軍政謀切實配合力求意見融洽動作一致過去缺點應予迅速改革
page 5	粵省青年支團視導全省團務各組人選已定月中出發下月杪將開全幹部會議
page 5	粵省各公路將恢復客貨運
page 5	潮陽偽和平軍率部攜械反正偽連長吳德宗發表宣言痛斥敵軍暴行喚起殺敵
page 5	鎢礦走私五華私梟猖獗
page 5	昆明動態
page 5	中山團隊突襲石岐南順方面情況混亂
page 5	各省縣市田賦管理處組織規程續國府已明令公布
page 5	中國史上之大教育家十
page 5	搶運粵漢鋼軌建築滇桂新路戰區經委會加緊進行中
page 5	榮譽軍人重上火線韶各界熱烈歡送
page 6	港平準會議完竣滬英美銀行代表已返滬對港滬黑市採有效措施
page 6	戰時強迫保險非商品可核准免予購保事在必仃保率亦難變更
page 6	港灣改進計劃圖解
page 6	衛生局答覆小販請求熟食小販下月換牌三類貨品仍准營業
page 6	孫院長在中國文協會講述國際戰局分析 美談判各問題
page 6	防空當局進行設空襲警報站如遇空襲即用汽笛示警被炸損壞則用電話通知
page 6	衛生局答覆小販請求熟食小販下月換牌三類貨品仍准營業
page 6	防空工程案在九龍醫院開庭密訊工程師金卑路未出院
page 6	販賣婦女運往越南魔鬼又見活躍
page 6	灣仔公共飯堂今日下午售飯飯堂佈置就緒憑券購飯預算每日只發售六千碗
page 6	颶風襲港可能已減
page 6	華商會代表廠商上書蔣委員長致敬報告組織回國考察團事該函由劉部長帶渝轉呈
page 6	美總統輪恢復載運貨物赴滬但對物品種類仍有限制由美東來國輪船仍不過日
page 7	南華加山揚威六比三勝米軍乙組熾輝永強出馬差強人意東方在花墟勇擒警察
page 7	林山綱球散記單打冠軍力格斯奮鬥史柯克夫人奇兵突出獲女錦標
page 7	籃球聯會星期四開會議
page 7	中華特別銀盾賽馬祿臣戰約瑟約瑟有軒地畢力般出馬助陣今午在銅鑼灣場
page 7	居聯會成立冬泳團
page 7	拳師劉錦東表演查拳極得觀眾好評九龍各界領袖及克已體
page 7	星甲組足球賽中華敗於空軍
page 7	樂斯杯籃球賽星島僅勝居聯四十比卅八最後一分定勝局頭場民大贏僑星
page 7	上週本港金融行情大洋券以第千元計單位港元
page 7	成坤杯排球賽繼續舉辦即日開始報名
page 7	鐵城杯中青對居聯新青戰銀聯
