page 2	日汪的把戲
page 3	我國精銳空軍出動轟炸粵桂日根據地嶺東日軍潰退潰棄屍體甚多
page 3	我游擊隊潛入漢口市焚毀日軍需品甚多碼頭大火損失尤重
page 3	冀饑荒慘重農民存糧全為日軍搶掠同胞以樹皮觀音土果腹
page 3	全國同時紀念總理逝世十五週年精神總動員一週年
page 3	蘇聯各報著論紀念中山先生讚揚生前對蘇友誼歡迎中蘇合作對日
page 3	西藏當局電謝林主席
page 3	日方覬覦滬租界行政權要求增加日董事名額滬西賭窟仍繼續營業
page 3	日首相米內發表荒謬談話陳腕濫調不值一顧
page 3	歐陽予倩任桂藝術館長兼戲劇部主任
page 3	漢奸下場新鄉日軍勒索巨款無法應命四人被殺
page 3	滬槍殺案王逆有信被擊斃
page 3	國內外各團體續電討汪
page 3	桂國術界下月初義演擬籌款獻金
page 3	歐亞公司航班更改
page 3	滬甬復航寧波當局允許日准一輪入港
page 3	本報渝版著論揭穿日人醜態對友邦撒嬌賣乖恫嚇訛詐是米內內閣將倒前之顫動
page 3	從禍水中躍登彼岸一
page 3	滇緬民間糾紛商得解決辦法中英每年舉行會審一次首次定今日在瑞麗開始
page 3	粵民食無憂省府撥款六百萬元救濟贛米運到嶺東糧價漸平
page 3	皖南擊沉日艦一艘贛北射落日機一架
page 4	北歐戰事結束蘇芬和約簽字全文九條莫斯科公布芬蘭外長發表聲明
page 4	蘇芬和議成立後各國反響一斑日本各報頗露張皇巴黎官方不表驚訝
page 4	美國當局仍持緘默
page 4	韋爾斯會見邱吉爾並分訪各政黨領袖曾與西門共進午餐
page 4	北歐沉悶義表歡迎
page 4	英考慮在遠東檢查違禁品恐蘇以貨轉資德國日本方面極為注意
page 4	美眾院通過文生造艦計劃共造艦十六萬七千噸該案已交參議院覆議
page 4	豫日偽反英驅逐傳教士出境
page 4	有田對美援華表示極不滿意
page 4	日本人財兩缺監犯編入預備隊徵磚瓦稅充軍費
page 4	海防法當局檢查日輪郵件日方又擬小題大做兩國關係將更惡化
page 4	義報發表德義談話內容範圍包括整個歐洲德義另訂運煤辦法
page 4	日本向蘇提出抗議謂蘇機越境
page 4	英丹成立戰時商務協定發展兩國貿易 
page 4	蘇芬和約告成
page 4	蘇報對華友誼
page 4	蔡先生的不朽精神
page 5	日軍增兵三鄉各鄉村遍遭騷擾新塘沾涌失陷灣仔形勢益緊三區小欖仍在我手中
page 5	石岐淪陷後的中山
page 5	恐怖的岐城
page 5	冷落的關卡
page 5	流浪的難民
page 5	灣仔危急
page 5	滬市游資充斥達三十萬萬元其中十餘萬萬元無處歸納市場過剩游資多投機營利
page 5	蘇北春汛將屆水患堪虞堤身多遭毀壞苦無的款修築
page 5	李漢魂致謝港僑捐款
page 5	打撈景昇輪尚無發展屍體陸續起出
page 5	西康日記七二第四編康定及其附近西康風俗概述
page 5	泰國大捕華僑真相尚不明眾認此次被捕之僑商聞人係受黃精一所牽連
page 5	山東日軍虐待美僑
page 5	岐關路上由石岐直通澳門的岐關
page 6	廣生行貨倉大火損失約達百萬元化粧品原料忽無故自焚白米數千包亦付之一炬
page 6	被焚貨倉面積廣闊
page 6	發覺起火瞬即蔓延
page 6	倉內存放巨量原料
page 6	交通受阻電車停駛
page 6	努力施救夜深始熄
page 6	立法局今日會議討論重要提案在港造軍艦向英國獻金財委會討論追加預算
page 6	香港澳洲間貿易之過去及將來下
page 6	北大同學今晚聚餐由任鴻雋氏演講映蔡公移靈影片
page 6	商振會勸募慰勞金先匯國幣八萬元財部四萬粵府二萬第四戰區二萬一碗飯運動下周繼續研究
page 6	慰勞金分配
page 6	一碗飯運動
page 6	鋼料供應
page 6	澳洲羊毛
page 6	以貨易貨
page 6	澳方銀行
page 6	交換有無
page 6	兒童振災會
page 6	歌姬義唱款 
page 6	美髮業工會
page 6	九龍電報局
page 6	下月舉行燈火管制為連續性的演習
page 6	港九住客聯合會減運委會將成立函聘熱心人士擔任委員覆函允任者已有十餘人
page 6	財政委員會
page 6	損失總數將達百萬
page 6	消防警察緊急動員
page 6	中國文化協進會主辦巡迴演講會邀請多人擬定演講題目各校聘請演講均可接洽
page 7	本月底銀牌決賽定在加山舉行預售門票看須對號入座選出代表迎戰澳門埠際隊
page 7	滬西福斯名內衛康培爾斷腿因駕車與法水兵車相撞此後恐怕不能再上球場
page 7	東方體育會明日出發授旗
page 7	葡將小告山奴昨日訂婚
page 7	許承基計劃長途旅行作募款表演賽
page 7	體協會籃球部今午敘會
page 7	中美報眼光中港滬足球評價
page 7	本港外匯牌價續縮美匯市況再趨緊申匯牌價未變市況仍穩定
page 7	股票派息期近市況堅挺買戶踴躍股價繼續趨漲昨日成交總值逾三十萬
page 7	八九金市驟趨堅挺美匯續緊價再上漲
page 7	昨日足球賽約瑟和米軍
page 7	溫故知新錄七中華會應運而生
