page 2	英對華新借款的重要性
page 3	英財相正式宣布對華幣制借欵成立額五百萬鎊作法幣平衡基金宋子文氏發表談話表示讚揚
page 3	孔部長示感謝
page 3	日本通貨膨脹
page 3	美載重汽車專家經英前來遠東由仰光視察滇緬公路
page 3	全國教育會議昨日圓滿閉幕通過提案三百餘件決定今後教育方針
page 3	Ｘ機襲瓊被擊落二架
page 3	蘇州東吳校舍Ｘ方業已歸還
page 3	Ｘ機炸西安英醫院損失甚重
page 3	鄂中戰局轉穩鍾祥附近Ｘ軍潰亂Ｘ機昨日又炸宜昌
page 3	粵省專員更調鄧世增任八區專員
page 3	渝緬航線通航尚無定期
page 3	華中傀儡奴化青年組織防共團體
page 4	英陸相在眾院提陸軍預算案防空實力已較前增加戰時補充亦準備就緒
page 4	殖民地防務已較前鞏固
page 4	國防軍實力將大事增強
page 4	對出兵大陸準備已完成
page 4	Ｘ眾院質問中國駐軍問題板垣亦承認兵力有限無法維持佔領區治安
page 4	Ｘ陸軍省人事異動
page 4	美議員向參院提取消中立法案關島設防問題再提參院討論
page 4	沙赫特將赴印度此行任務不明
page 4	美國海軍下月舉行演習
page 4	英一般輿論主張強硬對日民眾對日機轟炸新界發生極端不滿的反感
page 4	西國民軍封鎖各海口英外次在眾院發表聲明未向西雙方作和平建議
page 4	孰有敗徵
page 4	Ｘ人之所謂撤兵
page 4	解決巴勒士丁問題英考慮具體建議下週初將提交阿猶代表
page 4	法新總統下月五日選舉
page 5	粵南風雲日趨緊張雷州半島屢被空襲徐聞Ｘ艦略減遂溪難民激增海康迭遭慘炸居民紛起遷避
page 5	徐聞戒嚴狀態
page 5	雷州頻遭轟炸
page 5	遂溪收容難民
page 5	粵七區專員張炎今日就新職兼籌該區游擊事務
page 5	西江上游浚深工程分七段於今冬竣工
page 5	東江沿海安謐石龍Ｘ出擾不確抽調空虛無暇自顧四處縱火防我反攻
page 5	粵組兵役協進會李主席將就兼軍管區司令
page 5	粵一區臨時會議救濟米荒等問題圓滿解決古鼎華在會後赴各縣視察
page 5	曲江縣府易人
page 5	開平請救米荒
page 6	留港中委會商救濟教育界失業人員舉辦義學一舉而兩得詳細辦法正在草擬中
page 6	防空展覽會試行毒氣演習今日下午三時半舉行昨赴會參觀者逾千人
page 6	香港園藝會花卉蔬菜展覽千紅萬紫爭奇鬥妍溫香四溢笑臉迎人
page 6	總理逝世紀念大會
page 6	淪陷區名勝影展日內分在港九舉行
page 6	華商總會主辦春節餐舞會明晚在思豪舉行遊藝節目極豐富
page 6	坤伶金素琴明晚登台義演仍繼續努力抗戰宣傳本港名流昨開會歡迎
page 6	本港電燈用戶四萬六千餘家電燈公司去年營業甚佳獲利二百一十四萬餘元
page 7	國際杯足球半決賽中華對抗格蘭定十九日在掃桿埔舉行
page 7	公開草地網球林添德輕取大告山奴李惠堂組雙打亦獲勝
