page 2	社評德美的戰機
page 3	美德關係不絕如縷羅斯福總統下令封閉全美德領館德表示詫異將迅加報復
page 3	美國與歐戰一援英問題的檢討
page 3	荷日談判決裂雙方仍保持正常關係
page 3	英相對美廣播決竭力奮鬥罪惡陰影已投射於歐亞兩洲不論情形如何英決堅持到底
page 3	羅賓摩爾遇難人員全數安抵南非角城但美仍準備向德抗議
page 3	敘利亞法空軍轟炸英艦隊英法軍艦亦發生砲戰
page 3	北歐空氣緊張瑞典不斷召集後備役入伍蘇將舉行夏季演習
page 3	直布羅陀上空英德發生空戰德機被擊落四架
page 3	傳德日曾簽署秘密經濟協定日以原料易取德軍備傳蘇將予以過境便利美空禁止大批運日滑油出境
page 3	南王彼得過訪埃及
page 3	美海長諾克斯向加拿大廣播美國人民已屆決定之時
page 4	豫南敵又蠢動經我迎擊殲滅過半
page 4	全國財政會議繼續審查提案
page 4	孔兼部長致詞
page 4	西北實業突飛猛晉甘省籌設兩大工廠
page 4	美德關係緊張上海外匯續長
page 4	滬日副總巡赤木遇狙擊斃命地點在滬西越界築路區工部局正採取防範措施
page 4	美海軍政策及問題之一美海軍政策的演變
page 4	工程帥學會增聘論文委員
page 4	美空軍官員又一批東來昨自菲島飛港
page 4	聖約翰職員施肇康仍被囚禁於閘北偽給織索款贖票
page 4	比月嬌柔比花媚萬人萬看燕歸來汪兆銘返抵東京之盛況
page 4	中緬劃界談判圓滿解決
page 4	北非英軍奇兵突出獄火山隘展開激戰卡普索已被英軍克復
page 4	印緬商約簽字
page 4	贛墾務處完成首期墾荒計劃
page 4	美禁油運日
page 4	重光離英轉里斯本飛美定下月中返日
page 4	川中苦熱連朝喜得甘霖人心為之一爽
page 5	余漢謀公畢返韶將召開軍事會議商討今後大計側重軍政配合各軍帥長官已紛紛啟程出席
page 5	吉安糧會舞弊案決軍法審判秘書歐陽傑利用職權貪污有據巡察團卒揭破黑幕
page 5	偽中山縣長趙鼎華被刺
page 5	所謂高度國防下的日本經濟二
page 5	粵貨運稽查處加強對敵封鎖嚴密查禁敵貨資敵物品健全組織充厚查緝兵力
page 5	韶關舉辦戰時兵險信託局開辦保險部工廠倉庫均可投保
page 5	馬山發生激戰我軍奮勇殲敵
page 5	桂省下月起變更出入口餉捐桐油出口每百斤徵十元生牛穀米小麥入口免捐
page 5	桂省參議會召開大會提案中心約分六項
page 5	粵北記者踴躍購債韶關米商吳瑗嚴自動認購二千元
page 5	桂林取締濫增房租
page 5	過韶瑣記
page 5	鼓勵傷愈軍人歸隊殺敵粵戰區擬訂歡送辦法
page 6	港督羅富國辭職由楊格爵士繼任
page 6	教部訂鼓勵僑生返國升學辦法在渝設處登記返國僑生港立案學校學生作僑生論
page 6	周錫年為取締小販昨動人之呼籲力陳應注意小販今後之生活衛生局討論取締小販案
page 6	華商會響應募債目的定千萬元各值理昨午舉行會議組募債委會負責進行
page 6	廠商聯會熱烈募債得六萬九千元
page 6	中國化學會改選下屆職員
page 6	模型眼鏡程伯京昨講述
page 6	英大使卡爾昨已離港返渝在港期間事務極忙錄
page 6	市面未發現一仙為偽幣前傳係屬誤會財政司昨聲明
page 6	華人代表譚雅士同情勞工團體加薪請求惟盼工友審度資方能力當局秉公處理勞資糾紛
page 6	政府貯備魚類已醃製達千擔醃製工作進行頗為忙碌鮮魚收購較前漸見順利
page 6	美藥物華會美籍工作人員談國內亟需藥物昨並為記者詳細敍述由越運藥入國內經過
page 6	港府華人職工請發伙食費已呈輔政司勞工司
page 6	模型飛機公開展覽改期
page 7	棒球聯賽獨腳戲香港戰岷甸奴下午五時一刻在漆咸道球場雙方實力強橫預料必有激戰
page 7	星東征澳記第三函五月二十一日至二十五日
page 7	今日學界籃球青商出師對抗培英錄
page 7	中西游泳義賽二次座談會大會職員由中西兩方面推出華人預選比賽日間開會決定
page 7	學界排球補賽改期今日舉行
page 7	單車比賽展期下月開始
page 7	勃琪的雙打論其五
page 7	溜冰籃球賽居聯勝綠白今日對抗士葛
page 7	粵救會港分會舉辦水陸遊藝定八月初旬在鍾聲泳場揭幕一連三晚遊藝循序異常豐
page 7	夏屆籃球賽委員會議聘定裁判多人
page 7	外匯牌價俱無變更申匯市況畧見好轉
page 7	股票市況仍乏生氣昨日成交二萬餘元
page 7	國幣市況趨勢仍不定
