page 2	義大利參戰以後
page 3	義軍傳已開始進攻地中海大戰將爆發土耳其埃及尚無參戰模樣西班牙官方表示態度不變
page 3	墨索里尼正式承諾將不侵犯五鄰近國
page 3	英義戰爭狀態開始經濟封鎖宣佈實施
page 3	英航空母艦光榮號已沉沒新母艦五艘在建造中英擬向美購買驅逐艦
page 3	歐局急轉直下法軍絕不稍餒決心保衛巴黎準備巷戰法政府各機關開始撤退
page 3	英商國自治領紛紛向義宣戰
page 3	維持遠東利益英法合作蘇拉教授之重要演講
page 3	突尼斯士氣並不動搖
page 3	印回教徒考慮對義態度對英多表友善
page 3	義大利參戰後滬租界情形尚安美軍事當局力謀維持現狀天津各租界間已成立諒解
page 3	法義邊境未有接觸
page 3	英派大軍赴法增援
page 3	萊諾廣播演說誓死抗戰不屈
page 3	美國態度更見激動決定加緊援助聯軍畢德門謂美不願參戰
page 3	巴爾幹協商國會議義蘇成立廣泛諒解
page 4	襄西日軍攻勢頓挫我軍在當陽以北奮勇截擊遠安一帶山區正大舉圍殲
page 4	日機再襲渝蘇大使館一部被毀前日日機共被擊落五架
page 4	行政院例會議決任命林翼中錢天鶴為農次褒揚賓陽及信陽有功縣民
page 4	院校統一招考僑生報名辦法教部公布詳細手續
page 4	繼畫界協定後蘇日賡續談判日亟欲解決漁業等問題傳商務談判亦有復活說
page 4	阿部在南京開日領會議
page 4	汪屬偽行政院設滬辦事處由馬逆嘯天任偽處長 
page 4	僑慰一分團在洛陽備受歡迎
page 4	美國暫不參戰
page 4	日又向蘇屈膝
page 4	新黨運動尚在醞釀中
page 4	滬槍殺案勞勃生路男屍一具被指為殺王三媛犯
page 4	美國海軍及其戰略二
page 4	韋雲淞報告桂南近況各縣經濟可勉強維持地方民團亦均能盡責
page 4	粵省府派員赴粵中勞軍李主席報告粵省政
page 4	傳副司令長官謙辭勳章原電
page 5	古井又起激戰日再犯龍泉睦洲梅閣被炸死傷難民百餘
page 5	義國參戰之前在滬義僑狀況
page 5	振會派員撫慰粵中戰地災民撥款舉辦嶺東各縣平糶補助留梅學生生活費用
page 5	粵傷兵之友社擴大組織各縣設立分社
page 5	馬來亞各地嚴防第五縱隊英僑民組織警鐘俱樂部進行喚醒民眾籌募戰費
page 5	桂省戰區縣份裁併駢枝機關並停支與戰事無關各經費俾節餘財力應付抗戰急需
page 5	琶江民團英勇抗戰迭次痛殲日軍當局撥款獎勉
page 5	增加作戰力量粵游擊區再度調整
page 5	東戰場上的游擊戰六
page 6	義大利宣戰後港義僑受敵僑待遇被拘者三十人婦女則免商行封閉傳教士受監視
page 6	義領事館由警看管
page 6	嘉利昨晨接見記者
page 6	警司發表書面談話
page 6	義國商行悉被封閉
page 6	荷蘭僑民募款救濟同胞
page 6	英各領土壯丁應參加當地防務代督史美奉殖民地部訓令請纓返國從戎者礙難照准
page 6	水塘滿溢總量五十萬萬加侖
page 6	棋傑董文淵舉行義賽籌款
page 6	德士古油艇被焚爆炸起火救火輪趕到施救夥伴六人企圖撲滅被灼傷
page 6	住客聯會免費學校六所籌備就緒
page 6	徐國振罪名成立入獄一年
page 6	顧司令派員來港籌募醫藥建設金創辦醫院訓練衛生人員與各善團接洽結果圓滿
page 6	挪領事館聲明挪威國策不變
page 6	中國文協舉辦二次歌詠比賽
page 6	虎嘯大霧山下居民防備
page 6	大欖涌僑被雨沖塌工務局派員修理
page 6	全車博物館協會會報定期復刊保持原有論文消息等欄歡迎各學術界投寄稿件
page 6	本港哈瓦斯社經理施載恩旅川觀感當局對抗建前途俱抱樂觀蘭州之行得見西北之進步
page 6	陳文淵來港徵求青年為傷兵服務
page 6	義僑所辦學校情形 
page 7	中華體育協進會今日執委會議審查五團體聲請入會資格五時卅分在六國飯店舉行
page 7	東方足球遠征隊在星受歡迎三賽外增籌賑賽一場宣傳購節約儲券博僑眾讚賞
page 7	小球聯會議決續辦杯賽
page 7	滬青雲乒乓隊暫緩來港昨函致港聯會
page 7	義國參戰影響英美匯市均傾淡申匯市況則反見好轉
page 7	義國參戰影響國幣價漲
page 7	股票市益疲弱低價股票多告不支
page 7	八九金市昨日略趨淡
page 7	桂首次聯運會各校踴躍參加
page 7	學界排球補賽程序頒布 
page 7	南華下屆足球仍派兩隊參加
page 7	今晚公開籃球鐘聲戰銀聯紅
page 7	棟勳杯小童小球聯賽昨公布細則
