page 2	社評維希屈服後
page 3	二屆參政會首次大會開幕林主席蔣委長訓詞勗勉全國團結奮鬥出席參政員董必武等二百餘人張伯苓吳貽芳等當選為主席團
page 3	話說當今英格蘭六輿論廣播宣傳一民治精神的測驗倫敦一月八日航信
page 3	林主席之訓詞希望精誠團結擁護統一針對實際需要加緊建設
page 3	我軍未開越東京又造謠
page 3	英孟徹斯特區同情我抗戰在德機蹂躪後不忘籌款援華
page 3	軍委會發言人談日臨陣易帥突以　後六代替西尾足證日方軍政無辦法
page 3	贛米易浙鹽已訂新辦法
page 3	英國將積極增厚緬泰邊境防務菲島美人發動志願軍運動英當局否認我軍集中緬甸撣區
page 3	渝中央日報論越南局勢
page 3	外匯中行奉令恢復買賣
page 4	巴爾幹形勢嚴重德軍開入保境南國邊境空氣亦緊
page 4	英機加緊巡邏英倫海峽法港開萊三次被襲德潛艇船塢受重創
page 4	貝當出遊視察工業中心
page 4	美使魏南抵英英王破例迎迓
page 4	美國海軍在太平洋作戰一四條進攻路線的檢討
page 4	美議員陳述利害敦促通過租借案
page 4	義宣布收復阿利卓島
page 4	最高蘇維埃通過國防預算
page 4	鄂中我軍又出擊京鍾路交通破壞
page 4	蘇匈成立交通協定
page 4	美貨運蘇事蘇大使向美提保證美貨祗供國內消費
page 4	義屬索馬利蘭義軍被俘九千
page 4	仰光港口發現私運金條有一人被逮捕
page 4	美糧食運法接濟非淪陷區已獲英國同意
page 4	論巴爾幹局勢保將任由德國宰割南斯拉夫勢亦難免
page 4	團結前進
page 4	揭開巴爾幹之幕
page 5	滇省工合開展改進玉溪棉織業積極增加生產以謀自給自足城郊蘊藏豐富尚待大量開採
page 5	滬日軍強拉民伕虹口儼若死城一入夜晚路上行人絕跡居民深居簡出恐慌萬分
page 5	我突襲會城裹應外合痛創日軍
page 5	各地僑社省行辦理免費
page 6	燈火管制期間發生救護員索賄案被勒索者為音樂社主人華探黃揚水拘獲一疑犯
page 6	李炳瑞演講南洋遊歷經過華僑均極關懷國內事情願為祖國服務堅信必勝
page 6	廈大校友會通電慰留陳嘉庚聯絡本港僑團一致響應定本月九日招待新聞界
page 6	警探深夜搜查太原街字花廠搜出字花字膽文件甚多拘十一人一個扣留候訊
page 6	那打素醫院舉行一磅日
page 6	梁又銘個展昨日預展參觀者整日不絕
page 6	各婦女團體籌備紀念三八參加團體百二十餘單位末次籌備會議五日舉行
page 6	北婆羅洲旅港同學昨晚舉行聚餐會
page 7	銅鑼灣萬頭攢動南華勇擒海軍四比一惠堂碩友德輝各建功從此聯賽錦標前途越趨穩定
page 7	許承基蔡惠全表演網球籌款姿態美妙成績優良我台杯委會在倫敦成立
page 7	李惠堂鄭重聲明退出網球比賽姚德焯等亦放棄參加本屆錦標賽越形冷淡
page 7	星島捷報初傳打贏聖拉聯軍四比一英祺兆榮各射進兩球今夜出戰喇沙隊
page 7	港進出口貿易一月份俱見低減
page 8	澳門的婦女團體
