page 1	社評民主要表裏一至論泰勒的犯罪壯舉
page 2	豫西南戰事擴大鄧縣西峽口情況混亂南陽爭奪戰即將展開平漢路東正陽等地激戰
page 2	東北面臨戰鬥長春孤立軍火接濟困難瀋陽得失要看誰佔遼西
page 2	價購日本賠償機器內遷工廠可獲優待政院會議昨通過辦法
page 2	東北政委會改組
page 2	北平通信彩繡的命運下
page 2	私套港匯機關滬警局破獲十八處逮逋人犯三十七名
page 2	監院重視金潮即將派員徹查
page 2	製造紡織機器經濟部成立協導委員
page 2	滬水電等漲價
page 2	印大使開酒會招待政府首長
page 2	去台灣請注意無身分證免進
page 2	台南本年緝私共值台幣一億四千多萬
page 2	試航中日航線中航機抵東京
page 2	立院會議今天開幕政府盼民青兩黨回心轉意
page 2	今天日蝕中山大學準備觀測
page 2	行總醫藥物資正加速分配中
page 2	傳作義抵張垣轉宣化等地閱軍
page 2	布列特遍訪政府首要昨與俞鴻鈞白崇禧等晤談美技術代表團短期內來華
page 2	青島美軍逞兇殺人三個同胞慘死
page 2	日漁船侵我領海海軍捉到了兩艘
page 2	從英法蘇之例說到救濟特捐
page 2	動盪的西江廣寧恩平陽春烽火連天各縣代表到廣州請救兵
page 2	新會等縣縣長省府決定撤換
page 2	興築梅汕鐵路路線已經確定全長一百九十五公里
page 2	在地願為連理枝平郊一對情人服毒自殺遺書希望死後舉行婚禮
page 2	省市參議會將改稱議會粵民政廉已奉到指令
page 2	粵省上月僑匯合國幣百億元
page 2	房屋獎券收益用來建築平民住宅並組社會救濟協會
page 2	被扣的金軼倫奉命保釋飛京
page 3	籌組西歐合眾國歐洲聯合會議開始舉行邱吉爾致開幕辭促當機立斷
page 3	印吉爾的主張從速組織歐洲大會成為世界政府一員
page 3	阿拉伯人無意停火聖地血戰似難避免外約但國王決侵入巴力斯坦聯合國即派中立官員赴聖地
page 3	美國防部長訪加商北極聯防步驟
page 3	英軍撤離聖地後將駐留地中海區
page 3	美互惠貿易法案馬歇爾要求重訂
page 3	修改聯合國憲章杜魯門也不贊成
page 3	星洲的工潮和勞動節
page 3	美軍事援歐之謎杜魯門拒加評論
page 3	助日經濟復興美國人多妙計一專家向國會提出五項建議
page 3	南矗領袖怒吼了金九號召黨人反對選舉金奎植重申與北韓協議
page 3	管制原子能將宣告流產西方國家主張停止討論
page 3	制止來臨中的戰爭英不應與美同玩火工黨議員十六名聯名呼籲主立即與美斷絕軍事合作
page 3	美想排斥蘇聯中英均未同意
page 3	管制魯爾區三國有矛盾倫敦會議遇困難
page 3	美擴充空軍案參院也已通過
page 3	日鈔發行額愈來愈減少
