page 1	社評伊朗的內戰
page 2	憲草審查和傳乃由人心望和國大權限成為鬥爭焦點總統行政兩章無多爭議蒙藏地位問題尚無結論
page 2	以右手行左策中國政治的一條出路
page 2	憲草根本精神動搖第三章章首增列國民大會為代表國民行使政權之最高機關
page 2	國都問題審查會爭論未獲結果
page 2	關於國大
page 2	第三審查會通過總統有緊急命令權行政院副院長及各部會首長由行政院長提請總統任命之
page 2	民社黨兩項保留關於中華民國為三民主義民主共和國及總統緊急命令權增加緊急事變四字
page 2	監察院一章被重大變更修改為監察院向國大負責監察委員由國民大會選舉
page 2	昨日會場反對派佔壓倒優勢孔庚為了發言咆哮
page 2	蒙藏問題民社黨聲明
page 2	省民大會審查會之修正
page 2	國民經濟明列民生主義辦法
page 2	張君勵談憲草國大職權絕不能擴大否則民社黨即將退會三民主義不宜冠於國名
page 2	陝北邊區戰事中共發言人之談話
page 2	徵兵徵糧催得急粵省年底難完成中央專員到粵省委下鄉督徵廣州抽壯丁商店員工將離市
page 2	日寇的遺禍青機場地雷爆炸
page 2	京參議會明日行開幕禮
page 2	膠濟路修復今舉行接軌禮十六日開始直達通車
page 3	駐軍問題繼續爭辯美堅持調查範圍包括國內蘇要求同時調查各國軍備英提議設立機構負責審核
page 3	裁軍小組起草報告書傳內容已有九項獲得協議主張國外駐軍撤至國內即解散准許安理會設立監督裁軍機構
page 3	美國制憲會議下美國憲法之本質
page 3	希臘控訴案安理會討論
page 3	外長會議尾聲德國問題等候莫斯科訓令特港委會由十二單位組織
page 3	太平洋託管蘇聯表示態度
page 3	伊朗內戰激烈政府軍攻下米安納城蘇向伊抗議威脅邊境
page 3	蘇丹地位英埃看法兩樣
page 3	英致阿最後通牒抗議英艦輪被襲事件要求於十四天內正式道歉
page 3	召回駐西使節對西影響不多
page 3	法組聯合內閣各黨在原則上已獲協議
page 3	澀谷事件經過本報譯述室輯
page 3	原子能電力站兩年內可輸電
page 3	澀谷事件判決不公被告台胞與我法官表示異議朱世明將訪艾其森提出討論
page 3	洛克斐勒捐助鉅資建聯合國會所
page 3	印度問題英相發表聲明
page 3	關於日本賠償政策阿契遜稱美未完全決定日本延期發表賠償見解
page 3	華萊士撰文提出改組民主黨主張
page 3	印荷條約簽字在即
page 3	日本注意工業制定五年計劃
page 3	聯總運華物資明年八月結束
page 3	李承晚在美指責韓共黨
page 3	河內僑胞慘傳五人被擊斃
page 4	實行取締棚戶第一日查出違章建築共四處由巡查隊解釋並飭令拆遷購私地五處容納拆遷棚戶
page 4	基督教協進會年會發表宣言呼籲和平昨日行開幕式司徒因雨未來
page 4	員工技術競賽綿紡織業首先舉行
page 4	市民濫用電熱紗廠被迫停電棉紡業將再度請市長整頓
page 4	棉紡工人要求年賞提出折衷辦法陸司長允予考慮
page 4	救濟失業工人輔導會商實施辦法
page 4	年終工人賞金政府商定辦法盈餘廠商以一個月工資為限
page 4	青年吸毒上月緝獲二十五人警局發表上月煙犯統計
page 4	中國管絃樂隊演奏國樂名曲十闋
page 4	冒充青年團敲詐醬油店
page 4	電機工程師學會定期開年會
page 4	指定醫院戒煙煙民勿再延誤
