page 2	社評歐戰和平紀念感言
page 3	保衛粵桂部署完畢桂决不分畛域援粵保桂余漢謀電中央引咎辭職
page 3	粵全省自衛團一律改編游擊隊配合正規軍抗戰衛土
page 3	國民參政會精誠團結一致擁護蔣委員長Ｘ方造謠不值一笑
page 3	貴池Ｘ東犯獨龍山激戰中吳江我軍克復盛澤
page 3	滇緬鐵路即將動工興建
page 3	英國大使將赴渝小住
page 3	湘境空襲常德桃源被炸
page 3	日在張家口徵捲菸稅苛待英國菸商
page 3	五台附近挫Ｘ我軍圍攻淶源縣城
page 3	英帝國外交兩個根本原則
page 3	牯嶺外僑仍未恢復交通
page 3	倫敦募欵救濟晋南傷兵郭大使入選雅典學會
page 3	鄂贛難民振委會救濟經過此後着重使難民生產
page 3	保護在華權益英政府態度強硬堅主維持九國公約將與美採聯合行動
page 3	保護在華權益英政府態度強硬堅主維持九國公約將與美採聯合全行動
page 3	閩難民移墾徐桴等一度會商
page 3	湘青年招待所籌備就緒開始登記
page 3	雷鳴遠神父過川北返前線奉命督導民眾服務
page 3	閩海安靜
page 3	方治邵華抵渝
page 3	日股票狂跌
page 3	最後消息鄂北Ｘ軍潰退
page 3	我軍克復大良
page 3	克復博羅佛山
page 4	路易喬治抨擊英國外交政策ＸＸ程度超出日本要求希望此後積極援助中國
page 4	美將大規模擴軍首先注意內國防務全部計劃後年完成
page 4	殖民地要求宣言發表德希望英法聲明立場
page 4	英報業大王接受匈榮譽獎章
page 4	凱末爾病逝國會奉命召集選舉繼任總統
page 4	美國選舉民主黨仍佔優勢
page 4	黔省實業抗戰一大動力
page 4	莫洛托夫說明蘇聯戰鬭力認外國估計常有錯誤美飛行家所言不足信
page 4	張伯倫在年讌中謂英正努力和平相信四強合作足以防止動亂否認明興會議各國互相火併
page 4	伍德海報告書阿人表示不滿發表宣言否認猶人權利
page 4	法志願軍撤退首批明晚可返國
page 4	美政府研究英白皮書大體認為滿意
page 4	拉資因傷殞命德人示威運動法政府電柏林弔唁
page 4	英美商約即可在華盛頓簽字
page 4	余漢謀辭職
page 4	悼凱末爾總統
page 5	閩防務團出發指導民軍首領返鄉抗戰福州秩序恢復銀行商店均開業綏署參謀長長趙南諄勸民眾疏散
page 5	廣州灣現狀交通旅業利市三倍躉賣批發幾至歇業
page 5	一個熱血青年參加廣州自衛團工作經過
page 5	粵十一區遊擊司令張炎發動青年戰時工作
page 5	澳門豬肉燒臘行勉行友繼續獻金捍衛國家毋徒悲憤促取勝利努力捐輸
page 5	歧關車停開夜班
page 5	潮安辦訓練班
page 5	梅菉通緝理事
page 5	澄海組宣傳隊
page 5	潮安設諜查隊
page 5	軍委會政治部地動員指導團重來潮汕積極工作
page 6	立法局昨會議通過明年預算案各議員對本港行政商務農事衛生等均有所獻議
page 6	立法局議員演說
page 6	英空軍副司令視察港空防巡閱港各種設備日程排定海陸空聯合演習年底舉行同時將舉行緊急防空演習
page 6	賑聯會派員赴寶調查災區難民
page 6	英賑華港分會昨開各界大會羅旭和請各界捐輸許世英代捐十萬元
page 6	太平東莞難民抵港遭遇極端悽慘
page 6	和平紀念全港默念兩分鍾在紀念碑前行禮
page 6	英艦兩艘護送江門梧州輪返港福安江蘇及貨船共十艘留省各輪定今日駛來港
page 6	中青籌賬會公演後防
page 6	方便醫院董事首次在港會議決籌款匯廣州接濟
page 6	畫家高劍父脫險抵港
page 7	今日慈善足球賽文員隊對抗軍聯下午四時在香港會球場舉行籌募款項資助歐戰殘廢軍人
page 7	南華體育會舉辦陸上運動大會定今晨十時在嘉露連山開幕
page 7	國際足球賽蘇格蘭勝威爾士結果三比二
page 7	籃球基本技術二
page 7	華南電影界小球義賽定明日開始
page 7	孤島足球西福斯勇克薩伐亞錦標前途希望復濃
page 7	學界籃球昨因雨再改期
page 7	乙組賽中青年勝猶太
page 7	魁星星勝華僑獲總組決賽權
page 7	外匯牌價美菲荷縮英匯仍寂美匯略緊申匯稍淡市尚平靜
page 7	本週股票市况沉靜未顯繁榮買賣雙方勾心鬥角互相操持無多成交週五週六停市兩天
page 7	八九金市再略堅穩較前繼漲一毫六仙
