page 2	英陸空軍增防新加坡
page 3	八中全會隆重舉行蔣總裁致懇切訓詞今後奮鬥經濟應與軍事並重
page 3	英國的戰爭經濟二二月十四日倫敦航訊
page 3	日毒化瓊島擬改瓊為廣南省
page 3	醜劇一年祭滬租界未生意外
page 3	滇緬鐵路動工趕築
page 3	松岡抵義重光葵將前往晤商
page 3	近衛請救兵小倉將入閣
page 3	滬中農兩行昨恢復營業滬西暴徒屢向華董恫嚇陳霆銳氏聞已離滬來港
page 3	滬槍擊案兩倀先後畢命
page 3	閩海口外英輪被劫
page 3	日製水電公司發生火警焚燒兩小時損失頗鉅
page 3	政治建設學會二屆年會改選下屆理監事
page 3	英再增強遠東防務首批陸空軍抵星洲
page 3	此次贛北大捷具有四大意義
page 3	贛北我軍挺進乘勝克復奉新
page 3	輸美日絲數量銳減
page 4	美菲領海德義丹商輪美國下令接管傳將全部交英使用
page 4	英法裂痕益深兩國發生砲戰英艦追捕法輪被砲阻法已提出極強硬抗議
page 4	東地中海之役義承認慘敗巡艦驅逐艦擊沉五艘英機參加作戰建殊功
page 4	西南太平洋的反侵略陣線二三月十六日新加坡航訊
page 4	英國本部舉行假想戰演習精銳部隊四萬人參加
page 4	羅斯福總統返會盛頓昨巡視伯拉格要塞
page 4	巴爾幹局勢又有重大醞釀艾登狄爾再度赴雅典保加利亞傳正總動員南國德僑已全體撤退
page 4	德方鋪張排德事件
page 4	英軍加速佔領整個義屬東非準備在雨季開始前完成
page 4	英空軍大炸德艦根據地
page 4	處處觸霉頭
page 4	美接管德義商輪
page 4	敘利亞局勢仍緊張法加緊武力鎮壓
page 5	粵南日機肆虐東興再遭狂炸投彈三十六枚毀屋一百餘間日軍又在電白沿海搶掠糧食
page 5	衡陽市電燈廠七月底可修復
page 5	江會日軍竄擾被我分路擊退三埠形勢已轉安定
page 5	西康日記二五七第十三篇永寧麗江途中
page 5	湘省府提倡婦女勞動運動壯年婦女須一律參加規定日服勞役六小時
page 5	桂茶葉實驗廠省府與中茶公司積極籌備中本年內擬試製紅綠茶二千擔
page 5	救濟戰後災區四邑舉辦難民墾殖
page 5	徵求抗戰文藝第二期定本年六月截止首將自一千元至二千元
page 5	台開旅菲僑胞捐款辦理急振
page 6	香港政府將加緊統制外匯停止匯款與非金鎊地方英人受限制不影響華人
page 6	英大學生曾健士因公來港對我國內地生活已能習慣服務之外並著文寄英宣傳
page 6	戰稅局長談徵收工作順利各公司商店皆充分合作產業稅薪俸稅稽核完畢
page 6	行李檢查則例今晨實施
page 6	增收娛樂稅今日開始執行各戲院入場券均已增價
page 6	孔夫了將在本港放映
page 6	廣東僑務處派員慰問四邑僑眷調查所遭之損失及需要針對實況予以指導協助
page 6	廣西歸僑第三批暫停登記
page 6	國貨簽證會成立有待聽候華商總會考慮
page 6	港粵交通阻滯運輸業受打擊運輸公司六十家停頓滯港貨物達二百餘萬
page 6	官辦清糞政府決定實行職業工會代表請願無結果嘉利表示願僱用現有工人
page 6	鄺炳舜昨晚由韶飛港
page 6	柴薪十五萬擔旬日即可運港政府特雇專輪四艘運輸將統交公柴處直接批發
page 6	港督讚揚青年會事業致函會長林子豐
page 6	本港存米數量擬增至十一萬噸此數足敷居民一年之需取巧米商運米赴滬獲利
page 6	銀行業聯誼會徵求會員成績美滿
page 7	緬甸華僑足球隊中止派隊來港突來消息真相如何迄未探悉體協會今日特去電詢問
page 7	德輝手傷週末旭和杯賽恐難披甲登場
page 7	足球縱橫談一大衛傑克著鈴兒譯
page 7	東方籃球隊征菲初勝海柯隊四十八比四十三贏五分足球戰展期舉行
page 7	光華會派隊攻打澳門人選日內公布
page 7	澳學生籃球隊四日率師犯港預定在港比賽八場秩序排定鐵茅隊同日來港
page 7	乙組聯賽南華戰軍糧
page 7	週末排球好戲東方大戰培英
page 7	桂林籃球大比賽宣訪勝輪黑六十比廿八勢成一面倒看客如雲門票收入可觀
page 7	外匯牌價俱無變動美匯沉寂申匯穩定
page 7	國幣市況依然堅穩
page 7	股票市況活躍價格繼續趨漲賣戶堅持不放昨日成交總值四萬餘元
