page 2	一三論外匯政策
page 3	日本政局空前動盪近衛內閣昨又倒坍右派聲勢囂張軍部曾開會議
page 3	美國態度堅定對日關係聽其自然發展決不安撫亦不促其惡化上海方面觀察日將出現戰時內閣
page 3	日如悍然北進美決全力援蘇
page 3	澳沿岸佈雷並令駐美大使留美勿返眾認此均為對日之警告
page 3	社評二近衛內閣又倒
page 3	日海軍發言人又對美恫嚇謂已準備應付惡劣情勢
page 3	東京蔬菜荒哈爾濱缺火柴
page 3	美教會援華發起捐助中國兒童胡適大使出席演講
page 3	敵海陸軍續有更動
page 3	曼谷紀事報警告侵略者勿盲動泰人決心保衛祖國納粹特務人員抵泰
page 3	滬敵謠言攻勢謂準備接管公共租界
page 3	社會部召開行政計劃會議
page 3	越南日軍強征壯丁卒被法方攔截
page 3	美運油往海參歲絕未受阻礙美海長諾克斯宣布
page 3	歐籍婦孺入馬來亞當局頒新條例
page 3	艾登發表聲明對華表示熱烈同情並未幻想中日和平
page 3	敵水兵坪田在虹口被狙
page 3	湯仲明又發明動力機
page 4	蘇德戰局愈緊紅軍已退出加里寧莫斯科區大雪紛飛
page 4	蘇軍撤離俄底沙
page 4	美轟炸機運蘇道格拉斯機十八架
page 4	英國大批器材已起運赴蘇聯工黨議員表示滿意同意暫緩辯論戰局
page 4	美決以海軍與日週旋合眾社論太平洋美日關係專文
page 4	美海軍少將主派兵參戰
page 4	美國統制樹膠價格
page 4	史末資演說講阿比西尼亞戰役
page 4	美眾議院外委會通過武裝商輪案眾院定期作最後表決
page 4	義匈步德後塵圖與土訂商約兩國競爭俯拾德餘唾
page 4	宜昌東鴉雀嶺我軍猛烈圍攻沙市宜昌敵失卻連絡
page 4	鄭州西北地區我克重要據點 
page 4	東戰場敵潰退竟又施放毒氣
page 4	滬法租界綁匪與巡捕互擊結果死傷七人
page 4	加里寧失陷
page 4	德法將互派外交代表團
page 4	美決減少汽車生產
page 4	贛議政院改組宋秉祚任議長
page 5	白副總長演講抗戰之黃金時代反侵略陣線益趨鞏固軍心民心愈戰愈堅強
page 5	馬來亞華校教員生活艱苦註冊司通告應給津貼教師向校方要求加薪
page 5	安置歸國僑胞將再設三僑樂村五待招所
page 5	廣州敵軍增加已達三萬餘眾我團隊襲大良頗多斬獲余李代表抵四邑辦散振
page 5	桂省收容歸國僑生共登記一一九人已分別配送各校
page 5	粵糧政局派員視察糧食擬定範圍多項
page 5	桂市糧食公司通過組織章程
page 5	平陽女保長熱心役政縣政府題匾嘉獎
page 5	劫後清遠秩序漸復焚屋五百家損失慘重琶江等地國隊已復員
page 5	浙西竹紙廠製造連史紙
page 5	江西上饒戰地出版社預約總裁言論集
page 5	陳水雲案朱興樹上訴駁回
page 5	贛縣中秋更名官民同樂節舉行集團結婚禮
page 5	粵省發動籌款建築黨員新村擬分三期募足二萬元余李等長官分任隊長
page 5	澳門金融行情發生波動港紙國幣均狂跌
page 6	倪邁雅考克蘭二氏昨離港飛抵重慶福克斯陳光甫等暫留港處理平準委會各項工作
page 6	港督昨參觀港大新舊學生會設茶會歡迎廖恩德醫生等代表迎迓
page 6	防空工程案劉美美供述與史柏堅關係史未嘗在晚九點後往訪所贈之手錶價值二千元
page 6	港大學生歡迎港督會左會場情形右港督起立致答辭
page 6	劉美美
page 6	司徒永覺再呼籲勸居民食糙米食糙米為貧民養生之道特撰小冊名平民食糧
page 6	勇義堂分子分別處分其餘一部具保釋放
page 6	南開校慶校友聚餐慶祝
page 6	立法局昨會議通過輔幣法案羅文錦提出質問鄺榮案輔政司律政司分別答覆
page 7	記者體育部舉辦校際小型球賽成立小組委會負責積極籌備會員分隊球類比賽將次實現
page 7	銀牌籃球複賽僑星對抗星島下午五時一刻在卜公場夏籃義演四強定期交鋒
page 7	星島將改陣出戰聖約瑟
page 7	桂林首屆運動會雙十揭戰幕各項節目豐富成績亦佳
page 7	會場夜游記
page 7	足球圈裏
page 7	尤世坤創紀錄四百碼泳五分二十八秒今明兩晚仍舉行
page 7	鍾聲會週年水藝會明日起一連兩天
page 7	聖約瑟足球隊整頓軍容迎戰星島會
page 7	申匯市況略見好轉英匯美匯仍欠靈活
page 7	國幣價格昨略回漲
page 7	滬標金價先漲後跌
