page 2	日本士兵應有的覺悟
page 3	豫南我軍攻入信陽棗陽西南仍有激戰日傷兵紛運滬醫院滿坑滿谷
page 3	國內外各團體一片祝捷聲桂主席等電李司令長官望再接再厲早完成抗戰
page 3	宋故委員身後哀榮國府追贈一級上將
page 3	偽銀行與偽法幣上
page 3	滬租界德僑住的恐慌英比公寓通知退租屋少人稠覓居不易
page 3	四行聯合總處辦理贛省農貸二千萬元支配已定
page 3	桂婦女界組織南路慰勞團推李郭德潔為團長
page 3	粵省小佃農獲相當保障省府通過限制耕地加租案廣州已成人間地獄
page 3	藏人關切抗戰代表十一人已抵蘭州將轉赴行都請示一切
page 3	滬工部局平抑物價勸各商人自動實行 
page 3	綏境伊盟開墾沃地面積達三千頃
page 3	二華北偽幣如何
page 3	日機襲蓉被我陸空合擊倉皇投彈遁去
page 3	近東兄弟的友情艾沙委員暢談訪問各國觀感
page 3	桂林各界開會歡迎費吳生中美如能進一步合作一切問題可迎刃而解
page 3	圖擾晉西日軍被我截擊痛殲
page 4	歐戰無新變化德軍攻勢略挫傳德機被毀千五百架倫敦加強防空警備 
page 4	德以全力之半發動對法攻勢
page 4	巴黎遭遇空襲損失情形未詳
page 4	德夫古柏廣播德國必敗理由
page 4	美參院小組會通過陸軍供應案議會授權總統加速擴軍美運英法軍火數量大增
page 4	法國局部改組貝當元帥再參預戎機達拉第改任外交部長
page 4	地中海空氣似有鬆馳徵象義者相已答復美通牒地中海美僑疏散回國
page 4	美洲國家向德抗議認德侵略荷比為不公正暴行
page 4	挪北聯軍迫近那維克德國援軍已被擊退英海空部隊極活躍 
page 4	希特勒之夢
page 4	德經濟情形日見惡化希特勒極希望歐戰速戰速決
page 4	人的因素
page 4	雅納爾演講加緊戰時準備增強海軍尤屬至要
page 4	從日本統制石油問題觀察日本的內部衝突二
page 4	比軍士氣極盛堅守要塞不屈
page 5	川陝鄂邊區公署謀開發川北富源初步計劃開墾通南生熟荒地委座對此重視允予經濟援助
page 5	廣州日軍一部南移同時又揚言將犯粵北江會方面仍在相持中
page 5	南路金融已轉趨活躍
page 5	韶關省銀行將收回毫券
page 5	韶關嚴厲執行防空條例保重市民安全
page 5	桂人口統計數達一千四百餘萬
page 5	各級兵役機關設告密箱粵力謀革除徵兵幣端
page 5	省振會組織巡迴施粥隊救濟東江貧苦民眾
page 5	浙糧食問題已籌有辦法走私囤積依法嚴懲計口授糧厲行節約
page 5	全國戰時教協會建立文化教育網設教師服務處代答問題籌劃編輯時補充教材 
page 5	禁釀米酒財部制定辦法
page 5	中山失陷概述
page 5	這次戰役
page 5	四面環海
page 5	用意如何 
page 6	港督羅富國昨離港史美宣誓就代督職其他官員亦暫依次調升並致電港督祝沿途平安
page 6	冠蓋如雲
page 6	江干惜別
page 6	官員調升
page 6	孔夫人昨招待各婦女界領袖對徵求傷友極表敬佩
page 6	粵教廳令僑校不得濫收學生訂定辦法飭令切實奉行倘有違反取銷立案資格
page 6	宣誓典禮
page 6	收容辦法
page 6	違法懲處
page 6	記模型飛機比賽華人比賽參觀者卻以外人占多數冠軍三名特獎乘中航機環遊香港
page 6	獲釋德僑再被拘捕美僑未奉離港命令
page 6	學生振濟會定期歡迎英學生
page 6	本港女童軍響應英國總會籌款捐二萬鎊購置救傷機艇娛樂大華報効電影籌款
page 6	太平戲院 
page 6	香港舊書店運到大批新書
page 6	九龍區小學學藝成績展覽書法圖畫論文共分四室陳列籌組聯會聯絡校際感情 
page 6	利舞台
page 6	孤軍營舉辦演講會
page 6	督學責任
page 6	英國人的生活和思想二英國的家庭
page 7	工程隊陣腳鬆馳中華輕易獲勝榮俊國棟雙缺陣未受影響十二比五局勢一面倒
page 7	東方會足球隊今晨攻澳門一行十五人深夜即返港南遊人選征澳歸後公布
page 7	菲籃球拉鋸戰怡朗力擒宿務五次打成平手戰況緊張加時再賽分勝負
page 7	芙蓉足球慈善比賽雪隊贏仗森美蘭不敵
page 7	學界排球賽民大調 兵逢戰皇仁隊
page 7	最近八年來港貿易概況一九三七年為最盛時期
page 7	水球友誼賽南華勝砲兵
page 7	小西湖賽西湖一個好去處你到過麼
page 7	南華三部職員刻尚虛懸未決
