page 2	我們自己有把握
page 3	民主陣線加緊團結中英荷澳四國會議一致支援美國對日強硬態度
page 3	日侵泰野心益熾怪機不斷飛泰境偵察滇越邊界我嚴陣以待
page 3	日駐英駐武官近藤被免職
page 3	擊敗軸心國家須保持海軍無敵威力美海長諾克斯之呼籲
page 3	郭外長歡宴英大使卡爾星訪問團亦被邀
page 3	馬尼拉城郊婦孺演習疏散
page 3	高考初試放榜限期到校受訓
page 3	甘寧青黨政考察團吳忠信等已抵西寧
page 3	國府明令褒揚陸費逵
page 3	屯積緬境商貨政府撥車代運後方貨源暢通物價可穩定
page 3	旅美僑胞捐輸勞軍蔣委員長傳諭嘉獎
page 3	重慶冬景下
page 3	參政會六次大會通過各重要提案並議決派代表團視察滇緬路
page 3	冀南殘敵潰敗我克復重要村莊多處平漢路敵鋼甲車觸雷被炸毀
page 3	麥格魯德抵星視察
page 3	橫濱飛機場舉行落成禮
page 3	菲貨輪一艘傳在澳洲海面觸電
page 3	粵北敵犯神岡遭我迎頭痛擊   
page 3	皖我軍活躍分向東流附近襲擊晉敵蠢動受創回竄
page 4	英軍克巴第亞並佔領卡普索等據點北非大戰將告一段落
page 4	北非戰役前途繫於坦克之戰
page 4	英軍士氣高昴軍威莊嚴無比
page 4	美國工潮內幕
page 4	英實施迂迴戰切斷敵軍聯絡
page 4	李維諾夫取道太平洋赴美
page 4	甘茂林病狀頗為危篤
page 4	南路紅軍增援反攻羅斯托夫中路血戰仍在進行中
page 4	圖拉依然嚴重德不借消耗仍繼續增援圖拉居民奮起協助防務
page 4	德擬召開歐洲會議強迫各國參加新秩序企圖打開歐洲困難局面
page 4	羅斯托夫失陷眾寡縣殊蘇軍被迫撤退德軍側翼遇襲損失重大
page 4	德義法會議本週內舉行
page 4	蘇德大戰第六個月
page 4	聯軍國兵艦四十艘留美
page 4	德飛行能手失事慘死希特勒特予國葬
page 4	美礦工風潮暫告一段落李維斯接納總統要求已下令復工靜候伸裁
page 5	大後方化學工業贛湘川努力生產贛硫酸廠建築完成開始出品湘設計製造特式煤氣發生爐
page 5	受歐戰影響馬來亞黃梨業一落千丈梨園廢棄百分七十華僑資本損失奇重
page 5	小機器廠的前途
page 5	李煦寰出發湘幹慰勞
page 5	軍政部特准報人緩役負宣揚國策重責可酌予變通辦理
page 5	粵東食鹽充足謠傳價格猛漲實係奸商所為當局嚴厲取締壟斷居奇
page 5	由港赴星船票跌價每張約二百餘元
page 5	出國華僑搭乘飛機航檢所優先售票
page 5	中新順邊境敵軍竄擾我軍紛直堵截中
page 6	邊境日軍射殺農民案賠償撫䘏金千元界外農民挑穀來港發售又被日軍放槍射擊受傷
page 6	港九教師會發起聲援上海教師絕食希望努力促進教師待遇定明日在該會招待記者
page 6	留港日僑明日離港乘白銀丸去廣州
page 6	特警昨演習保衛防空洞演習成績滿意
page 6	油豆出口現已解禁荷印禁油出口對本港無影響
page 6	馬伕工潮仍未能解決馬會宣布如不復工即屬離職騎馬士多自行料理信訓練
page 6	嘉年華會熱鬧依然此次收入當可超過預算工合編工合發軔出版
page 6	音樂教師座談會全港音樂教師多數出席討論促進學校音樂教材
page 6	國幣買賣受統制銀業一落千丈澳門國幣黑市轉趨蓬勃每日成交數目達千萬元
page 6	港十月份貿易較上月增加達千餘萬元雖在戰時商業仍屬樂觀
page 6	名星宿家雅蘭亭抵港預言世界大事謂日美戰事勢所難免
page 7	聯美賑華網球義演陶冠球無敵手連取兩盤氣走哈孟大出風頭惠全勝小徐雙打成和局
page 7	校際籃球賽華義戰鴻翔
page 7	光華嘉山揚威約瑟遭敗績二比零陳德輝獨建兩功李國祺勇救苦救難十二碼罰球
page 7	上週本港金融行情大洋券以每千元計單位港元
page 7	澳門足球大戰電燈打倒無畏
