page 2	希特勒列車出軌
page 3	斯摩倫斯克鏖戰中紅軍重挫納粹攻勢莫斯科二次被空襲損失仍微
page 3	德國對蘇估計錯誤
page 3	蘇聯現金相當充裕至今未向美要求貸款
page 3	英國擴大印政治機構籍以增加印對戰爭之貢獻國民大會地位無形中削弱
page 3	英名流發起組織中英開發協會協助中國工合運動
page 3	歐戰後的和平問題新秩序與新世界六月二十五日牛津航訊二
page 3	英仍維持對芬關係
page 3	美洲組織國際和委會美總統已委出兩代表由施肇基湯瑪斯分任
page 3	韋爾斯演講戰後國際秩序組織強有力之國家組合國聯失敗由於操縱把持
page 3	古巴禁日人在沿岸捕魚
page 3	英使正式照會我外部重申遠東政策不變承認我國府為唯一合法政府領袖電謝星督招待我軍專圍
page 3	德在法北警備預防英軍登陸美注視德在西歐行動
page 3	V字運動風起雲湧荷印南非皆響應
page 3	維希內閣吃力不討好因拉伐爾上台又失敗被德報指為雜牌內閣
page 3	美法商約擴大範圍包括西非在內
page 4	日本侵越箭在弦上英美已決定共同應付步驟
page 4	華盛頓觀察日動向北進時機尚未成熟
page 4	保衛自由前哨加緊援助中國威爾基氏在援華會呼籲
page 4	墨統制貿易日絲陷絕境
page 4	日檢查郵電交通華盛頓極為注意
page 4	敵摧殘新聞事業漢口路透社停閉
page 4	敵華中海軍司令官易人
page 4	美民意測驗主制裁軸心
page 4	日本之窘狀英泰晤士報之東京通訊
page 4	政院會議澳洲設使館葡京設領館徐謨使澳傳秉常任外次
page 4	日風雨災數十年來僅見損害相當重大
page 4	後方積極增產農業工業雙管齊下四行貸款改良灌溉
page 4	黃炎培返渝謂滇省迎擊敵軍募債成績亦稱滿意
page 4	李宗仁將軍談國民精神三民主義為革命精神之源泉蔣委員長為民族精神之象徵
page 4	東京限制外僑赴日
page 4	美婦女界領袖函蔣夫人致敬
page 4	奸商被投彈
page 4	黃雲龍殺身成仁事蹟可歌可泣
page 4	全國勸儲工作成績良好總數已達四萬萬元將徵求一百萬會友
page 4	我軍冒暑殺敵各路均獲戰果
page 4	羅鴻慈殉難國府明令褒揚
page 4	中美互用客卿
page 4	二衛情書
page 5	粵振濟會議李漢魂報告振濟工作經過收到振款共達八百餘萬元決分電致謝海外捐款僑胞
page 5	全務報告
page 5	陪都三團體歡迎郭外長郭氏分析目前國際時局強調反侵略集團之加強
page 5	韶關軍警當局改善突襲疏散市內物資限期搬出市郊近郊公路兩側趕建貨倉
page 5	振濟瓊崖
page 5	第四年抗戰經過六
page 6	陸軍總司令談軍事演習成績良好渠連日前往各區巡視昨晚燈火管制突停止
page 6	港居民營養缺乏死亡率近激增四年來腳氣病死亡率增十倍醫務總監力主平抑糧價
page 6	特警開始招募名額定三千人陸靄雲昨報告組織經過警司任隊長羅棟勳任副隊長
page 6	一元獻機運動積極籌備八一四起全國推進
page 6	偷信歹徒一人落網
page 6	糧食統制當局令油商限期貯存巨量食油非經核准不得擅自發售油商昨會議謀應付辦法 
page 6	華商總會值理名單昨日正式發表
page 6	港化學分會今日在勝斯叙餐
page 6	食物店建水廁通融辦法經呈圖則者准營業
page 6	荷印當局已恢復准我僑胞過境持有我護照者即可登陸港商要求改進荷印貿易
page 7	足球聯賽抽籤決定首週賽程今日下午在總會舉行各華會球員將有變動
page 7	鐵城杯男籃球賽定廿八揭幕全部比賽秩序昨公布合眾單車賽同日頒獎
page 7	夏令籃球
page 7	滬英華排球隊率師南下犯港短期間可實現鄭亦泉決同來
page 7	鍾聲遊藝大會明午開始演唱
page 7	港九小球賽港方戰士選出預選球員
page 7	卓雄杯西園勝摩托永寧敗於祿臣
page 7	中西游泳義演華隊積極訓練游泳水球練習時間昨經編定
page 7	外匯牌價俱無變更美匯沉靜申匯穩定
page 7	國幣市況仍屬靜穩
page 7	四四金市猶無生氣
page 7	股票轉趨穩定人心好需求略增
