page 2	歐局與中國
page 3	鄂中大戰一觸即發永修激戰甚烈Ｘ圖渡河粵漢北段游擊極著戰功
page 3	晉北激戰未已
page 3	Ｘ機落桂林機中發現義籍駕駛員
page 3	石主席電告冀境我軍勝利在鹽山慶雲一帶創Ｘ
page 3	日機炸鄭州漢美當局提抗議
page 3	到淪陷區去下你嘗過亡國的滋味嗎告訴你幾件可痛的事實
page 3	汪兆銘傳於最近赴歐
page 3	今之木蘭唐桂林投軍八年
page 3	中樞紀念週由丁惟汾報告
page 3	黔抗戰宣傳週昨日開始舉行民眾情緒興奮激昂
page 3	Ｘ機擾浙沿海Ｘ艦砲擊鎮海口
page 3	吉林義軍攻入Ｘ兵團部
page 3	周恩來赴浙謁黃紹竑
page 3	Ｘ閣的徬徨有田代平沼訪西園寺通貨益膨脹崩潰日近
page 3	法大使招待我政府要人定明日離渝赴滬將轉往華北一行
page 3	川省銀行在滇設立分行
page 3	政院部會職員舉行國民公約宣誓
page 3	滬Ｘ又提出要求擬取消公共租界稅務司禁止日員逮捕華人
page 4	英負責方面意見主張強硬對德內閣昨舉行重要會議將與民主國切實聯繫
page 4	法駐德大使返國政府決心準備
page 4	希特勒目中無人竟圖獨霸中歐
page 4	祇聞勝利歡呼那見亡國慘痛
page 4	希特勒返柏林民眾狂熱歡迎
page 4	捷人不甘為奴情狀悲哀慘淡
page 4	美三十一社團呼籲修改中立法分別侵略國與被侵略國
page 4	英表明態度後羅京人心振奮當局正努力充實邊防德羅談話今日可結束
page 4	美國的動向上羅斯福態度明決詹森談中國現狀
page 4	貝奈斯廣播演說余一息尚存必繼續奮鬭
page 4	挪威決以自力維持中立不依賴他國保證
page 4	赫德森抵華沙英波談話含政治意味柏克定下月初赴倫敦
page 4	Ｘ議會將閉幕議員馴服不敢多言提案百餘可皆通過
page 4	美國對日將施行商務報復
page 4	匈總理電謝義首相人民奉召入伍
page 4	日制定六年計劃大規模造艦英美不甘落後實行競爭
page 4	美對德併捷認為非法正起草致德牒文並謀對付極權國
page 4	伏羅希洛夫演說蘇聯紅軍實力陸海軍實質較前改進空軍數量亦大見增加
page 4	義向法要求今日可最後決定
page 4	Ｘ人的徬徨
page 4	潮梅的米荒
page 5	粵省洋米免稅入口政院已交財部核辦本季米糧不敷六百萬包青黃不接民食問題嚴重
page 5	惠陽阻運私礦
page 5	昆明血案楊維騫陳書自首刺范石生係為其父楊蓁復仇自首書稱目的已達責在一已
page 5	中央設置短波廣播臺節發表世界廣播節目使用各國語言規定廣播時間發揮對外宣傳矯正外國視聽
page 6	本港捷僑接得訓令着轉換德國護照捷僑領袖聞耗淒然下淚逃亡之猶人仍繼續東來
page 6	四婦女聯會討論組婦女聯席會案交三八節結束會議討論致函各學校徵集慰勞袋
page 6	精神動員知用中學全體宣誓
page 6	漁民協會救濟船用具價昂下水有待
page 6	難童學校徵求校董請求捐助
page 6	各界賑聯會今日聯席會議昨日常務會研究提案黃花節義劇擬請延期
page 6	Ｘ人冒印我國鈔票傳銷華南者千萬元紋粗邊闊極應注意
page 6	中日戰事發生後本港膠鞋暢銷去年出口值千餘萬元全港現有工人五千餘
page 6	本港閨秀舞會籌賑定期在大酒店舉行
page 6	廣州美專定期舉行畫展
page 6	伶星畫報第四期今日出版
page 6	波音巨型機第二架即將來港
page 6	星僑機工返國服務十一人不日抵港
page 6	港大特委會會議延期杭立武因病未到
page 6	漁夫恨
page 7	公開草地網球賽已轉入緊張關頭昨日雙打賽洪惠釗組被淘汰大告山奴雷米迪苦戰兩小時
page 7	昨晚公開男子籃球賽鍾聲壓倒星島結果三八比三三戰況劇烈乙組嶺英與警察亦均獲勝
page 7	歐美風光
page 7	本生台杯網球賽澳洲實力雄厚雄心勃勃將與美國一決然雌雄
page 7	開羅網球賽克拉姆敗于麥尼路
page 7	英着手籌備參加世運經費預算九千鎊
page 7	國際足球賽愛爾蘭和匈牙利
page 7	東方對士葛改期後日比賽曹秋亭許文奎將於週末來港
page 7	星洲中華隊征菲告捷三比一勝托瑪斯
page 7	歐洲局勢緊張港匯市微受影響英美匯微緊但靜申匯尚穩定一般投機者多靜候時局變化
page 7	股票市略鬆弛各股價格亦稍下降
page 7	八九金市堅而沉寂買賣不多價略低落
