page 2	社評關於東京談判
page 3	我軍再度反攻潮安汕尾形勢仍緊登陸Ｘ軍肅清
page 3	蒙偽邊境續有戰事蘇聯定期舉行海軍日潛艇艦隊佔世界第一位
page 3	Ｘ機三次襲桂
page 3	受傷Ｘ艦拖滬修理Ｘ軍開鎮江增援
page 3	一週戰況七月十四日至二十日軍事委員會發表
page 3	津租界事件的意義
page 3	南路慰勞團在湘北獻旗並檢閱壯丁婦女
page 3	在渝蓉上空受傷的勇士下
page 3	英報淪法幣問題應增加平準基金盼各國一致協助維持
page 3	綏蒙政會閉幕
page 3	政記輪船公司附Ｘ案處理經過公司已宣告解散張本政明令通緝
page 3	汪逆指使暴徒擾亂滬報舘中美日報刊載吳稚暉文大晚報排字房槍彈亂飛
page 3	滬一奸商前日被槍殺憶定盤路發現男屍
page 3	粵公務員具結限期禁絕賭博
page 3	Ｘ隨軍記者在湘中彈斃命
page 4	東京英日談判進入第二階段日內將開正式會議討論所謂具體問題克萊琪等待政府新訓令
page 4	日報氣燄萬丈冷語譏諷英國
page 4	泰晤士報表示退讓亦有限度
page 4	英美密切聯繫美不置身事外
page 4	東京破獲驚人暗殺陰謀目的為親英派人物嫌疑犯三人已被捕
page 4	中立法被擱置將影響商業羅斯福對新聞記者稱渠暫時不爭持該問題
page 4	英政府向西慈發出新訓令傅英對間接侵略問題不願接受蘇方之條件
page 4	德國癡心妄想圖不勞而獲但澤故放和平空氣向各方試探欲以縮軍餌誘英國上鈎
page 4	關員被殺波提抗議
page 4	荷公主將分娩宮中特裝設音韻鍾分娩後將鳴鐘慶祝
page 4	英國海軍下月將訪土土當局已籌備歡迎
page 4	播音將軍被西政府免職
page 4	蘇大批船隻通過巴拿馬駛往海參崴日本極注意
page 4	愛恩塞已返抵倫敦
page 4	德颶風為災山洪暴發田畜被淹
page 4	大量白銀由美運英
page 4	蘇德商務談判在柏林開始舉行
page 4	向暹羅當局進一言一應該與中國攜手共求進步
page 4	警戒Ｘ謠
page 4	擬於不倫
page 5	奧振濟會的壯舉深入潮汕辦理急賑省委林友松倡辦小工業救濟難民華僑匯款振濟桑梓數達三十餘萬
page 5	會城殘Ｘ已退却自己怕死支使偽軍斷後前日與我激戰城西沙堤
page 5	粵省府修正禁賭條例
page 5	瓊崖漢奸九人演出傀儡戲
page 5	苦難中的瓊崖上
page 5	滇越鐵路規定裝卸增強運量
page 5	澳門僑團歡送徐天深
page 5	中山區長受獎
page 6	八一三獻金運動各僑團熱列響應商會新舊主席表示贊助廣聯商會將獻金二千元
page 6	港外發現颶風有襲本港模樣昨晚已吹近本港之東方港內小船已作避風準備
page 6	全港歌伶定八一三義唱一連兩夕分在港九舉行中青救護團昨宴各歌伶
page 6	港台砲台實彈演習砲兵部公佈日期
page 6	業餘聯誼社七七獻金昨匯呈財政部總額國幣一萬六千餘元三成慰勞將士日內出發
page 6	玉人寶馬皇后平安今日起映
page 6	昨晨警察截檢車牌凡未按期更換各車一一登記分別票控
page 6	港府委任
page 6	生豬來源減少豬肉市價騰貴運猪來港者祇餘廣州灣鮮魚及蔬菜已照常運港
page 6	蔣夫人函謝何寶芳
page 6	業餘圖書舘公開徵求合作
page 6	漁民協進會救濟計劃收效四艘救濟漁船收穫甚豐二批將結束擬再建多艘
page 7	昨日嘉山棒球戰友啤打遍無敵手八比一再敗美兵錦標穩握今日南華出馬迎抗長勝軍
page 7	南華在棉臨別賽戰和巫選別記先贏後輸究係因輕敵國威門前搶險過危關
page 7	體協會乒乓賽下月將舉行
page 7	栗山網球賽奎斯脫奪得決賽權
page 7	南遊日記
page 7	獻劍排球義演賽程略有更改籃球義演仍在進行中
page 7	德權鼎小球今天有五場
page 7	夏令足球賽球組大捷四比零擒南字
page 7	外滙牌價昨無變動英美匯市穩靜申匯續趨好轉各銀行拋出申電計達百萬元
page 7	本週股票市沉寂全週成交不過五十萬元但各股票價格起落尚微昨日股票市況屬不振
page 7	八九金市穩而沉寂
page 7	港過去半年內燃料進口銳減柴薪減少達九萬三千担煤斤減十萬噸價未上漲
page 7	英金微跌銀價參差
