page 1	"社評從原則上論下半年的國家總預算"
page 2	"襄陽攻防戰入慘烈階段由豫南下援軍在疾進中津浦中段汶河兩岸大戰方酣"
page 2	"臨時財產稅要不要徵立院財金委會昨又一場激辯結果原則贊成通過六條條文"
page 2	"如何革新基層政治"
page 2	"綜合審查預算案昨審查交通糧政部門都照原審查意見通過"
page 2	"郵資加了兩倍據說無濟於事傳短期內還要再加"
page 2	"司法部設調查局立委多人不贊成"
page 2	"揮淚弔無辜東北國代等祭死難學生主祭者老淚縱橫言不成聲"
page 2	"政院昨例會桂省建設廳長易人"
page 2	"招商局中日航線廿一日正式開航"
page 2	"北平又捕學生"
page 2	"司徒立門再飛台北在名勝區草擬調查報告他月底返美下月初還要來"
page 2	"時局動盪不安內幕新聞吃香京滬雜誌多以此相號召"
page 2	"放棄否決權權威方面否認這個傳說"
page 2	"行使同意權監院昨晨投票大法官十二人獲得同意五人被否決將請另提名"
page 2	"青島附近一輪失吉"
page 2	"新任交大校長黎照寰不願幹認為環境複雜不易應付"
page 2	"不盡鈔票滾滾來滬央行廣場堆了許多箱從各地運來又轉運出去"
page 2	"費正清論中美關係以反共為對華政策我們是在自討苦吃"
page 2	"新聞沒有自由嗎譯上海英文大美晚報社評"
page 2	"所謂不吃東西原來都是騙局渝滬楊妹都禁不住餓"
page 2	"上海兩家銀行職員一度餓工"
page 3	"義大利政局突轉嚴重共黨領袖陶里亞蒂被刺身中三槍受生傷兇手已就捕羅馬混亂全國各地工人罷工"
page 3	"緬甸自由同盟的政府"
page 3	"法公務員工潮蔓延將演成全國總罷工可能使政府陷於癱瘓"
page 3	"管制魯爾問題法建議六國開會討論"
page 3	"歐洲受援集團特港也已加入"
page 3	"蘇聯表明對德立場分別答覆三國照會"
page 3	"美要單管琉球將改定為單獨軍管區"
page 3	"安理會討論英美的建議考慮強制阿猶停止戰事如不遵從即予經濟外交制裁"
page 3	"可怕哉日本人巴西境內恐怖份子活動開設秘密學校毒化日童"
page 3	"日本五年計劃延至明年開始"
page 3	"巴拿馬兩個統總舊總統被罷免不肯下台新總統沒辦法進總統府"
page 3	"麥帥接見松岡"
page 3	"阿盟領袖會議討論是否停止聖地戰事"
page 3	"鹹魚販妙手取炸彈跛路工假足試爬山"
page 3	"暹羅也要清共鑾披汶下令軍隊警戒逮捕全國共產黨領袖"
page 3	"暹羅華僑學校有些即可啟封葉公超答立委質詢"
page 3	"北京人的發現者魏敦瑞博士逝世"
page 3	"應付馬來亞變亂星洲總督有大權立法局通過了新法案"
page 3	"美民主黨即將通過政綱南方黨員揚言另組新黨"
page 4	"啟德民業賠償法案立法局昨三讀通過防止貪污法修正案一讀通過"
page 4	"革新派七君子宣告退出華商會昨晚致函董仲偉聲明華商會新人今天就職"
page 4	"防護廣九路昨有軍隊三百人到布吉等站增防"
page 4	"代議制度好不好西洋會所將辯論"
page 4	"文武廟區衛生調查十五日起開始辦理在青年會健身室檢查身體需要驗肺的送醫院照X光"
page 4	"動手動腳罰款百元"
page 4	"燒烤店決再請當局改善前頒管理則例因管理過嚴營業困難"
page 4	"本港兒童福利組織續完"
page 4	"趙紫宸來港"
page 4	"四邑僑商再商救災"
page 4	"運死豬四男子被拘"
page 4	"廟街劫案疑犯一人即受審"
page 4	"恭仁貴藏槍被拘"
page 4	"潮州東莞兩幫苦力北京道口大打出手東莞幫有六人被打傷"
page 4	"賣淫書淫畫林全被罰款"
page 4	"菲港水菓專機呂宋附近失事"
page 4	"有關衛生電動機抽水機市上很多衛生局希望房東去購置"
page 4	"法領事昨招待各界慶祝法國國慶葛量洪郭德華等均參加"
page 4	"陳露華鄧波兒報名參加選美"
page 4	"內河輪渡總會紀念廿五週年"
page 4	"考察漁業林書顏飛印"
page 4	"因在西江碼頭打架吳平被判入獄三月郭炳成死因三週後研訊"
page 4	"民光失事經過海事處昨天調查"
page 4	"統營公司爆倉案三犯人被判入獄"
page 5	"上海行局差進銀根奇緊物價普遍下降暗息昂高南京百貨企穩交易清淡"
page 5	"黃金昨晨挺後轉疲來價報高中外定金商　入傳新訂貨三萬盎斯又將到"
page 5	"福州六月的新漲風福州特約通訊"
page 5	"來貨價高買氣盛旺"
page 5	"田定庵在京商談改善華南僑匯放寬輸入限額"
page 5	"港製瓷磚難敵日貨"
page 5	"六月僑匯較五月多"
page 5	"穗台灣銀行將開始營業"
page 5	"僑匯歸國特別優待"
page 5	"財次徐柏園談話指責資金逃港可能派代表來港共會商遏止步驟"
page 5	"美援棉花首批決定准撥千三百萬美元"
page 5	"國幣內匯昨呈穩盤市場管制加嚴漲跌恍惚郵匯二千萬內免保兌付"
page 5	"暹椰油出口上月起開放數量多寡逐月規定"
page 5	"穗銀樓業登記共計二三四家未登記者不准營業"
page 5	"滬銀錢業請求開放票據抵用金管局認為不可能"
page 5	"穗結匯證二七五萬較黑市相差十餘萬黃金直兌價獨秀好"
page 5	"滬物價普遍回跌穗百貨起落互見汕梧金鈔物再漲"
page 5	"荷印糖產銳減今年約產十五萬噸等於戰前百分之十"
page 5	"星洲國幣匯市起落不定尼加幣黑匯價轉趨下降赤足金出入價均低一元"
page 6	"遠東籃球界創舉滬星推行埠際比賽明春先在新加坡舉行港菲兩地將被邀參加"
page 6	"昨天籃球賽黑貓勝中青萬年青不敵中華乙組賽因雨改期"
page 6	"世運點將錄四女子田徑賽"
page 6	"巴基斯坦參加世運將不派出女子選手"
page 6	"粵民眾教育館籌辦拳擊賽定九月十八晚舉行將邀本港拳師參加"
page 6	"交通大學"
page 6	"西南中學舉行畢業禮"
page 6	"九龍青支會主辦教師體育研究會"
page 6	"紅襪棒球隊昨經港返菲在滬七戰七勝"
page 6	"華中大學在穗招生"
page 6	"中正中學定期招生"
page 6	"今天網球賽"
page 7	"日本紗布偷運入穗情形嚴重不容坐視穗花紗業理事長昨來港與港九同業商應付辦法"
page 7	"九十縣市徵地價稅預計收入可達三千億元穗扶值自耕農經費奇少"
page 7	"便利東南運輸鐵路公路聯運粵漢路與第二運輸處合作以穗韶漢潯沅等為聯運站"
page 7	"台北通信焚軍案餘波未已台灣零拾之十"
page 7	"病童跳樓慘死發高燒住院沒人照顧"
page 7	"勸募特捐議論未了"
page 7	"少女天台慘死案刑警隊大做文章以駢文佈告懸賞緝兇警句有誰救遊魂登仙域送卿麥飯度清明"
page 7	"子女出走父母遭殃海豐縣府要封房屋"
page 7	"大沙頭鬥毆事件解決粵漢路局函粵海關道歉慰問傷者並負擔醫藥費"
page 7	"如十日寄大埔治安力量侷促五里以內郊外山地密佈地雷"
page 7	"筵席稅配額太大了台山酒樓茶室罷市並抗議三個酒店職工被捕"
page 7	"先決後報不許可了廣州軍事機關奉令緊急處置須先呈報"
page 7	"封鎖閩粵邊山地邊區總部下令採取措施道路人員物資一概封鎖山地青年要抓去當兵"
page 7	"西安楊妹喜劇收場怕照X光離開醫院衛生局不再研究了"
page 7	"芥菜貴過米在開平賣三萬一兩"
page 7	"想將食糧運汕必須集體輸運閩粵邊區司令部的規定"
page 7	"輓聯之上貼滿鈔票"
page 7	"各區候補立委要辦當選手續"
