page 2	社評歷史新頁展開的前夕
page 3	和戰已到最後關頭德國態度依然強硬韓德森抵柏林訪希特勒長談德仍堅持合併但澤波蘭走廊
page 3	張伯倫在眾院報告歐局和戰關鍵繫於德國英國本身有備無患
page 3	論阿部內閣
page 3	郭大使訪問英外部重光亦同時往訪
page 3	重慶人士觀察歐局和平有望
page 3	阿部正式受命組閣閣僚銓叙大致已完成預定可望於今日成立
page 3	日國內輿論多贊助阿部
page 3	泰晤士報稱日本將親英
page 3	美謂日制閣乃意料中事
page 3	日駐德大使大島的前途新閣成立後恐難安於位
page 3	法對日新閣有良好希望
page 3	重慶本報論日閣更迭
page 4	鄂南我軍獲勝汀泗橋Ｘ軍陷重圍贛北瑞武路亦有捷報
page 4	孔院長關心滬市民食准購外匯購米濟急
page 4	Ｘ機襲渝被我空軍擊退
page 4	行政院會議
page 4	陳濟棠等通電聲討汪逆妄議和平搖惑人心賣國之罪國法不容
page 4	美國外交政策基礎
page 4	會同縣民眾踴躍從軍兩月達二千人
page 4	歐局緊張下各國準備一斑
page 4	孤島雜訊
page 4	Ｘ人潰敗的因素何部長在中樞報告
page 4	英輪燈火管制
page 4	倫敦挖掘戰壕
page 4	新兵入伍踴躍
page 4	德軍開入斯境
page 4	但澤封鎖交通
page 4	匈商緊急措施
page 4	法德交通斷絕
page 4	加已統制航運
page 4	義國準備空防
page 4	荷蘭下令動員
page 4	美孤立派議員擬改變態度順從民意修正中立法政府亦擬作宣傳運動
page 4	蘇德商約內容公佈
page 4	浦東我軍反攻勝利
page 4	一幕猴戲漢奸開六全大會汪逆大過總裁癮
page 4	漢美艦員被毆Ｘ方書面道歉
page 4	歐局又轉緊
page 4	東京之騷動
page 4	汪逆之末路
page 5	龍泉轉危為安西江我軍重新佈防Ｘ軍力薄不敢輕犯
page 5	江門附近村落遍遭匪Ｘ洗刼
page 5	暹羅僑胞的苦難
page 5	粵省財政金融已日臻穩固全省收支達到相抵成績積極生產打擊Ｘ人詭謀
page 5	中山砲聲來由
page 5	編組難民修築公路省振會實行以工代賑
page 6	邊境局面雖略馳新界英軍并未撤南頭深圳三千Ｘ軍撤退大埔上水英僑昨已遷回
page 6	捕魚旺月漁人望洋興歎海面Ｘ艦縱橫動致殺身魚欄放賬連帶大受打擊
page 6	歐洲風雲緊急本港杌隍不安連日出口各輪均各客滿來港商輪中途即被徵用
page 6	我們的夫人港大女生宿舍昨舉行落成禮港督親自主持華烈多主教致詞賢妻良母由此基礎產生
page 6	時局緊張中商人操縱粮價羅文錦談商人不應居奇本港當局隨時嚴密監視
page 6	一旦戰事來臨如何疏散人口傳當局已擇定附近小島計劃如此仍宜及早撤退
page 6	蔣委員長戰時畫集良友公司出版 
page 6	寶安小輪昨開蛇口下午二時許返港Ｘ不准貨物出口
page 6	防疫注射處辦公時間更改
page 6	遠東各埠入境防疫限制種痘及預防霍亂注射大同小異不可不注意
page 6	財政評論九月號已出版
page 6	活葉文選建國文化書社出版
page 7	加拿大籃球隊今晨由菲過香港晚上出兵對抗南華冠軍隊比賽地點在中青會籃球房
page 7	團體乙組網球南華獲冠軍
page 7	尖消息
page 7	南遊日記
page 7	追念舊將全體致祭陳美安
page 7	夏令籃球賽警察擒飛鷹
page 7	港小童會水運各項成績美滿參加比賽者二百餘人結果西營盤區得冠軍
page 7	兩椿事
page 7	白城職業網球賽梵鐵表演佳妙勃琪勝斯都芬不費力
page 7	歐局形勢仍緊港滙市動盪不定美菲何德瑞申匯牌價再低縮申匯市況略淡銀行頗多拋出
page 7	八九金市仍極堅挺價較上日再漲八毫
page 7	股票再見起色買户紛欲吸進賣家堅持不放全日成交約近七萬元
page 7	英金回跌英銀俱漲
