page 2	社評德義談話與歐局
page 3	蔣委長再告全國士紳教界加強抗戰建國工作推行精神總動員努力地方自治
page 3	日議員抵平策動反英烟台英僑被驅逐
page 3	不菲南游擊區中Ｘ人的新花樣葉厥孫
page 3	留桂傷兵重上前線殺Ｘ
page 3	郭使訪英外相討論經濟問題焦作煤礦事英已提抗議
page 3	胡大使講演對列強援助表示感謝認日有經濟崩潰危險
page 3	桂地方自治研究會定今晨開幕
page 3	彭逆東園在廣州遇刺
page 3	滬猶太人居住發生問題
page 3	李福林抵渝發表赴菲經過僑胞熱烈懷念祖國長期捐輸精神可佩
page 3	滬市外匯又起波動財政界認為黑市猛縮對戰時金融有益無損
page 3	滬租界空氣益緊各報門前防範加嚴四郊各地形勢仍緊
page 3	晉東南戰事尾聲長治附近仍有衝突Ｘ軍交通線全切斷
page 3	北寧路偽軍反正投誠殺Ｘ
page 4	德義兩國外長舉行重要會商討論歐洲日本問題為進一步行動準備
page 4	但澤國社黨魁福斯德演說公開要求但澤歸併德國波蘭法國認為不值重視
page 4	鐵肺人在芝加哥結婚
page 4	西國新閣成立改組動機偏重於內政外交上仍將拉攏英法
page 4	英法軍事代表團昨抵莫斯科英對間接侵略問題擬對蘇提兩種新定議
page 4	通貨膨脹物價高漲
page 4	島國縮影
page 4	侵略結果預算激增
page 4	英空軍演習成績優異航空部發表公報
page 4	美聯社記者在義被逐報告患病消息竟觸義相之怒
page 4	傳英訓令抵東京英日將繼續談判關於津四華人嫌疑犯英方竟決定予以引渡
page 4	軍人跋扈結果Ｘ內閣動搖盛傳平沼板垣已辭職五相會議傳昨又舉行
page 4	未來世界安危可一言立斷侵略者如能懸崖勒馬戰爭危機可立即消除
page 4	蔣委員長之昭示
page 4	南非部長的失言
page 4	美議員主張禁軍火運日
page 4	生活艱難罷工迭起
page 4	政治不安暗殺時聞
page 5	犯中山Ｘ已擊退情勢轉趨和緩我加強封鎖線防務益鞏固沿海Ｘ艦亦已減少
page 5	蘇浙各要地在我控制下Ｘ軍連絡已全部切斷內河小輪均停止行駛
page 5	成吉思汗的生平三
page 5	戰時脚踏車運輸隊中山開始組織
page 5	省銀行舉辦農貸積極推進中貸出款項已達十萬餘元派員分赴各縣指導工作
page 5	漢奸萬惡魚目混珠
page 5	滬西亦發生反英運動
page 5	潮汕Ｘ勢漸疲
page 5	嶺東戰事又起Ｘ犯楓溪不逞被我堵擊死傷七八十人
page 5	香港婦聯會宣訓員抵韶
page 6	獻金第二日獻金者更為踴躍商賑會昨召開特別會議指定負責人員收集獻金
page 6	老婦被污案開審深水灣被印人強行非禮下星期一繼續進行審訊
page 6	業餘學校
page 6	海軍義勇隊組織歐籍海員支隊
page 6	華人泳場響應獻金華人游泳會為響應華商
page 6	超立研究社鮮魚義賣
page 6	銀聯劇團月底二次大公演
page 6	改變防疫手續事醫務總監不准最高當局頒佈不能輕改上海來客曾經注射故免
page 6	燒夷彈防空處昨日試放
page 6	珍珠皮膚水南洋製藥廠出品
page 6	皇冠儷福皇后平安今日起映
page 7	暹羅網球隊來港比賽發生問題我選手無意參加角逐
page 7	南華在星第二戰擊走軍聯隊三比二德輝連中三元僑胞球迷鞭炮祝勝利
page 7	南華西洋棒球明日再交兵
page 7	打門小統計
page 7	港公開游泳賽昨日下午六時截止報名人材濟濟有劇爭
page 7	三比二南華奏凱歌
page 7	今日排球義賽白綠迎戰保羅頭場女組中仿聯隊對抗南華昨天仿林南華打勝仗
page 7	拾零集
page 7	申匯續漲荷匯略縮英美匯初靜後緊申匯市況續淡銀行仍多拋出
page 7	英金不動英銀續漲
page 7	歐洲局勢不定英鎊遠期跌價
page 7	八九金市先穩後堅價格暴漲再創紀錄
page 7	股票市仍穩靜各低價股票買戶較多全日成交共六萬餘元
