page 2	社評世界前途與中國
page 3	閩江南岸續克長樂浙東日軍狼狽北潰我軍攻入蕭山武康予日重創
page 3	滬市民三萬餘同弔謝晉元情形悲壯肅穆得未曾有渝滬定期開會追悼
page 3	孤軍宣誓奮鬭到底
page 3	謝氏歷略
page 3	松岡讚美德國鼓吹日本效顰蘇日協定並非續命湯日國內遭遇困難正多
page 3	上高會戰大勝之經過
page 3	郭泰祺定明日與美當局會談
page 3	羅斯福公子在港之酬酢
page 3	美援華募款五百萬元運動正積極推進中
page 3	法日成立經濟協定
page 3	越柬埔寨選出新王
page 3	日機襲昆明
page 3	福州日軍暴行一斑
page 3	平準基金管委會委員人選已內定
page 3	宋子文氏發表談話重申民主國之友誼
page 3	我旅菲島僑胞願為美菲效力楊總領事向美當局表示
page 3	班禪轉世真身傳有發現
page 4	歐戰又告一段落德軍侵入雅典英軍安全撤往北非
page 4	南非總理重申勝利之信念巴爾幹並非決勝之戰場英國爭取友誼德國爭取仇怨
page 4	阿皇賽拉西進行政治復興各酋長已恢復政權中東英機廣泛轟炸北非
page 4	英新型戰鬥機上升如流星並裝有鋼砲已定名為霍克大風式
page 4	汎美經濟委會通過徵用外輪案承認汎美國家皆有此權現正分送各國政府考慮
page 4	美國軍事專家的觀察一篇驚人的帳希特勒施用空中閃電戰應該償付怎樣高的代價
page 4	美水機三架售予英國每架價值百萬元
page 4	美國火速援英德義大放厥辭謂美國追求戰爭日報亦作應聲蟲
page 4	德國企圖席捲歐洲消滅西葡英國勢力
page 4	提琴聖手克禮斯樂被貨車撞傷
page 4	加拿大徵集海外軍加國防部長談片
page 4	美通用汽車公司醞釀罷工風潮聯邦調解局正設法調停
page 4	法岸德大砲轟擊多佛區海峽上空烟霧迷離掩蓋德方大砲位置
page 4	雅典淪陷
page 4	西葡之最後抉擇
page 5	中央派員抵粵商發展食糧生產東南西北中分設生產區農林部在粵籌設大農場
page 5	四邑作戰經過張翹柳在台城祝捷會報告
page 5	西康日記第十五編由麗江返昆明
page 5	粵省積極爭取日人後方物資搶運對象現已大致決定大量運輸食鹽接濟鄰省
page 5	開建縣的金礦
page 5	粵南黨政較前進步走私絕跡物價低降
page 5	連縣土地調查全部工作完成全縣生產與支出不敷甚巨平均每人約虧廿六元四角
page 5	五月行將來臨滬兩租界聯合戒備
page 5	粵教廳訂定辦法救濟災區員生校舍被毀者撥款修建
page 5	粵參議會將開五次大會
page 6	內地遷港學校統歸教部直接管理教部及僑委會發出會令為統一事權應作僑校論
page 6	我國戰時公債積極進行勸募戰債勸募會發認購須知大量認購者由政府獎勵
page 6	港澳賑濟會籌設義校廾二間救濟難童培養基本知識開始報名五月二日截止
page 6	中國德育學會招待孟祿博士希望再來時中國已獲勝
page 6	公立學校上午上課五月五日開始
page 6	各大學代表會議籌備紀念青年節聯合青協等團體舉辦大會並發動各校同學踴躍參加
page 6	移民局局長富勵士擬往加拿大養病在港府服務凡達十八年上月移民證將近三萬張
page 6	夏季馬票六月開彩已售出五萬號
page 6	方富恭歡宴鄺炳舜
page 6	新警司整頓警政各區華探將調動須增名額各區一律酌加各麻雀館傳將嚴予取締
page 6	限稱回教徒案圓滿解決行政院已批示
page 6	華南兒教會募款展期一週結束發出捐冊一時尚難收齊周伯琴牧師將赴美募捐
page 6	工業座談會全部紀錄發表
page 7	加山一片嘆聲華聯敗於西聯結果零比二斷送督憲杯賓琪表演出色奠定西聯天下
page 7	今日籃球好戲東方逢星島下午五時半在九龍青支球場大貓孫惠培趕來助陣
page 7	青記足球籌款賽東方出師戰星島定後日下午五時在加山舉行
page 7	大貓孫惠培由滬抵港脫離苦口綜過
page 7	星島女籃球隊在澳再奏捷卅一比十七輕取協和李純瑜活躍得分最多
page 7	德權鼎賽
page 7	今年首季港金融動態外匯變動尚屬輕微國幣價格一度慘跌
