page 2	社評紀念八一三
page 3	八一三兩週年紀念蔣委員長告上海同胞盼在艱苦中竭力堅忍奮鬥盡量鞏固精神及經濟保壘
page 3	滬空氣益緊兩租界交通阻斷崇明發生流動戰
page 3	紀念八一三再斥汪兆銘
page 3	上海紗市暫停交易米商屯集居奇
page 3	遴選達賴政府派吳忠信赴藏參加盛典
page 3	滬Ｘ排猶造成嚴重情勢
page 3	桂省政府掃除文盲分四期教育成人首二期成績良好
page 3	東江元氣漸恢復民從照常工作貿易Ｘ人封鎖影響甚微
page 4	對引渡四華人事ＸＸＸＸＸＸＸＸＸＸＸ
page 4	日本愈益狂妄擴大反英運動竟圖使之成為永久性漳州美國教會亦被炸
page 4	津兩租界市民聯函英法大使對日祇有採強硬政策ＸＸＸＸＸＸＸＸＸ
page 4	紀念八一三再斥汪兆銘以上接第三版
page 4	日對蘇妥協油田問題爭執接受蘇方要求
page 4	德義兩外長晉謁希特勒蓋達在義報著文為德國要求聲援
page 4	德國報紙攻擊波蘭
page 4	波蘭總統召開會議
page 4	又一批英軍開抵新加坡為數共三千人
page 4	木戶訪近衛商對歐政策平沼明日謁日皇報告國內外形勢
page 4	羅斯福主取消禁運軍火條欵海部決定在太平洋上建築空軍根據地五處
page 4	蘇遠東紅軍第一軍團司令傳調外蒙作戰
page 4	英蘇法參謀會議昨開始舉行蘇當局歡宴代表團
page 4	我們的紀念
page 5	Ｘ犯中山不逞轉向睦州騷擾大戰有一觸即發之勢
page 5	一筆血帳Ｘ機連日進襲粵南桂省各地
page 5	粵南情勢仍緊當局積極備戰沿海區域厲行堅壁清野瓊Ｘ施毒計樹立偽政權
page 5	免除無益消費不應燒紙敬神內部咨請各省府糾正節省物力並補救紙荒
page 5	演講稱呼領袖敬禮儀式祗肅坐不起立
page 5	桂省中等學校改善今後教育省府召開校長會議檢討過去計劃未來
page 5	我出擊浮洋殲Ｘ百人
page 5	順德Ｘ軍橫征暴歛
page 6	全港百萬僑胞今日紀念八一三各界僑團舉行隆重儀式踴躍獻金小販義賣開始
page 6	各界開會紀念
page 6	僑胞踴躍獻金
page 6	飯店兩女工獻金千元愧死守財奴
page 6	天廚全體職工獻金千元獻港幣者重務實也
page 6	粵劇義演
page 6	昨日憲報發表修訂商船則例牲口船艙不得收容旅客注意衛生牲口艙須隔離
page 6	全港小販義賣
page 6	錦田難民營難民印警發生衝突
page 6	四部合唱譜號角手尢博編今日出版
page 6	菲島僑團發起與Ｘ競買舊鐵售與祖國政府或銷友邦辦法美善足為僑胞效法
page 6	閩浙海面Ｘ又佈置水雷本港當局佈告各輪注意溫州灣入口道確已封閉
page 6	大地公司昨晚試片
page 7	南華移師八打威不敵係求耳史隊結果二比三雙方表演精彩
page 7	獻劍排球義演有好戲看嶺保聯軍對抗培英隊昨日仿林白綠奏凱歌
page 7	馮強籃球隊今天出戰康元
page 7	南華在星臨別賽痛打星洲聯結果五比二僑胞騰歡
page 7	港暹網球賽徐家兄弟決定不參加
page 7	澳州台杯代表隊年底興兵犯港勃鯤信區等一行共三人預料港中球迷將飽眼福
page 7	雜碎館
page 7	今晨棒球補賽西洋再逢南華
page 7	施巧計南華調虎離山
page 8	荷匯牌價續縮英美滙市均穩定申匯市況初時不定後略好轉
page 8	過去一週間股票市況沉寂對局影響投機家多存現望全週成交僅十九萬元
page 8	天氣炎熱葵扇暢銷半年內進口逾六十萬元
page 8	八九金市依然堅挺買賣尚多價格略降
